bound_deg,ecephys_session_id,training_half,test_half,translation_azimuth_deg,translation_elevation_deg,identity_heldout_correlation,aligned_heldout_correlation,heldout_correlation_gain,identity_heldout_rmse,aligned_heldout_rmse
15,797828357,1,0,-2.66649,-14.9938,-0.182098,-0.407767,-0.22567,0.187665,0.169084
15,798911424,1,0,14.9997,-2.66668,-0.315132,-0.249748,0.0653846,0.249758,0.232865
15,799864342,1,0,11.9927,-2.66909,-0.369457,-0.341383,0.028074,0.185454,0.177047
20,715093703,0,1,-6.33073,-12.0001,0.701427,0.208011,-0.493416,0.121091,0.0763004
20,719161530,0,1,-4.36972,13.3333,0.348297,0.220077,-0.128219,0.577246,0.622101
20,721123822,0,1,17.973,8.00103,0.476597,0.505676,0.0290786,0.392824,0.233619
20,732592105,0,1,-13.3449,-10.6666,-0.631145,-0.707403,-0.0762578,0.138669,0.126589
20,737581020,0,1,-18.6668,-17.3347,-0.599714,-0.289886,0.309828,0.260869,0.216524
20,739448407,0,1,8.18343,-8.00004,0.152014,-0.0251167,-0.177131,0.208424,0.15468
20,742951821,0,1,-9.33435,-0.00154821,0.127843,0.206679,0.0788363,0.277894,0.287521
20,744228101,0,1,9.33353,-13.3772,-0.723734,-0.729382,-0.00564853,0.252681,0.273949
20,746083955,0,1,-12.7506,1.33155,0.532873,,,0.066055,
20,750332458,0,1,3.85215,-1.33335,0.759851,0.827568,0.0677166,0.133046,0.13859
20,750749662,0,1,15.0289,18.7459,-0.293227,0.562401,0.855628,0.265609,0.214306
20,751348571,0,1,-14.9671,9.33336,0.727297,0.317954,-0.409343,0.298181,0.0981411
20,754312389,0,1,14.9585,-20,-0.249205,-0.384574,-0.13537,0.354114,0.401653
20,754829445,0,1,-15.9999,-0.0148106,0.782123,0.805056,0.0229331,0.255411,0.3261
20,755434585,0,1,18.6643,13.3339,0.128927,0.511797,0.38287,0.277033,0.337677
20,756029989,0,1,13.3333,-8.66124,-0.0437991,0.388502,0.432301,0.191542,0.222
20,757216464,0,1,17.3503,-7.24015e-05,0.54991,0.387925,-0.161985,0.352899,0.462769
20,757970808,0,1,-20,6.31344,-0.369645,0.662204,1.03185,0.16626,0.175988
20,758798717,0,1,-2.66188,1.33306,0.288468,0.188358,-0.100111,0.0885682,0.0934257
20,759883607,0,1,-19.9997,5.33824,0.163057,-0.23119,-0.394247,0.277186,0.287024
20,760345702,0,1,13.3365,5.33372,0.450818,0.425151,-0.0256674,0.107477,0.124986
20,760693773,0,1,-19.6695,-17.3333,-0.240533,-0.234416,0.00611666,0.115454,0.182452
20,761418226,0,1,10.6987,-13.3354,-0.760712,0.0989542,0.859666,0.248592,0.264402
20,762120172,0,1,-17.3362,-18.959,0.81097,0.380315,-0.430655,0.120398,0.0649173
20,762602078,0,1,14.7209,-5.3338,-0.63371,-0.494477,0.139233,0.388868,0.314679
20,763673393,0,1,-15.2087,-19.1621,-0.695034,0.125886,0.820921,0.185414,0.0865423
20,773418906,0,1,-6.66727,-0.00226925,0.691565,0.581829,-0.109736,0.0988558,0.114744
20,791319847,0,1,9.33391,5.33287,0.311635,0.223234,-0.0884001,0.202729,0.273779
20,797828357,0,1,-17.3406,-1.334,-0.10215,-0.0908721,0.0112778,0.38589,0.274009
20,798911424,0,1,-19.1833,11.9998,0.0188298,-0.331638,-0.350468,0.158697,0.191266
20,799864342,0,1,-18.6683,-1.39471,0.210039,0.461281,0.251243,0.18743,0.132161
20,715093703,1,0,2.83928,1.34248,0.295192,0.143259,-0.151933,0.409932,0.382627
20,719161530,1,0,-12.0276,5.50666,-0.635783,0.539697,1.17548,0.141089,0.0974292
20,721123822,1,0,-7.99984,-9.33355,-0.444161,-0.251613,0.192549,0.128713,0.127786
20,732592105,1,0,18.6674,-2.69202,-0.324626,0.418305,0.742931,0.109802,0.0827641
20,737581020,1,0,-18.6663,15.6632,-0.509031,-0.236871,0.272161,0.0704424,0.0578272
20,739448407,1,0,3.40195,12.0003,-0.0444437,0.28978,0.334224,0.244712,0.262683
20,742951821,1,0,-5.33343,1.32262,0.135496,0.336754,0.201258,0.367237,0.36575
20,744228101,1,0,14.6664,12.0075,-0.112143,-0.154101,-0.041958,0.374976,0.432639
20,746083955,1,0,16.0049,5.33361,0.0424819,-0.104988,-0.147469,0.407225,0.393486
20,750332458,1,0,-0.0393697,-5.33346,0.180451,0.251988,0.0715366,0.240306,0.241713
20,750749662,1,0,14.6577,19.9999,-0.115186,0.628643,0.743829,0.159007,0.273435
20,751348571,1,0,-4.01399,2.66682,-0.339586,0.0419462,0.381532,0.177712,0.172374
20,754312389,1,0,19.9991,0.00251552,0.16894,-0.0726653,-0.241606,0.27645,0.265217
20,754829445,1,0,3.99896,1.33449,-0.0528574,-0.00198645,0.050871,0.169422,0.173155
20,755434585,1,0,18.3342,4.01711,-0.544536,-0.0331032,0.511433,0.326946,0.470988
20,756029989,1,0,20,-14.6718,-0.179631,-0.0566738,0.122957,0.177853,0.0780716
20,757216464,1,0,-4.00823,-5.33369,-0.469626,-0.713413,-0.243788,0.283131,0.250286
20,757970808,1,0,-18.6668,4.57959,-0.0685906,0.535007,0.603597,0.197208,0.243098
20,758798717,1,0,17.3251,-2.66701,0.263493,-0.368679,-0.632171,0.0778687,0.0799423
20,759883607,1,0,14.6592,-1.33348,-0.375737,-0.223011,0.152726,0.102838,0.103883
20,760345702,1,0,3.99996,3.93255,-0.0731625,0.0351901,0.108353,0.136488,0.12216
20,760693773,1,0,-4.04028,-14.4095,-0.488647,-0.625208,-0.136561,0.325609,0.306602
20,761418226,1,0,-12.4839,17.3334,0.309629,,,0.208988,
20,762120172,1,0,-2.66511,2.67165,-0.132611,-0.0384804,0.0941303,0.183018,0.183921
20,762602078,1,0,-19.9998,17.3279,0.29709,,,0.481626,
20,763673393,1,0,-19.9942,-17.3286,0.0386968,0.688688,0.649991,0.137432,0.318903
20,773418906,1,0,6.5588,-2.6667,-0.10389,-0.349057,-0.245167,0.174122,0.185852
20,791319847,1,0,-1.33338,16.029,0.30457,0.333769,0.0291984,0.229306,0.238254
20,797828357,1,0,-1.56708,-18.6683,-0.182098,-0.546923,-0.364825,0.187665,0.154387
20,798911424,1,0,19.9998,-5.33858,-0.315132,-0.306134,0.00899825,0.249758,0.244424
20,799864342,1,0,-19.9982,-1.3369,-0.369457,0.54834,0.917797,0.185454,0.203032
30,715093703,0,1,-7.29183,-13.3333,0.701427,0.221706,-0.479721,0.121091,0.0640905
30,719161530,0,1,-5.46448,12.0005,0.348297,0.352431,0.00413454,0.577246,0.616019
30,721123822,0,1,-9.33849,-27.9994,0.476597,0.867395,0.390798,0.392824,0.532786
30,732592105,0,1,16,-5.33457,-0.631145,-0.255239,0.375906,0.138669,0.0657687
30,737581020,0,1,-3.99979,-29.3513,-0.599714,-0.222539,0.377175,0.260869,0.222049
30,739448407,0,1,8.3606,-8.00024,0.152014,-0.0278215,-0.179836,0.208424,0.1542
30,742951821,0,1,-9.33442,1.33005,0.127843,0.254476,0.126633,0.277894,0.292329
30,744228101,0,1,9.33344,-13.3721,-0.723734,-0.729614,-0.00588028,0.252681,0.273937
30,746083955,0,1,-12.7507,1.33155,0.532873,,,0.066055,
30,750332458,0,1,2.65482,-1.33345,0.759851,0.825159,0.0653084,0.133046,0.135994
30,750749662,0,1,26.6667,-4.27974,-0.293227,-0.629752,-0.336525,0.265609,0.292774
30,751348571,0,1,-22.6697,10.6667,0.727297,-0.405342,-1.13264,0.298181,0.0771061
30,754312389,0,1,9.32038,-27.9995,-0.249205,-0.701743,-0.452539,0.354114,0.568547
30,754829445,0,1,25.3357,2.66678,0.782123,0.346971,-0.435152,0.255411,0.182203
30,755434585,0,1,18.6642,13.3338,0.128927,0.511803,0.382877,0.277033,0.337645
30,756029989,0,1,13.3333,-8.67071,-0.0437991,0.388635,0.432434,0.191542,0.222004
30,757216464,0,1,-29.2495,-4.00032,0.54991,0.485373,-0.0645363,0.352899,0.238111
30,757970808,0,1,-12,-20.8315,-0.369645,-0.197673,0.171971,0.16626,0.109257
30,758798717,0,1,-2.66402,1.33277,0.288468,0.18885,-0.0996183,0.0885682,0.0933705
30,759883607,0,1,-25.3341,5.33332,0.163057,0.333346,0.170289,0.277186,0.189431
30,760345702,0,1,13.3372,5.33363,0.450818,0.425186,-0.0256327,0.107477,0.124989
30,760693773,0,1,16.0001,14.9658,-0.240533,-0.322818,-0.0822854,0.115454,0.0985439
30,761418226,0,1,3.30027,-20,-0.760712,-0.372339,0.388373,0.248592,0.189014
30,762120172,0,1,-2.51947,-25.3333,0.81097,0.318169,-0.492801,0.120398,0.283056
