stimulus_presentation_id,stimulus_block,start_time,stop_time,color,size,Speed,stimulus_name,x_position,y_position,frame,temporal_frequency,Dir,phase,contrast,spatial_frequency,orientation,coherence,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2404,0.0,669.73224,669.98245,null,"[20.0, 20.0]",null,gabors,-20.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020258,148,,,0,,False,11,test,1
2405,0.0,669.98245,670.23265,null,"[20.0, 20.0]",null,gabors,0.0,-20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020742,127,,,0,,False,10,train,2
2406,0.0,670.23265,670.48286,null,"[20.0, 20.0]",null,gabors,-30.0,-20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020742,192,,,0,,False,9,train,1
2407,0.0,670.48286,670.73307,null,"[20.0, 20.0]",null,gabors,-10.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020742,175,,,0,,False,11,test,1
2408,0.0,670.73307,670.98328,null,"[20.0, 20.0]",null,gabors,-10.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020742,195,,,0,,False,7,train,0
2409,0.0,670.98328,671.23349,null,"[20.0, 20.0]",null,gabors,30.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021008,171,,,0,,False,13,train,2
2410,0.0,671.23349,671.4837,null,"[20.0, 20.0]",null,gabors,10.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021008,177,,,0,,False,12,train,1
2411,0.0,671.4837,671.73391,null,"[20.0, 20.0]",null,gabors,0.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021008,206,,,0,,False,9,train,1
2412,0.0,671.73391,671.98412,null,"[20.0, 20.0]",null,gabors,-30.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021008,66,,,0,,False,8,test,0
2413,0.0,671.98412,672.23433,null,"[20.0, 20.0]",null,gabors,-40.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020992,156,,,0,,False,12,train,0
