stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,contrast,temporal_frequency,x_position,size,coherence,stimulus_name,color,Dir,orientation,frame,Speed,spatial_frequency,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2826,0.0,782.36933,782.61953,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-20.0,0.25020291,233,,,0,,False,9,train,0
2827,0.0,782.61953,782.86973,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-10.0,0.25020291,124,,,0,,False,9,train,2
2828,0.0,782.86973,783.11994,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-20.0,0.25020291,231,,,0,,False,12,train,1
2829,0.0,783.11994,783.37015,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-10.0,0.25021209,50,,,0,,False,12,train,1
2830,0.0,783.37015,783.62036,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-10.0,0.25021209,29,,,0,,False,11,test,0
2831,0.0,783.62036,783.87057,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-40.0,0.25021209,206,,,0,,False,12,train,0
2832,0.0,783.87057,784.12078,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-20.0,0.25021209,71,,,0,,False,9,train,2
2833,0.0,784.12078,784.371,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25021041,53,,,0,,False,12,train,2
2834,0.0,784.371,784.62121,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-20.0,0.25021041,231,,,0,,False,13,train,1
2835,0.0,784.62121,784.87142,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-30.0,0.25021041,237,,,0,,False,11,test,2
2836,0.0,784.87142,785.12163,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,40.0,0.25021041,58,,,0,,False,13,train,1
2837,0.0,785.12163,785.37184,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-10.0,0.25021209,76,,,0,,False,11,test,0
2838,0.0,785.37184,785.62205,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,40.0,0.25021209,27,,,0,,False,11,test,2
2839,0.0,785.62205,785.87226,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,40.0,0.25021209,121,,,0,,False,11,test,2
2840,0.0,785.87226,786.12247,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-40.0,0.25021209,43,,,0,,False,9,train,1
2841,0.0,786.12247,786.37268,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,30.0,0.25020291,5,,,0,,False,11,test,0
2842,0.0,786.37268,786.62288,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,0.0,0.25020291,72,,,0,,False,11,test,0
2843,0.0,786.62288,786.87308,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25020291,119,,,0,,False,11,test,2
