ecephys_unit_id,group,ecephys_structure_acronym,unit_split,candidate,gain_x,gain_y,control,shuffle,success,optimizer_status,center_bound,sigma_upper_bound,censored,baseline_spikes,mean_amplitude_spikes,peak_spikes,center_x_deg,center_y_deg,sigma_x_deg,sigma_y_deg,major_sigma_deg,halfmax_area_deg2,train_poisson_deviance,test_poisson_deviance,train_anscombe_rmse,test_anscombe_rmse,nominal_test_poisson_deviance,nominal_test_anscombe_rmse,nominal_halfmax_area_deg2,nominal_mean_amplitude_spikes,test_deviance_improvement,test_anscombe_rmse_improvement,log2_area_ratio,log2_amplitude_ratio,fit_scope
951868951,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,True,False,True,1.2319768,0.92804135,2.4380341,29.009268,60,26.233192,39.55777,39.55777,4519.478,1.3289707,1.3096045,0.98425412,0.97650377,1.3096045,0.97650377,4519.478,0.92804135,0,0,0,0,gain_sweep_qc
951868951,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,True,False,True,1.2310056,0.94587055,2.4598782,29.069547,59.999992,26.272822,39.314883,39.314883,4498.5136,1.3282313,1.3091974,0.98395921,0.97632113,1.3096045,0.97650377,4519.478,0.92804135,0.00040709075,0.00018263439,-0.0067077561,0.027453637,gain_sweep_qc
951868973,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,1.1706755,2.4547244,4.4153623,22.820776,33.423143,11.33189,10.150632,11.33189,500.95733,1.3359328,1.2766101,0.97159687,0.95238842,1.2766101,0.95238842,500.95733,2.4547244,0,0,0,0,gain_sweep_qc
951868973,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,1.1710981,2.453534,4.4063884,22.91195,33.363462,11.328374,10.20794,11.328374,503.6293,1.3360295,1.2760384,0.97155672,0.95220348,1.2766101,0.95238842,500.95733,2.4547244,0.00057166756,0.00018493694,0.0076745058,-0.00069978745,gain_sweep_qc
951869005,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.82654454,0.91310505,2.6352949,-17.364232,39.016065,14.965728,7.0080806,14.965728,456.77493,1.6708504,1.750965,1.0157431,1.0389972,1.750965,1.0389972,456.77493,0.91310505,0,0,0,0,gain_sweep_qc
951869005,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.82412981,1.2192192,3.1529016,-17.883953,48.586131,15.313124,11.876622,15.313124,792.06727,1.6714375,1.7487237,1.0157386,1.0381666,1.750965,1.0389972,456.77493,0.91310505,0.0022413801,0.00083052992,0.7941395,0.41710444,gain_sweep_qc
951869168,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.0052985969,1.9944562,3.5885298,12.292283,58.847371,9.3997484,14.296657,14.296657,585.26971,0.19088648,0.29251863,0.22065574,0.27243582,0.29251863,0.27243582,585.26971,1.9944562,0,0,0,0,gain_sweep_qc
951869168,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.0053669064,1.9327672,3.5271286,12.375173,58.117012,9.4672444,14.090669,14.090669,580.97912,0.19101888,0.29185227,0.22074946,0.27229569,0.29251863,0.27243582,585.26971,1.9944562,0.00066636116,0.00014013342,-0.010615312,-0.045327573,gain_sweep_qc
951869190,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,4.0694781,7.2626439,12.939984,11.845271,42.822605,13.200488,2.0000079,13.200488,114.98125,3.7270206,3.7214807,1.8346231,1.8263754,3.7214807,1.8263754,114.98125,7.2626439,0,0,0,0,gain_sweep_qc
951869190,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,4.0689181,2.8382403,7.5525621,11.952018,39.426946,13.29183,2.0000001,13.29183,115.77642,3.7268126,3.7221073,1.8345359,1.8264772,3.7214807,1.8263754,114.98125,7.2626439,-0.00062664233,-0.0001017614,0.0099428392,-1.3554978,gain_sweep_qc
951869321,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,True,False,True,0.44068585,8.4015126,10.771902,17.140263,60,17.091015,20.552548,20.552548,1529.8148,1.5164104,1.4096885,0.92863593,0.90095691,1.4096885,0.90095691,1529.8148,8.4015126,0,0,0,0,gain_sweep_qc
951869321,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,True,False,True,0.44004259,8.4252086,10.845762,17.177166,60,17.098493,20.659141,20.659141,1538.4218,1.5157143,1.4096352,0.92826436,0.90098183,1.4096885,0.90095691,1529.8148,8.4015126,5.3361772e-05,-2.4914921e-05,0.0080940768,0.0040633115,gain_sweep_qc
951869556,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,1.2699132,5.3325735,9.362272,18.991137,45.354977,6.6044482,2.990042,6.6044482,86.0041,1.6554378,1.5573532,1.0807012,1.0506796,1.5573532,1.0506796,86.0041,5.3325735,0,0,0,0,gain_sweep_qc
951869556,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,1.2695178,1.7570298,3.6276032,18.465448,37.219343,6.6170302,2.5123058,6.6170302,72.400396,1.6552349,1.5611468,1.0806178,1.0517198,1.5573532,1.0506796,86.0041,5.3325735,-0.0037936164,-0.0010401127,-0.24840784,-1.6016927,gain_sweep_qc
951869579,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,True,False,True,0.022512125,1.1530221,2.4482861,15.221168,59.999994,8.4321747,17.560538,17.560538,644.88569,0.3454666,0.38903892,0.29640954,0.31447829,0.38903892,0.31447829,644.88569,1.1530221,0,0,0,0,gain_sweep_qc
951869579,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,True,False,True,0.022671257,1.1845806,2.5362413,15.346233,60,8.4861908,17.391391,17.391391,642.76531,0.34559847,0.38895672,0.29637973,0.31461751,0.38903892,0.31447829,644.88569,1.1530221,8.2202215e-05,-0.00013921572,-0.004751378,0.038956144,gain_sweep_qc
951869592,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.029323971,1.3684738,2.2012925,24.837763,36.392319,3.1136353,3.5796787,3.5796787,48.541939,0.38004463,0.47391492,0.29827706,0.34157865,0.47391492,0.34157865,48.541939,1.3684738,0,0,0,0,gain_sweep_qc
951869592,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.029318606,1.4281728,2.3045403,24.888018,44.954747,2.7620096,8.8694688,8.8694688,106.69108,0.38003187,0.47359046,0.29816521,0.34134552,0.47391492,0.34157865,48.541939,1.3684738,0.00032446248,0.00023312998,1.1361359,0.061602656,gain_sweep_qc
951869676,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.070551823,0.17319792,0.24925723,-22.087142,10.573187,26.881577,12.133633,26.881577,1420.5316,0.73298558,0.77381653,0.47003522,0.48402156,0.77381653,0.48402156,1420.5316,0.17319792,0,0,0,0,gain_sweep_qc
951869676,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.070394978,0.17350435,0.24828094,-21.776318,10.636718,26.624412,12.226896,26.624412,1417.7563,0.73295784,0.77358091,0.4700349,0.48400285,0.77381653,0.48402156,1420.5316,0.17319792,0.00023562797,1.8706477e-05,-0.0028214127,0.0025502893,gain_sweep_qc
951871095,HVA,VISrl,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.94385031,2.0691698,3.6925854,-38.402619,-25.029027,12.636091,7.1656542,12.636091,394.34281,2.7318961,2.8844235,1.3142601,1.3482061,2.8844235,1.3482061,394.34281,2.0691698,0,0,0,0,gain_sweep_qc
951871095,HVA,VISrl,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.943783,2.1261298,3.7864263,-38.676881,-25.189937,12.730779,7.058627,12.730779,391.36371,2.7309929,2.8825478,1.3139838,1.3474281,2.8844235,1.3482061,394.34281,2.0691698,0.001875653,0.00077808536,-0.010940346,0.03917764,gain_sweep_qc
951871117,HVA,VISrl,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.57645142,2.5076343,3.6476154,-30.187696,-14.216486,15.227224,10.449408,15.227224,692.97532,1.5259271,1.3949002,0.94970882,0.9050935,1.3949002,0.9050935,692.97532,2.5076343,0,0,0,0,gain_sweep_qc
951871117,HVA,VISrl,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.57574115,2.4977046,3.6380935,-30.065756,-14.536895,15.251256,10.480806,15.251256,696.15449,1.5261384,1.3963047,0.94961024,0.90524411,1.3949002,0.9050935,692.97532,2.5076343,-0.0014044588,-0.00015060831,0.006603521,-0.0057241487,gain_sweep_qc
951871127,HVA,VISrl,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.43799933,4.5122267,6.4271052,-32.442678,-8.8748043,18.106804,13.455968,18.106804,1061.1141,1.3189507,1.2690694,0.88193909,0.85727105,1.2690694,0.85727105,1061.1141,4.5122267,0,0,0,0,gain_sweep_qc
951871127,HVA,VISrl,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.43803378,4.5094927,6.4196273,-32.461131,-9.0430562,18.113023,13.477989,18.113023,1063.2157,1.3192207,1.2679792,0.88204634,0.85675292,1.2690694,0.85727105,1061.1141,4.5122267,0.001090266,0.00051813335,0.0028545243,-0.00087437937,gain_sweep_qc
951871184,HVA,VISrl,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.66372243,2.8080768,3.7060908,-58.349825,-20.483639,37.686723,12.958192,37.686723,2126.8562,1.5608023,1.4911026,0.99340682,0.97157029,1.4911026,0.97157029,2126.8562,2.8080768,0,0,0,0,gain_sweep_qc
