ecephys_session_id,group,preference,model,weighted_correlation,weighted_rmse_octaves,shared_grid_points,coverage_fraction
755434585,V1,sf,tuning_fitted_affine,-0.213515,0.221411,469,0.997872
755434585,V1,tf,tuning_fitted_affine,0.575592,0.131315,459,0.997826
755434585,HVA pooled,sf,tuning_fitted_affine,0.373095,0.244365,1190,1
755434585,HVA pooled,tf,tuning_fitted_affine,0.700952,0.183066,1196,1
756029989,V1,sf,tuning_fitted_affine,0.908349,0.278738,311,1
756029989,V1,tf,tuning_fitted_affine,0.908511,0.152214,351,1
756029989,HVA pooled,sf,tuning_fitted_affine,0.322997,0.380731,1074,1
756029989,HVA pooled,tf,tuning_fitted_affine,0.739589,0.33211,1101,1
757216464,V1,sf,tuning_fitted_affine,0.50239,0.280901,387,1
757216464,V1,tf,tuning_fitted_affine,0.715134,0.140287,399,1
757216464,HVA pooled,sf,tuning_fitted_affine,-0.215578,0.297754,783,1
757216464,HVA pooled,tf,tuning_fitted_affine,0.629916,0.338716,812,1
757970808,V1,sf,tuning_fitted_affine,0.353461,0.325703,509,1
757970808,V1,tf,tuning_fitted_affine,-0.290323,0.158415,519,1
757970808,HVA pooled,sf,tuning_fitted_affine,0.258426,0.222137,1062,0.994382
757970808,HVA pooled,tf,tuning_fitted_affine,0.808989,0.383602,1207,1
758798717,V1,sf,tuning_fitted_affine,0.432403,0.121658,479,1
758798717,V1,tf,tuning_fitted_affine,0.776449,0.0636671,528,1
758798717,HVA pooled,sf,tuning_fitted_affine,0.154269,0.225952,1074,1
758798717,HVA pooled,tf,tuning_fitted_affine,0.725327,0.305531,1197,1
759883607,V1,sf,tuning_fitted_affine,-0.0458918,0.351036,398,1
759883607,V1,tf,tuning_fitted_affine,-0.183883,0.205087,418,1
759883607,HVA pooled,sf,tuning_fitted_affine,0.418409,0.276249,1031,1
759883607,HVA pooled,tf,tuning_fitted_affine,0.0536556,0.504846,1066,1
760345702,V1,sf,tuning_fitted_affine,-0.120464,0.382891,391,1
760345702,V1,tf,tuning_fitted_affine,0.839402,0.107834,409,1
760345702,HVA pooled,sf,tuning_fitted_affine,0.387151,0.2715,1037,1
760345702,HVA pooled,tf,tuning_fitted_affine,0.358605,0.4478,958,1
760693773,V1,sf,tuning_fitted_affine,0.353162,0.197783,762,1
760693773,V1,tf,tuning_fitted_affine,0.859986,0.202776,745,1
760693773,HVA pooled,sf,tuning_fitted_affine,0.44535,0.15095,1254,1
760693773,HVA pooled,tf,tuning_fitted_affine,0.164807,0.319426,1441,1
761418226,V1,sf,tuning_fitted_affine,0.634673,0.163761,220,0.969163
761418226,V1,tf,tuning_fitted_affine,0.0405936,0.124567,233,0.974895
761418226,HVA pooled,sf,tuning_fitted_affine,0.595739,0.204867,965,1
761418226,HVA pooled,tf,tuning_fitted_affine,0.845129,0.371215,1016,1
762120172,V1,sf,tuning_fitted_affine,0.752289,0.0897721,574,1
762120172,V1,tf,tuning_fitted_affine,0.426843,0.147889,565,1
762120172,HVA pooled,sf,tuning_fitted_affine,0.288342,0.409413,775,0.996144
762120172,HVA pooled,tf,tuning_fitted_affine,0.664725,0.413335,880,1
762602078,V1,sf,tuning_fitted_affine,0.587404,0.449111,529,1
762602078,V1,tf,tuning_fitted_affine,0.389635,0.134479,545,1
762602078,HVA pooled,sf,tuning_fitted_affine,0.797788,0.223477,330,1
762602078,HVA pooled,tf,tuning_fitted_affine,0.57768,0.0956113,297,1
763673393,V1,sf,tuning_fitted_affine,0.0326743,0.188504,329,0.953623
763673393,V1,tf,tuning_fitted_affine,-0.729842,0.168365,342,0.966102
763673393,HVA pooled,sf,tuning_fitted_affine,0.664923,0.165778,640,1
763673393,HVA pooled,tf,tuning_fitted_affine,0.501555,0.319742,710,1
773418906,V1,sf,tuning_fitted_affine,0.253672,0.529362,370,1
773418906,V1,tf,tuning_fitted_affine,0.270268,0.113729,360,1
773418906,HVA pooled,sf,tuning_fitted_affine,0.263112,0.217936,628,1
773418906,HVA pooled,tf,tuning_fitted_affine,0.147299,0.319789,762,1
791319847,V1,sf,tuning_fitted_affine,0.451689,0.347327,548,0.980322
791319847,V1,tf,tuning_fitted_affine,0.774031,0.132779,561,0.99292
791319847,HVA pooled,sf,tuning_fitted_affine,0.532692,0.258098,987,1
791319847,HVA pooled,tf,tuning_fitted_affine,0.678444,0.470877,968,1
797828357,V1,sf,tuning_fitted_affine,0.60612,0.236669,365,0.854801
797828357,V1,tf,tuning_fitted_affine,0.587245,0.247832,388,0.850877
797828357,HVA pooled,sf,tuning_fitted_affine,0.379984,0.184187,212,1
797828357,HVA pooled,tf,tuning_fitted_affine,-0.178443,0.322395,755,0.99473
798911424,V1,sf,tuning_fitted_affine,0.671416,0.100303,573,1
798911424,V1,tf,tuning_fitted_affine,0.903376,0.166815,600,1
798911424,HVA pooled,sf,tuning_fitted_affine,0.580672,0.25039,1442,1
798911424,HVA pooled,tf,tuning_fitted_affine,0.762311,0.190546,1453,1
799864342,V1,sf,tuning_fitted_affine,0.787093,0.454301,429,1
799864342,V1,tf,tuning_fitted_affine,0.407406,0.226392,441,1
799864342,HVA pooled,sf,tuning_fitted_affine,0.586186,0.211988,643,1
799864342,HVA pooled,tf,tuning_fitted_affine,0.723789,0.451991,731,1
