stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,temporal_frequency,phase,color,y_position,orientation,stimulus_name,x_position,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
465,0.0,200.89924,201.14944,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25020198,189,,,0,,False,1,train,0
466,0.0,201.14944,201.39964,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,90.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25020198,207,,,0,,False,2,test,2
467,0.0,201.39964,201.64984,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25020198,162,,,0,,False,1,train,0
468,0.0,201.64984,201.90004,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25020198,217,,,0,,False,0,train,0
469,0.0,201.90004,202.15026,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,90.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022052,157,,,0,,False,3,train,2
470,0.0,202.15026,202.40048,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022052,218,,,0,,False,0,train,1
471,0.0,202.40048,202.6507,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,45.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022052,141,,,0,,False,1,train,1
472,0.0,202.6507,202.90093,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,45.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25022052,219,,,0,,False,0,train,1
473,0.0,202.90093,203.15112,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,90.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25019448,175,,,0,,False,2,test,2
474,0.0,203.15112,203.40131,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25019448,203,,,0,,False,2,test,2
475,0.0,203.40131,203.65151,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,90.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019448,63,,,0,,False,1,train,2
476,0.0,203.65151,203.9017,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25019448,217,,,0,,False,1,train,0
