stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,contrast,coherence,x_position,size,temporal_frequency,orientation,phase,Dir,spatial_frequency,y_position,frame,color,Speed,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2888,0.0,790.92455,791.17476,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25020548,192,,,0,,False,12,train,0
2889,0.0,791.17476,791.42497,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25021202,146,,,0,,False,13,train,2
2890,0.0,791.42497,791.67518,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25021202,166,,,0,,False,10,train,2
2891,0.0,791.67518,791.92539,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021202,76,,,0,,False,12,train,1
2892,0.0,791.92539,792.1756,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25021202,238,,,0,,False,12,train,1
2893,0.0,792.1756,792.42581,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25020798,243,,,0,,False,10,train,1
2894,0.0,792.42581,792.67602,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25020798,62,,,0,,False,11,test,1
2895,0.0,792.67602,792.92623,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25020798,12,,,0,,False,13,train,2
2896,0.0,792.92623,793.17644,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25020798,155,,,0,,False,10,train,2
2897,0.0,793.17644,793.42665,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25020952,241,,,0,,False,10,train,1
2898,0.0,793.42665,793.67686,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25020952,47,,,0,,False,9,train,2
2899,0.0,793.67686,793.92706,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25020952,72,,,0,,False,10,train,2
