stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,contrast,phase,size,temporal_frequency,Dir,frame,coherence,spatial_frequency,color,x_position,Speed,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1265,0.0,391.62118,391.87138,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,90.0,0.25020275,242,,,0,,False,3,train,2
1266,0.0,391.87138,392.12158,-40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,45.0,0.25020275,164,,,0,,False,9,train,1
1267,0.0,392.12158,392.37179,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,20.0,null,90.0,0.25020275,13,,,0,,False,9,train,2
1268,0.0,392.37179,392.62199,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,90.0,0.25020275,192,,,0,,False,2,test,2
1269,0.0,392.62199,392.8722,10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,90.0,0.25020975,169,,,0,,False,7,train,2
1270,0.0,392.8722,393.12241,10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,0.0,0.25020975,171,,,0,,False,4,train,0
1271,0.0,393.12241,393.37262,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,45.0,0.25020975,190,,,0,,False,3,train,1
1272,0.0,393.37262,393.62283,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,90.0,0.25020975,186,,,0,,False,5,test,2
1273,0.0,393.62283,393.87304,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,0.0,0.25021025,158,,,0,,False,7,train,0
1274,0.0,393.87304,394.12325,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,0.0,0.25021025,203,,,0,,False,2,test,0
