stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,frame,y_position,stimulus_name,Speed,spatial_frequency,size,contrast,orientation,coherence,color,Dir,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3482,0.0,939.9179,940.16812,-40.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021563,134,,,0,,False,14,test,1
3483,0.0,940.16812,940.41834,40.0,null,30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021563,102,,,0,,False,14,test,2
3484,0.0,940.41834,940.66855,30.0,null,20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021563,35,,,0,,False,14,test,2
3485,0.0,940.66855,940.91877,40.0,null,20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021937,109,,,0,,False,13,train,1
3486,0.0,940.91877,941.16899,40.0,null,-40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021937,203,,,0,,False,14,test,2
3487,0.0,941.16899,941.41921,10.0,null,-30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021937,232,,,0,,False,12,train,1
3488,0.0,941.41921,941.66943,30.0,null,-30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021937,92,,,0,,False,14,test,0
3489,0.0,941.66943,941.91963,0.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,85,,,0,,False,14,test,0
3490,0.0,941.91963,942.16983,10.0,null,-40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,108,,,0,,False,14,test,0
3491,0.0,942.16983,942.42003,30.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,166,,,0,,False,12,train,1
3492,0.0,942.42003,942.67023,-10.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,194,,,0,,False,12,train,0
3493,0.0,942.67023,942.92043,-30.0,null,-30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,68,,,0,,False,14,test,0
3494,0.0,942.92043,943.17063,30.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,206,,,0,,False,13,train,0
3495,0.0,943.17063,943.42082,30.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,166,,,0,,False,13,train,1
3496,0.0,943.42082,943.67102,30.0,null,30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019687,121,,,0,,False,13,train,2
