ecephys_session_id,specimen_id,session_type,improved_units,offset_az_raw_deg,offset_el_raw_deg,half_a_az_raw_deg,half_a_el_raw_deg,half_b_az_raw_deg,half_b_el_raw_deg,split_distance_deg,split_az_difference_deg,split_el_difference_deg,offset_az_relative_deg_v1,half_a_az_relative_deg,half_b_az_relative_deg,offset_el_relative_deg_v1,half_a_el_relative_deg,half_b_el_relative_deg,units,nuclei,offset_az_relative_deg_thal,offset_el_relative_deg_thal,heldout_centered_r2
789848216,763808604,functional_connectivity,25,-22.275532051555103,1.0791201748775157,-22.893386024298792,2.653501277211406,-21.1772170681521,-0.3569805665098764,3.465290293383387,-1.7161689561466922,3.0104818437212826,-22.1276192310606,-22.46185110024793,-21.3698892639534,2.991168523568639,5.030550869456373,1.4680038167995284,2,1,13.921775514489731,-6.273326630003492,-0.14820046192617142
791319847,769360779,brain_observatory_1.1,127,9.350115827867592,-4.462352430914585,9.191904916060135,-4.962882118196337,9.538483937207824,-4.349690687461999,0.7043583950133021,-0.34657902114769,-0.6131914307343376,9.498028648362094,9.623439840110995,9.345811741406528,-2.550304082223461,-2.58583252595137,-2.5247063041525943,6,2,15.462438266667125,-23.237984764931614,-0.08323638378187605
793224716,769319624,functional_connectivity,127,10.91267189013704,1.0712909929487875,10.895031050385992,0.636901555975625,11.047173145928932,1.8360296153309537,1.208741212985424,-0.1521420955429402,-1.1991280593553288,11.060584710631543,11.326565974436852,10.854500950127637,2.983339341639911,3.013951148220592,3.6610139986403594,2,1,-3.5476029913511704,-17.54160543248368,0.13980103325744808
794812542,774672366,functional_connectivity,113,0.3092794135245995,-1.3784414774412628,0.5613550741273006,-1.3784414774412628,0.1926721958012973,-1.2872043600699352,0.379804260582969,0.3686828783260032,-0.0912371173713275,0.4571922340191023,0.9928899981781624,0.0,0.5336068712498607,0.998608114803704,0.5377800232394696,4,1,-12.60468326314534,2.2313835031128546,0.11468362084040506
797828357,776061251,brain_observatory_1.1,117,10.763019349673066,3.328729444549434,10.424228204302654,3.117081384246455,11.452097116380669,3.341223159707373,1.0520237810635338,-1.027868912078015,-0.224141775460918,10.910932170167568,10.855763128353516,11.259424920579372,5.240777793240558,5.494130976491421,5.166207543016778,16,1,-8.19902650917124,-5.008002481195236,0.055840844521001354
798911424,775876828,brain_observatory_1.1,127,0.9186687245724948,4.260722143180013,0.7740893932667228,3.8884726512177954,1.0384542219609507,4.293392465989212,0.4835791755700892,-0.2643648286942279,-0.404919814771417,1.0665815450669975,1.2056243173175845,0.8457820261596534,6.172770491871137,6.265522243462762,6.118376849298617,13,1,-0.5540078706497134,6.951874854516497,0.13368227747312755
799864342,772616823,brain_observatory_1.1,127,-1.0396773490336553,3.3990660250532074,-0.5501836094378221,3.9293347526097486,-1.214783708556313,3.213459107699156,0.9768168869980008,0.6646000991184906,0.715875644910593,-0.8917645285391524,-0.1186486853869603,-1.40745590435761,5.311114373744331,6.306384344854715,5.038443491008561,40,2,4.051311210398585,-2.3474203113577228,0.11147703514636348
816200189,791857608,functional_connectivity,93,1.3410778948061868,4.895069652609974,1.3410778948061868,4.628778438083722,1.3449164455506493,5.116181548022803,0.4874182249876446,-0.0038385507444624,-0.4874031099390814,1.4889907153006896,1.7726128188570485,1.152244249749352,6.807118001301098,7.005828030328688,6.941165931332208,8,1,1.092499127888032,-5.143390216763711,0.06895808979338292
835479236,813701562,functional_connectivity,74,25.61873381699988,16.283601273592637,24.824273440050103,17.710609524062086,26.531444095772702,15.724506989151624,2.618975930958148,-1.7071706557225994,1.9861025349104635,25.766646637494382,25.255808364100968,26.33877189997141,18.19564962228376,20.08765911630705,17.549491372461027,6,2,-1.4093032848750158,-3.9576437472296817,0.02762694595518773
839068429,817060751,functional_connectivity,112,-5.700162219380159,8.29914371317479,-5.232750608452291,7.730085641273481,-7.448143494740512,9.575601630251214,2.8833825459326268,2.215392886288222,-1.8455159889777324,-5.552249398885657,-4.801215684401429,-7.64081569054181,10.211192061865912,10.107135233518449,11.400586013560618,17,2,10.803302371108842,9.31673188750218,0.032284559233481946
840012044,820866121,functional_connectivity,80,1.512950026028046,-4.160676024510217,1.6185806590983804,-3.994409193125257,1.4492224659301782,-4.552431735164684,0.5831563726971883,0.1693581931682022,0.5580225420394269,1.6608628465225488,2.050115583149242,1.2565502701288809,-2.248627675819093,-1.6173596008802904,-2.7274473518552798,14,1,2.996872778136022,2.223549853952991,0.0737825858139588
847657808,827809884,functional_connectivity,82,-10.0271943491189,6.899724522327656,-10.05570955181705,6.424087783140271,-9.998679146420752,7.440264116182656,1.0177754206970882,-0.0570304053962971,-1.0161763330423854,-9.879281528624398,-9.624174627766187,-10.191351342222047,8.811772871018778,8.801137375385238,9.265248499492062,2,1,-14.383913371039434,-0.07994011167822368,-0.021765703197319075
