stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,size,contrast,coherence,frame,spatial_frequency,orientation,color,phase,y_position,stimulus_name,x_position,Speed,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3205,0.0,870.6473,870.8975,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,40.0,null,null,0.25020711,133,,,0,,False,12,train,2
3206,0.0,870.8975,871.14771,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,30.0,null,null,0.25020711,4,,,0,,False,12,train,0
3207,0.0,871.14771,871.39792,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,10.0,null,null,0.25020711,105,,,0,,False,12,train,2
3208,0.0,871.39792,871.64812,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,40.0,null,null,0.25020711,153,,,0,,False,13,train,2
3209,0.0,871.64812,871.89834,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,10.0,null,null,0.25021289,241,,,0,,False,11,test,2
3210,0.0,871.89834,872.14855,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,-30.0,null,null,0.25021289,136,,,0,,False,14,test,1
3211,0.0,872.14855,872.39876,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,-10.0,null,null,0.25021289,107,,,0,,False,10,train,1
3212,0.0,872.39876,872.64898,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,null,null,0.25021289,212,,,0,,False,14,test,0
3213,0.0,872.64898,872.89918,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,20.0,null,null,0.25019961,20,,,0,,False,13,train,1
3214,0.0,872.89918,873.14937,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,30.0,null,null,0.25019961,223,,,0,,False,11,test,1
3215,0.0,873.14937,873.39957,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,null,null,0.25019961,88,,,0,,False,13,train,0
3216,0.0,873.39957,873.64977,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,-30.0,null,null,0.25019961,213,,,0,,False,12,train,2
3217,0.0,873.64977,873.89998,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,-40.0,null,null,0.25021039,128,,,0,,False,13,train,1
3218,0.0,873.89998,874.15019,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,20.0,null,null,0.25021039,199,,,0,,False,12,train,0
3219,0.0,874.15019,874.40041,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,-40.0,null,null,0.25021039,175,,,0,,False,12,train,0
3220,0.0,874.40041,874.65062,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,10.0,null,null,0.25021039,201,,,0,,False,14,test,2
3221,0.0,874.65062,874.90083,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,-20.0,null,null,0.25021461,86,,,0,,False,12,train,1
3222,0.0,874.90083,875.15104,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,-20.0,null,null,0.25021461,190,,,0,,False,12,train,0
3223,0.0,875.15104,875.40126,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,-40.0,null,null,0.25021461,104,,,0,,False,12,train,2
3224,0.0,875.40126,875.65147,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,0.0,null,null,0.25021461,182,,,0,,False,14,test,0
3225,0.0,875.65147,875.90168,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,40.0,null,null,0.25020539,68,,,0,,False,13,train,2
3226,0.0,875.90168,876.15188,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,10.0,null,null,0.25020539,217,,,0,,False,14,test,0
3227,0.0,876.15188,876.40209,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,-10.0,null,null,0.25020539,107,,,0,,False,11,test,1
3228,0.0,876.40209,876.6523,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,30.0,null,null,0.25020539,189,,,0,,False,13,train,1
3229,0.0,876.6523,876.9025,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,20.0,null,null,0.25020711,162,,,0,,False,11,test,1
3230,0.0,876.9025,877.15271,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,40.0,null,null,0.25020711,200,,,0,,False,13,train,1
3231,0.0,877.15271,877.40292,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,10.0,null,null,0.25020711,116,,,0,,False,13,train,1
3232,0.0,877.40292,877.65312,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,-10.0,null,null,0.25020711,111,,,0,,False,13,train,0
3233,0.0,877.65312,877.90333,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,0.0,null,null,0.25020789,19,,,0,,False,13,train,2
3234,0.0,877.90333,878.15354,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,-10.0,null,null,0.25020789,115,,,0,,False,12,train,1
3235,0.0,878.15354,878.40375,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-10.0,null,null,0.25020789,215,,,0,,False,13,train,2
3236,0.0,878.40375,878.65396,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,-30.0,null,null,0.25020789,141,,,0,,False,13,train,2
3237,0.0,878.65396,878.90416,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,20.0,null,null,0.25019961,162,,,0,,False,12,train,1
3238,0.0,878.90416,879.15435,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,-20.0,null,null,0.25019961,38,,,0,,False,13,train,1
3239,0.0,879.15435,879.40455,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,10.0,null,null,0.25019961,116,,,0,,False,14,test,1
3240,0.0,879.40455,879.65475,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,-30.0,null,null,0.25019961,233,,,0,,False,14,test,1
3241,0.0,879.65475,879.90497,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,30.0,null,null,0.25021789,4,,,0,,False,13,train,0
3242,0.0,879.90497,880.15519,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,10.0,null,null,0.25021789,143,,,0,,False,11,test,1
3243,0.0,880.15519,880.40541,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,null,null,0.25021789,232,,,0,,False,11,test,2
3244,0.0,880.40541,880.65563,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,-30.0,null,null,0.25021789,93,,,0,,False,10,train,2
3245,0.0,880.65563,880.90585,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,-10.0,null,null,0.25022461,109,,,0,,False,12,train,1
3246,0.0,880.90585,881.15607,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,30.0,null,null,0.25022461,192,,,0,,False,13,train,0
3247,0.0,881.15607,881.4063,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,30.0,null,null,0.25022461,210,,,0,,False,12,train,2
3248,0.0,881.4063,881.65652,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,-10.0,null,null,0.25022461,107,,,0,,False,12,train,1
3249,0.0,881.65652,881.90672,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,30.0,null,null,0.25019289,198,,,0,,False,14,test,2
3250,0.0,881.90672,882.15691,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,null,null,0.25019289,232,,,0,,False,12,train,2
3251,0.0,882.15691,882.4071,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,30.0,null,null,0.25019289,224,,,0,,False,12,train,2
