stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,size,color,frame,temporal_frequency,x_position,y_position,orientation,stimulus_name,spatial_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3080,0.0,859.91278,860.16299,0.8,"[20.0, 20.0]",null,null,4.0,0.0,10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,68,,,0,,False,13,train,1
3081,0.0,860.16299,860.41319,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,243,,,0,,False,8,test,0
3082,0.0,860.41319,860.66339,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,60,,,0,,False,11,test,2
3083,0.0,860.66339,860.91359,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,0.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,178,,,0,,False,12,train,0
3084,0.0,860.91359,861.16379,0.8,"[20.0, 20.0]",null,null,4.0,40.0,10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,143,,,0,,False,10,train,2
3085,0.0,861.16379,861.41401,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,33,,,0,,False,13,train,1
3086,0.0,861.41401,861.66422,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,170,,,0,,False,11,test,1
3087,0.0,861.66422,861.91444,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,56,,,0,,False,12,train,0
3088,0.0,861.91444,862.16465,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,60,,,0,,False,12,train,2
3089,0.0,862.16465,862.41486,0.8,"[20.0, 20.0]",null,null,4.0,30.0,0.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020493,51,,,0,,False,14,test,1
3090,0.0,862.41486,862.66506,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020493,18,,,0,,False,12,train,1
3091,0.0,862.66506,862.91527,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-30.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020493,221,,,0,,False,12,train,2
3092,0.0,862.91527,863.16547,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020493,172,,,0,,False,13,train,0
3093,0.0,863.16547,863.41569,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,214,,,0,,False,9,train,0
3094,0.0,863.41569,863.66591,0.8,"[20.0, 20.0]",null,null,4.0,40.0,-30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,152,,,0,,False,11,test,1
3095,0.0,863.66591,863.91612,0.8,"[20.0, 20.0]",null,null,4.0,10.0,30.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,34,,,0,,False,11,test,0
3096,0.0,863.91612,864.16634,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,41,,,0,,False,11,test,1
3097,0.0,864.16634,864.41654,0.8,"[20.0, 20.0]",null,null,4.0,20.0,-30.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,150,,,0,,False,14,test,0
3098,0.0,864.41654,864.66674,0.8,"[20.0, 20.0]",null,null,4.0,10.0,-10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,126,,,0,,False,11,test,2
3099,0.0,864.66674,864.91694,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,189,,,0,,False,12,train,1
3100,0.0,864.91694,865.16714,0.8,"[20.0, 20.0]",null,null,4.0,0.0,40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,163,,,0,,False,11,test,2
3101,0.0,865.16714,865.41736,0.8,"[20.0, 20.0]",null,null,4.0,0.0,40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,190,,,0,,False,9,train,0
3102,0.0,865.41736,865.66758,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,91,,,0,,False,11,test,0
3103,0.0,865.66758,865.91779,0.8,"[20.0, 20.0]",null,null,4.0,40.0,-30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,152,,,0,,False,12,train,1
