session_id,ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,released_azimuth_rf_deg,released_elevation_rf_deg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,axis_center_x_deg,axis_center_y_deg,axis_sigma_x_deg,axis_sigma_y_deg,axis_area_deg2,axis_train_deviance,axis_test_deviance,axis_optimizer_nfev,axis_censored,axis_edge_distance_deg,rotation_center_x_deg,rotation_center_y_deg,rotation_sigma_major_deg,rotation_sigma_minor_deg,rotation_angle_deg,rotation_axis_ratio,rotation_area_deg2,rotation_train_deviance,rotation_test_deviance,rotation_optimizer_nfev,rotation_test_gain,rotation_train_gain,rotation_sigma_lower_bound,rotation_sigma_upper_bound,axis_parameters,rotation_parameters,model_elapsed_seconds
797828357,951099550,HVA,VISal,evaluation,point,66,-28,500,2048.7512,1932.2743,14.4421241,-35.5281938,15.072559,3.22443486,211.663479,1.79483251,1.89370991,45,False,4.47180616,16.018181,-35.4352298,7.97354784,2.98857742,-8.40664976,2.66800779,103.781859,1.79396162,1.90224616,26,-0.00853624574,0.000870888518,False,False,"[1.9064842359735048, 1.991514413424869, 3.427122640049284, 2.948444892499495, 14.442124081004641, -35.5281938385093, 15.072559032565938, 3.224434859983937]","[1.9266357505200142, 3.259379066989141, 4.73278410144396, 4.781507591694453, 16.018181049896814, -35.4352297747308, 7.9735478355644185, 2.988577419034457, -0.14672371736306822]",0.287691499
797828357,951099557,HVA,VISal,evaluation,aperture,86,42,500,96.156281,955.9989,-18.653579,26.7954846,50,42.6712031,9292.02184,1.48332806,1.57731081,18,True,13.2045154,-6.03315987,15.7100838,50,24.8801351,33.314183,2.00963539,5417.8636,1.47274629,1.57315873,41,0.00415207553,0.0105817695,False,True,"[0.43864854708669326, 0.5053090315963557, 0.5965016514527518, 0.5538212334942221, -18.65357896302316, 26.795484600196286, 49.999999999979785, 42.67120311802598]","[0.4768182713440663, 0.5019153993765285, 0.6168546032798213, 0.5731989312964492, -6.033159866062197, 15.710083833789323, 49.99999999999999, 24.88013505929188, 0.5814421810150456]",3.45541669
797828357,951099557,HVA,VISal,evaluation,point,86,42,500,96.156281,955.9989,-18.5603878,26.7062309,49.9999997,42.6873296,9295.53346,1.48339789,1.57735335,19,True,13.2937691,-6.00174044,15.711381,50,25.318785,33.2655537,1.9748183,5513.38341,1.47288151,1.57324486,41,0.00410849677,0.0105163843,False,True,"[0.4414805561860921, 0.5022709837320607, 0.5937901960942312, 0.5511796298680196, -18.560387791301743, 26.70623088826893, 49.99999965252157, 42.68732962173807]","[0.4782289988449925, 0.5006788408255759, 0.6159230232137115, 0.5722976381953258, -6.0017404407540615, 15.711381042278786, 49.99999998800507, 25.318785021578876, 0.5805934403319846]",0.356422144
797828357,951099566,HVA,VISal,evaluation,aperture,48,-26,500,140.74728,91.185602,-7.36385336,-24.2459449,24.8902948,30.1220513,3265.27613,1.03881332,1.01567247,17,False,15.7540551,-5.20455627,-27.3006493,31.6729607,17.8733452,-56.8925726,1.77207793,2465.47064,1.03660225,1.01180162,19,0.00387084665,0.00221106941,False,False,"[1.8235665677567663, 0.8621747976905308, 1.0124387309579839, 0.6206105907904895, -7.363853364194747, -24.245944889470074, 24.890294828378188, 30.12205130214349]","[1.8931983941499257, 0.8493241402605555, 1.0449940425543927, 0.6688669350117648, -5.204556270980938, -27.30064932389204, 31.6729606757506, 17.873345229343908, -0.9929627125195408]",2.07270573
797828357,951099566,HVA,VISal,evaluation,point,48,-26,500,140.74728,91.185602,-7.36510861,-24.2478549,25.3946359,30.5425422,3377.94444,1.03881308,1.01567005,17,False,15.7521451,-5.20142859,-27.3059501,32.0816796,18.5878045,-56.9143183,1.72595315,2597.11107,1.03660328,1.01180396,18,0.00386609187,0.00220979859,False,False,"[1.823539555511352, 0.8622567963878619, 1.0125415386420438, 0.6206793585042067, -7.365108608534639, -24.24785493764794, 25.39463587431298, 30.5425421933634]","[1.892975030178496, 0.8496306024436956, 1.0452060121123812, 0.6689691594258311, -5.201428593133856, -27.30595013544956, 32.08167964672916, 18.587804489501117, -0.9933422454080212]",0.179835003
797828357,951099576,HVA,VISal,calibration,aperture,88.571,25.714,700,88.969612,3129.3165,-56.5889383,15.5096944,15.4409952,26.4004902,1775.38525,1.17549995,1.25309526,28,False,-16.5889383,-55.5635291,-19.1041382,50,8.42960168,69.4159823,5.93147837,1835.61834,1.17458466,1.25893721,22,-0.0058419523,0.000915291025,False,True,"[0.29730573187442183, 0.5632716309663125, 0.24730999447813481, 0.4004502388881947, -56.58893830559165, 15.50969443290015, 15.440995187716743, 26.400490188146556]","[0.2978291488217099, 0.4450735807070201, 0.19262203642901807, 0.35292222079619207, -55.563529060446754, -19.10413821933747, 49.99999999999999, 8.429601676506314, 1.2115374452425085]",2.60713357
797828357,951099576,HVA,VISal,calibration,point,88.571,25.714,700,88.969612,3129.3165,-56.5783713,15.4703139,16.2272234,26.8727633,1899.16139,1.17550214,1.25308284,30,False,-16.5783713,-43.6181976,4.17048426,50,4.37960893,71.4841658,11.4165444,953.697549,1.17586328,1.26234399,66,-0.00926114965,-0.000361134252,False,True,"[0.2973036707332435, 0.564647601882683, 0.2474841155760709, 0.4012631418018436, -56.578371304302316, 15.470313890247287, 16.227223407081475, 26.87276329498719]","[0.30837211898158723, 0.4324215115586018, 3.6252525287961137e-17, 0.4213277677658996, -43.618197649635015, 4.170484255393543, 49.99999999999999, 4.379608932781589, 1.24763405673614]",0.564198594
797828357,951099584,HVA,VISal,calibration,aperture,86,2,500,103.7489,736.38657,39.1918774,-9.92569351,11.8950287,15.2538391,790.223576,1.6469887,1.74528989,16,False,0.808122589,38.9263039,-11.0564925,15.8949282,11.186717,-72.073415,1.42087515,774.402153,1.6462119,1.74534049,12,-5.05955887e-05,0.000776806916,False,False,"[0.38943389388128746, 0.5526219914035584, 0.7030639145927283, 0.7655635640570952, 39.191877410647606, -9.925693510602976, 11.895028657874734, 15.253839085502008]","[0.38940887462883383, 0.5463670423145123, 0.7005514846565146, 0.7734285373270948, 38.92630393470647, -11.056492503234393, 15.89492819569197, 11.186717006456961, -1.2579183955234359]",1.92979121
797828357,951099584,HVA,VISal,calibration,point,86,2,500,103.7489,736.38657,39.220697,-9.93278146,12.9751774,16.1108268,910.408834,1.64702506,1.74530893,13,False,0.779303022,38.989474,-11.0486507,16.7054926,12.3748433,-72.2327667,1.34995589,900.335394,1.64627404,1.7453697,15,-6.07709587e-05,0.000751023055,False,False,"[0.3892993535866481, 0.5531569366285978, 0.7037585283473224, 0.7658829613086915, 39.220696977757434, -9.932781461791917, 12.975177440514948, 16.1108267692916]","[0.38923344928940784, 0.547072289868228, 0.7014459802188006, 0.7735373464496239, 38.9894739562073, -11.048650697271256, 16.705492570011227, 12.374843306134686, -1.2606996069758634]",0.119472404
797828357,951099593,HVA,VISal,calibration,aperture,77.143,-13.571,1400,51.578795,106.89561,26.8055046,-19.2146669,19.9673143,16.4109795,1427.1167,1.15231144,1.12734591,9,False,13.1944954,26.8339891,-19.2712208,20.0621058,16.4137221,-3.21824683,1.22227644,1434.13133,1.15223482,1.12629608,8,0.00104982505,7.66241334e-05,False,False,"[2.7531580865173324, 3.7163659485873253, 4.457923117342901, 5.8154199006731835, 26.80550455715311, -19.21466694986284, 19.967314293498315, 16.41097951768545]","[2.7507545906056357, 3.7088340420023145, 4.4577702833995465, 5.81183905298187, 26.83398913044875, -19.27122079558728, 20.062105810994055, 16.413722120421887, -0.05616900327292562]",1.25463534
797828357,951099593,HVA,VISal,calibration,point,77.143,-13.571,1400,51.578795,106.89561,26.8054237,-19.2160798,20.6052137,17.1877562,1542.41641,1.15233968,1.12736215,9,False,13.1945763,26.833842,-19.2719716,20.6967124,17.1907107,-3.20200098,1.20394745,1549.53191,1.15226365,1.12631901,11,0.00104314699,7.60353991e-05,False,False,"[2.7524308076886466, 3.717567552571322, 4.459385793256887, 5.81678473194884, 26.805423672428457, -19.216079809388855, 20.605213701176673, 17.18775623658021]","[2.750026311848512, 3.710061849268913, 4.459195058132731, 5.813125633042079, 26.833841967203274, -19.271971564574194, 20.696712355718837, 17.190710675110243, -0.0558854597079852]",0.0895069572
797828357,951099601,HVA,VISal,evaluation,aperture,74,7,1000,88.207366,1982.8448,24.1137108,-1.10532106,16.6279047,5.39211718,390.483043,1.17368737,1.22085624,13,False,15.8862892,29.8982944,-5.55258061,50,8.23190301,-32.8273815,6.07392968,1792.56775,1.16668066,1.21119126,25,0.00966497994,0.00700671132,False,True,"[1.6696124760763924, 1.1409068756797123, 0.511653779143811, 1.1386224674173717, 24.11371084067762, -1.1053210562825693, 16.62790473903589, 5.392117182833271]","[1.5750214242699863, 0.9322807008187305, 0.5378747708082026, 0.979307629440472, 29.898294440051938, -5.552580610663404, 49.99999999870495, 8.231903010975044, -0.5729458923302837]",2.6325413
797828357,951099601,HVA,VISal,evaluation,point,74,7,1000,88.207366,1982.8448,24.5150232,-1.19751435,17.6668953,7.64164021,587.965915,1.17368026,1.22115518,14,False,15.4849768,29.492394,-5.23971835,50,9.86670363,-32.8085506,5.06754858,2148.55966,1.16681442,1.21111697,24,0.0100382131,0.00686583645,False,True,"[1.6689538300708249, 1.1560219990129132, 0.5029676292291181, 1.1525442700655144, 24.515023209857443, -1.197514350243056, 17.666895272316566, 7.641640213697552]","[1.573066586721554, 0.9297140654063264, 0.5352495394644436, 0.9781520543140301, 29.492394017270918, -5.239718347547311, 49.99999999869952, 9.866703630590113, -0.5726172304449533]",0.229058709
797828357,951099614,HVA,VISal,calibration,aperture,33.333,35.417,2400,510.65472,635.5125,-35.979377,60,50,48.1379457,10482.4521,1.22956624,1.29354767,32,True,-20,-17.1016891,30.2770737,50,24.2099621,36.8522692,2.06526552,5271.92766,1.22765054,1.28931776,31,0.00422991127,0.001915699,False,True,"[0.40247804133536863, 0.2827371887237333, 0.4122495618089525, 0.3702548354491031, -35.979376963021345, 59.99999999999999, 49.99999999999999, 48.137945699529396]","[0.4205171374208584, 0.22258381606190475, 0.30861842153356295, 0.2970970180829226, -17.10168909121015, 30.277073697300736, 49.99999999999999, 24.209962062995952, 0.6431934351321802]",3.6458858
797828357,951099614,HVA,VISal,calibration,point,33.333,35.417,2400,510.65472,635.5125,-35.7237863,60,50,48.2865516,10514.8123,1.22958718,1.29354674,34,True,-20,-17.0635948,30.3007359,50,24.6564556,36.8111916,2.02786649,5369.15547,1.22768421,1.28932404,32,0.00422269548,0.00190296906,False,True,"[0.40300082060053904, 0.2820162660156193, 0.4117888692590371, 0.3695096194346202, -35.723786339226976, 59.99999999999999, 49.99999999999999, 48.28655155157582]","[0.42097981250174255, 0.22224614835455456, 0.3085853365117064, 0.2968487169487075, -17.063594825483612, 30.30073591109053, 49.99999999999999, 24.656455568918346, 0.6424764957205316]",0.26148566
