stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,stimulus_name,y_position,color,frame,size,x_position,spatial_frequency,orientation,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
344,0.0,176.1991,176.44932,0.8,gabors,40.0,null,null,"[20.0, 20.0]",-20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,136,,,0,,False,2,test,2
345,0.0,176.44932,176.69952,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,159,,,0,,False,1,train,1
346,0.0,176.69952,176.94972,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,42,,,0,,False,1,train,2
347,0.0,176.94972,177.19992,0.8,gabors,10.0,null,null,"[20.0, 20.0]",-10.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,63,,,0,,False,1,train,0
348,0.0,177.19992,177.45012,0.8,gabors,10.0,null,null,"[20.0, 20.0]",20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,124,,,0,,False,2,test,2
349,0.0,177.45012,177.70033,0.8,gabors,20.0,null,null,"[20.0, 20.0]",10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,151,,,0,,False,2,test,2
350,0.0,177.70033,177.95054,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-20.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,84,,,0,,False,2,test,1
351,0.0,177.95054,178.20076,0.8,gabors,20.0,null,null,"[20.0, 20.0]",20.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,55,,,0,,False,4,train,1
352,0.0,178.20076,178.45097,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",-10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,186,,,0,,False,0,train,2
353,0.0,178.45097,178.70118,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",-30.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,187,,,0,,False,0,train,2
354,0.0,178.70118,178.95139,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",0.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,188,,,0,,False,0,train,1
355,0.0,178.95139,179.2016,0.8,gabors,30.0,null,null,"[20.0, 20.0]",-40.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,185,,,0,,False,1,train,0
356,0.0,179.2016,179.45181,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",-10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,189,,,0,,False,0,train,2
357,0.0,179.45181,179.70202,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",-30.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,190,,,0,,False,0,train,0
358,0.0,179.70202,179.95223,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",0.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,160,,,0,,False,1,train,0
