session_id,system,bandwidth_iqr_units,cells,spearman_rho,mae_log2_octaves,constant_mae_log2_octaves,mae_improvement_vs_constant_log2,area_only_mae_log2_octaves,mae_improvement_vs_area_only_log2
829720705,ccf_anatomy,0.35,108,0.50189016894161,0.7980857400374721,1.0030646142623683,0.20497887422489613,0.8022502584243114,0.004164518386839289
829720705,registered_map,0.35,108,0.4985648154662593,0.8116249887603197,1.0030646142623683,0.19143962550204852,0.8022502584243114,-0.00937473033600833
829720705,observed_rf,0.55,108,0.2634828088827917,0.9406412899622029,1.0030646142623683,0.062423324300165395,0.8022502584243114,-0.13839103153789145
831882777,area_only,,83,0.49273324632805837,0.9162021344834574,1.0283690639348828,0.11216692945142537,0.9162021344834574,0.0
831882777,ccf_anatomy,0.35,83,0.46798572983516373,0.9288216736989334,1.0283690639348828,0.09954739023594938,0.9162021344834574,-0.012619539215475983
831882777,registered_map,0.35,83,0.4690983571170416,0.9267504283824812,1.0283690639348828,0.10161863555240158,0.9162021344834574,-0.010548293899023786
831882777,observed_rf,0.55,83,0.3529448805675664,1.0547692573751053,1.0283690639348828,-0.026400193440222486,0.9162021344834574,-0.13856712289164785
847657808,area_only,,109,0.24614249959174284,0.7618196892174931,0.7988350784016411,0.03701538918414804,0.7618196892174931,0.0
847657808,ccf_anatomy,0.2,109,0.3152395042825206,0.7374104644621174,0.7988350784016411,0.0614246139395237,0.7618196892174931,0.024409224755375658
847657808,registered_map,0.2,109,0.3155082704153226,0.7498715087523953,0.7988350784016411,0.048963569649245864,0.7618196892174931,0.011948180465097824
847657808,observed_rf,0.35,109,0.018376424798443147,0.8206944291010096,0.7988350784016411,-0.021859350699368507,0.7618196892174931,-0.05887473988351655
