unit_id,selection_role,group,direction,rows_or_columns_removed,model,remaining_rows,remaining_columns,threshold_center_x_px,threshold_center_y_px,threshold_area_deg2,threshold_component_touches_crop_edge,original_threshold_component_censored,original_peak_removed,crop_stratum,success,at_bound,baseline,center_x_px,center_y_px,sigma_x_px,sigma_y_px,data_rmse,ring_modulation_rms,major_sigma_deg,minor_sigma_deg,major_sigma_ratio,absolute_log2_major_sigma_ratio,center_error_deg,threshold_area_ratio
951869357,V1 typical,V1,left,0,Baseline + DC ring,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850034,4.6202392,3.2477311,0.92557023,0.57157264,2.6739389,0.00095552861,9.2557023,5.7157264,1,0,0,1
951869357,V1 typical,V1,left,1,Allen no baseline,9,8,4.5,3.5,400,False,False,False,component intact,True,False,0,4.8390749,3.2596253,1.4690663,0.76081045,,,14.690663,7.6081045,0.97409281,0.037868853,0.13490692,1.3333333
951869357,V1 typical,V1,left,1,Baseline screen-bounded,9,8,4.5,3.5,400,False,False,False,component intact,True,False,2.3392691,4.6176996,3.2509022,0.91218216,0.56343815,2.7077796,,9.1218216,5.6343815,0.98553501,0.02102097,0.040627703,1.3333333
951869357,V1 typical,V1,left,1,Baseline extended,9,8,4.5,3.5,400,False,False,False,component intact,True,False,2.3392692,4.6176995,3.2509022,0.91218203,0.56343815,2.7077796,,9.1218203,5.6343815,0.98553494,0.021021071,0.040627804,1.3333333
951869357,V1 typical,V1,left,1,Baseline + DC ring,9,8,4.5,3.5,400,False,False,False,component intact,True,False,2.3392695,4.6176994,3.2509022,0.91218171,0.56343814,2.7077796,0.00093189953,9.1218171,5.6343814,0.98553483,0.021021231,0.040628127,1.3333333
951869357,V1 typical,V1,left,2,Allen no baseline,9,7,4.5,3.5,400,False,False,False,component intact,True,False,0,4.8132485,3.2524774,1.3985979,0.74346956,,,13.985979,7.4346956,0.92736739,0.10878709,0.40286407,1.3333333
951869357,V1 typical,V1,left,2,Baseline screen-bounded,9,7,4.5,3.5,400,False,False,False,component intact,True,False,2.2772584,4.618673,3.2495992,0.91768058,0.56668156,2.7909801,,9.1768058,5.6668156,0.99147558,0.01235086,0.024378616,1.3333333
951869357,V1 typical,V1,left,2,Baseline extended,9,7,4.5,3.5,400,False,False,False,component intact,True,False,2.2772586,4.6186729,3.2495992,0.91768038,0.56668155,2.7909801,,9.1768038,5.6668155,0.99147544,0.012351058,0.024378871,1.3333333
951869357,V1 typical,V1,left,2,Baseline + DC ring,9,7,4.5,3.5,400,False,False,False,component intact,True,False,2.277259,4.6186728,3.2495992,0.91768003,0.56668154,2.7909801,0.0010441267,9.1768003,5.6668154,0.99147531,0.012351249,0.024379232,1.3333333
951869357,V1 typical,V1,left,3,Allen no baseline,9,6,5,3.5,600,False,False,False,component intact,True,False,0,4.8315572,3.2635386,1.5972664,0.75648758,,,15.972664,7.5648758,1.0590984,0.082836584,0.20592447,2
951869357,V1 typical,V1,left,3,Baseline screen-bounded,9,6,5,3.5,600,False,False,False,component intact,True,False,2.3529249,4.6150729,3.2516508,0.93584617,0.5625318,2.9462176,,9.3584617,5.625318,1.011102,0.015928474,0.064850653,2
951869357,V1 typical,V1,left,3,Baseline extended,9,6,5,3.5,600,False,False,False,component intact,True,False,2.3529255,4.6150728,3.2516508,0.93584568,0.56253177,2.9462176,,9.3584568,5.6253177,1.0111015,0.015927828,0.064851402,2
