preference,area,bandwidth_deg,azimuth_deg,elevation_deg,estimate_log2,estimate_preference,effective_sessions,local_units,supported,source_units,source_sessions
sf,Multi-probe V1,8,46,-24,-3.68328,0.0778433,5.41063,30,True,843,8
sf,Multi-probe V1,8,48,-24,-3.59761,0.0826057,5.27979,26,True,843,8
sf,Multi-probe V1,8,50,-24,-3.52461,0.0868931,5.16374,20,True,843,8
sf,Multi-probe V1,8,52,-24,,,5.06574,18,False,843,8
sf,Multi-probe V1,8,54,-24,,,4.97695,19,False,843,8
sf,Multi-probe V1,8,56,-24,,,4.88046,15,False,843,8
sf,Multi-probe V1,8,58,-24,,,4.75657,15,False,843,8
sf,Multi-probe V1,8,60,-24,,,4.58689,12,False,843,8
sf,Multi-probe V1,8,62,-24,,,4.36095,11,False,843,8
sf,Multi-probe V1,8,64,-24,,,4.08655,9,False,843,8
sf,Multi-probe V1,8,66,-24,,,3.79526,8,False,843,8
sf,Multi-probe V1,8,68,-24,,,3.53309,8,False,843,8
sf,Multi-probe V1,8,70,-24,,,3.34182,5,False,843,8
sf,Multi-probe V1,8,72,-24,,,3.24506,4,False,843,8
sf,Multi-probe V1,8,74,-24,,,3.24349,4,False,843,8
sf,Multi-probe V1,8,76,-24,,,3.31681,3,False,843,8
sf,Multi-probe V1,8,78,-24,,,3.43411,3,False,843,8
sf,Multi-probe V1,8,80,-24,,,3.57108,1,False,843,8
sf,Multi-probe V1,8,82,-24,,,3.71693,1,False,843,8
sf,Multi-probe V1,8,84,-24,,,3.86167,1,False,843,8
sf,Multi-probe V1,8,86,-24,,,3.98249,1,False,843,8
sf,Multi-probe V1,8,88,-24,,,4.04811,1,False,843,8
sf,Multi-probe V1,8,90,-24,,,4.0361,1,False,843,8
sf,Multi-probe V1,8,10,-22,-3.83437,0.0701035,4.86911,35,True,843,8
sf,Multi-probe V1,8,12,-22,-3.8469,0.0694971,5.04828,39,True,843,8
sf,Multi-probe V1,8,14,-22,-3.85768,0.0689799,5.26565,46,True,843,8
sf,Multi-probe V1,8,16,-22,-3.86636,0.0685663,5.52344,52,True,843,8
sf,Multi-probe V1,8,18,-22,-3.87284,0.0682588,5.81558,60,True,843,8
sf,Multi-probe V1,8,20,-22,-3.87738,0.0680443,6.12195,75,True,843,8
sf,Multi-probe V1,8,22,-22,-3.88061,0.0678923,6.40554,80,True,843,8
sf,Multi-probe V1,8,24,-22,-3.88342,0.0677601,6.61963,81,True,843,8
sf,Multi-probe V1,8,26,-22,-3.88673,0.0676047,6.72772,82,True,843,8
sf,Multi-probe V1,8,28,-22,-3.89108,0.0674014,6.72424,87,True,843,8
sf,Multi-probe V1,8,30,-22,-3.89621,0.0671619,6.63701,85,True,843,8
sf,Multi-probe V1,8,32,-22,-3.90082,0.0669477,6.50893,78,True,843,8
sf,Multi-probe V1,8,34,-22,-3.9024,0.0668745,6.37634,69,True,843,8
sf,Multi-probe V1,8,36,-22,-3.89738,0.0671074,6.25788,64,True,843,8
sf,Multi-probe V1,8,38,-22,-3.88154,0.0678484,6.15456,59,True,843,8
sf,Multi-probe V1,8,40,-22,-3.85082,0.0693089,6.05602,55,True,843,8
sf,Multi-probe V1,8,42,-22,-3.8027,0.0716595,5.94964,46,True,843,8
sf,Multi-probe V1,8,44,-22,-3.73797,0.0749478,5.82993,36,True,843,8
sf,Multi-probe V1,8,46,-22,-3.66205,0.0789974,5.70324,35,True,843,8
sf,Multi-probe V1,8,48,-22,-3.58479,0.0833434,5.58359,33,True,843,8
sf,Multi-probe V1,8,50,-22,-3.51799,0.0872931,5.48243,29,True,843,8
sf,Multi-probe V1,8,52,-22,-3.47176,0.0901354,5.40121,25,True,843,8
sf,Multi-probe V1,8,54,-22,-3.45186,0.0913871,5.33202,22,True,843,8
sf,Multi-probe V1,8,56,-22,-3.45936,0.0909134,5.26279,20,True,843,8
sf,Multi-probe V1,8,58,-22,,,5.18,18,False,843,8
sf,Multi-probe V1,8,60,-22,,,5.06772,16,False,843,8
sf,Multi-probe V1,8,62,-22,,,4.90929,12,False,843,8
sf,Multi-probe V1,8,64,-22,,,4.69719,11,False,843,8
sf,Multi-probe V1,8,66,-22,,,4.44654,9,False,843,8
sf,Multi-probe V1,8,68,-22,,,4.19717,9,False,843,8
sf,Multi-probe V1,8,70,-22,,,3.9979,5,False,843,8
sf,Multi-probe V1,8,72,-22,,,3.88517,4,False,843,8
sf,Multi-probe V1,8,74,-22,,,3.87045,4,False,843,8
sf,Multi-probe V1,8,76,-22,,,3.93963,3,False,843,8
sf,Multi-probe V1,8,78,-22,,,4.06137,2,False,843,8
sf,Multi-probe V1,8,80,-22,,,4.19828,2,False,843,8
sf,Multi-probe V1,8,82,-22,,,4.31234,2,False,843,8
sf,Multi-probe V1,8,84,-22,,,4.36796,3,False,843,8
sf,Multi-probe V1,8,86,-22,,,4.34166,3,False,843,8
sf,Multi-probe V1,8,88,-22,,,4.2326,2,False,843,8
sf,Multi-probe V1,8,90,-22,,,4.06103,1,False,843,8
sf,Multi-probe V1,8,10,-20,-3.81839,0.0708842,5.1333,38,True,843,8
sf,Multi-probe V1,8,12,-20,-3.83122,0.0702569,5.3133,46,True,843,8
sf,Multi-probe V1,8,14,-20,-3.8416,0.0697532,5.52997,52,True,843,8
sf,Multi-probe V1,8,16,-20,-3.84889,0.0694013,5.78352,65,True,843,8
sf,Multi-probe V1,8,18,-20,-3.85272,0.0692174,6.06514,70,True,843,8
sf,Multi-probe V1,8,20,-20,-3.85313,0.0691977,6.35215,83,True,843,8
sf,Multi-probe V1,8,22,-20,-3.85075,0.0693122,6.60739,93,True,843,8
sf,Multi-probe V1,8,24,-20,-3.84675,0.0695045,6.78911,98,True,843,8
sf,Multi-probe V1,8,26,-20,-3.84265,0.0697025,6.87071,95,True,843,8
sf,Multi-probe V1,8,28,-20,-3.83979,0.0698407,6.85646,94,True,843,8
sf,Multi-probe V1,8,30,-20,-3.83881,0.069888,6.77784,90,True,843,8
sf,Multi-probe V1,8,32,-20,-3.83917,0.0698704,6.67408,88,True,843,8
sf,Multi-probe V1,8,34,-20,-3.83894,0.0698819,6.57389,81,True,843,8
sf,Multi-probe V1,8,36,-20,-3.83482,0.0700814,6.48815,70,True,843,8
sf,Multi-probe V1,8,38,-20,-3.82263,0.0706761,6.41234,70,True,843,8
sf,Multi-probe V1,8,40,-20,-3.79808,0.0718894,6.33406,61,True,843,8
sf,Multi-probe V1,8,42,-20,-3.75814,0.0739073,6.24273,51,True,843,8
sf,Multi-probe V1,8,44,-20,-3.70281,0.0767969,6.13783,38,True,843,8
sf,Multi-probe V1,8,46,-20,-3.63649,0.0804096,6.03005,40,True,843,8
sf,Multi-probe V1,8,48,-20,-3.56791,0.084324,5.93377,38,True,843,8
sf,Multi-probe V1,8,50,-20,-3.50794,0.0879035,5.85696,32,True,843,8
sf,Multi-probe V1,8,52,-20,-3.46613,0.0904883,5.79802,29,True,843,8
sf,Multi-probe V1,8,54,-20,-3.44819,0.0916204,5.75082,24,True,843,8
sf,Multi-probe V1,8,56,-20,-3.45553,0.0911552,5.71041,22,True,843,8
sf,Multi-probe V1,8,58,-20,-3.4865,0.0892191,5.67213,20,True,843,8
sf,Multi-probe V1,8,60,-20,,,5.62503,18,False,843,8
sf,Multi-probe V1,8,62,-20,,,5.54788,14,False,843,8
sf,Multi-probe V1,8,64,-20,,,5.41656,12,False,843,8
sf,Multi-probe V1,8,66,-20,,,5.22364,10,False,843,8
sf,Multi-probe V1,8,68,-20,,,4.99486,9,False,843,8
sf,Multi-probe V1,8,70,-20,,,4.78288,8,False,843,8
sf,Multi-probe V1,8,72,-20,,,4.64037,5,False,843,8
sf,Multi-probe V1,8,74,-20,,,4.59448,4,False,843,8
sf,Multi-probe V1,8,76,-20,,,4.63552,3,False,843,8
sf,Multi-probe V1,8,78,-20,,,4.71932,3,False,843,8
sf,Multi-probe V1,8,80,-20,,,4.78247,3,False,843,8
sf,Multi-probe V1,8,82,-20,,,4.76949,4,False,843,8
sf,Multi-probe V1,8,84,-20,,,4.65854,4,False,843,8
sf,Multi-probe V1,8,86,-20,,,4.46557,5,False,843,8
sf,Multi-probe V1,8,88,-20,,,4.22619,4,False,843,8
sf,Multi-probe V1,8,90,-20,,,3.97472,3,False,843,8
sf,Multi-probe V1,8,10,-18,-3.79915,0.0718359,5.37432,42,True,843,8
sf,Multi-probe V1,8,12,-18,-3.81317,0.0711411,5.5535,55,True,843,8
sf,Multi-probe V1,8,14,-18,-3.82433,0.0705932,5.76832,64,True,843,8
sf,Multi-probe V1,8,16,-18,-3.83167,0.0702346,6.01685,68,True,843,8
sf,Multi-probe V1,8,18,-18,-3.83449,0.0700976,6.28733,81,True,843,8
sf,Multi-probe V1,8,20,-18,-3.83252,0.0701935,6.55429,96,True,843,8
sf,Multi-probe V1,8,22,-18,-3.82621,0.0705012,6.78037,99,True,843,8
sf,Multi-probe V1,8,24,-18,-3.81682,0.0709617,6.92892,100,True,843,8
sf,Multi-probe V1,8,26,-18,-3.80624,0.071484,6.98328,106,True,843,8
sf,Multi-probe V1,8,28,-18,-3.79649,0.0719687,6.9572,99,True,843,8
sf,Multi-probe V1,8,30,-18,-3.78902,0.0723419,6.8855,95,True,843,8
sf,Multi-probe V1,8,32,-18,-3.78412,0.0725884,6.80365,94,True,843,8
sf,Multi-probe V1,8,34,-18,-3.78049,0.072771,6.73275,87,True,843,8
sf,Multi-probe V1,8,36,-18,-3.77533,0.0730319,6.67611,78,True,843,8
sf,Multi-probe V1,8,38,-18,-3.76465,0.0735744,6.62433,75,True,843,8
sf,Multi-probe V1,8,40,-18,-3.74415,0.0746274,6.56466,65,True,843,8
sf,Multi-probe V1,8,42,-18,-3.71053,0.0763871,6.49098,58,True,843,8
sf,Multi-probe V1,8,44,-18,-3.6632,0.0789347,6.40943,46,True,843,8
sf,Multi-probe V1,8,46,-18,-3.60568,0.082145,6.33457,45,True,843,8
sf,Multi-probe V1,8,48,-18,-3.54564,0.0856357,6.27815,41,True,843,8
sf,Multi-probe V1,8,50,-18,-3.49289,0.0888253,6.24079,35,True,843,8
sf,Multi-probe V1,8,52,-18,-3.45623,0.091111,6.215,29,True,843,8
sf,Multi-probe V1,8,54,-18,-3.44108,0.0920726,6.19599,25,True,843,8
sf,Multi-probe V1,8,56,-18,-3.44893,0.0915732,6.18737,22,True,843,8
sf,Multi-probe V1,8,58,-18,-3.47838,0.0897232,6.19479,22,True,843,8
sf,Multi-probe V1,8,60,-18,-3.52651,0.0867792,6.2123,20,True,843,8
sf,Multi-probe V1,8,62,-18,,,6.21208,15,False,843,8
sf,Multi-probe V1,8,64,-18,,,6.14912,14,False,843,8
sf,Multi-probe V1,8,66,-18,,,5.98908,13,False,843,8
sf,Multi-probe V1,8,68,-18,,,5.7454,10,False,843,8
sf,Multi-probe V1,8,70,-18,,,5.48597,9,False,843,8
sf,Multi-probe V1,8,72,-18,,,5.29298,8,False,843,8
sf,Multi-probe V1,8,74,-18,,,5.21152,7,False,843,8
sf,Multi-probe V1,8,76,-18,,,5.22256,5,False,843,8
sf,Multi-probe V1,8,78,-18,,,5.25048,5,False,843,8
sf,Multi-probe V1,8,80,-18,,,5.20714,6,False,843,8
sf,Multi-probe V1,8,82,-18,,,5.04909,5,False,843,8
sf,Multi-probe V1,8,84,-18,,,4.79535,5,False,843,8
sf,Multi-probe V1,8,86,-18,,,4.49584,5,False,843,8
sf,Multi-probe V1,8,88,-18,,,4.19499,5,False,843,8
sf,Multi-probe V1,8,90,-18,,,3.91829,4,False,843,8
sf,Multi-probe V1,8,10,-16,-3.77529,0.0730337,5.57665,48,True,843,8
sf,Multi-probe V1,8,12,-16,-3.79136,0.072225,5.75582,64,True,843,8
sf,Multi-probe V1,8,14,-16,-3.80444,0.0715728,5.97016,74,True,843,8
sf,Multi-probe V1,8,16,-16,-3.81335,0.0711324,6.21573,78,True,843,8
sf,Multi-probe V1,8,18,-16,-3.817,0.0709529,6.47785,93,True,843,8
sf,Multi-probe V1,8,20,-16,-3.81473,0.0710644,6.72813,104,True,843,8
sf,Multi-probe V1,8,22,-16,-3.80666,0.0714631,6.92861,105,True,843,8
sf,Multi-probe V1,8,24,-16,-3.79388,0.0720989,7.04675,109,True,843,8
sf,Multi-probe V1,8,26,-16,-3.7784,0.0728764,7.07431,106,True,843,8
sf,Multi-probe V1,8,28,-16,-3.76269,0.0736746,7.03303,102,True,843,8
sf,Multi-probe V1,8,30,-16,-3.74887,0.0743838,6.96032,100,True,843,8
sf,Multi-probe V1,8,32,-16,-3.73799,0.0749466,6.88808,95,True,843,8
sf,Multi-probe V1,8,34,-16,-3.72954,0.0753871,6.83062,88,True,843,8
sf,Multi-probe V1,8,36,-16,-3.7213,0.0758191,6.78498,82,True,843,8
sf,Multi-probe V1,8,38,-16,-3.70973,0.0764296,6.73919,78,True,843,8
sf,Multi-probe V1,8,40,-16,-3.69075,0.0774414,6.68362,68,True,843,8
sf,Multi-probe V1,8,42,-16,-3.66106,0.0790517,6.62036,59,True,843,8
sf,Multi-probe V1,8,44,-16,-3.61975,0.0813479,6.56439,47,True,843,8
sf,Multi-probe V1,8,46,-16,-3.56967,0.0842211,6.53358,43,True,843,8
sf,Multi-probe V1,8,48,-16,-3.51751,0.087322,6.53411,43,True,843,8
sf,Multi-probe V1,8,50,-16,-3.47198,0.0901216,6.55484,35,True,843,8
sf,Multi-probe V1,8,52,-16,-3.44101,0.0920774,6.57813,33,True,843,8
sf,Multi-probe V1,8,54,-16,-3.42946,0.0928174,6.59763,28,True,843,8
sf,Multi-probe V1,8,56,-16,-3.43865,0.0922284,6.62366,28,True,843,8
sf,Multi-probe V1,8,58,-16,-3.46716,0.0904232,6.66932,23,True,843,8
sf,Multi-probe V1,8,60,-16,-3.5121,0.0876499,6.72792,20,True,843,8
sf,Multi-probe V1,8,62,-16,-3.56977,0.0842153,6.75683,21,True,843,8
sf,Multi-probe V1,8,64,-16,,,6.68603,17,False,843,8
sf,Multi-probe V1,8,66,-16,,,6.46765,16,False,843,8
sf,Multi-probe V1,8,68,-16,,,6.1377,12,False,843,8
sf,Multi-probe V1,8,70,-16,,,5.81121,9,False,843,8
sf,Multi-probe V1,8,72,-16,,,5.601,10,False,843,8
sf,Multi-probe V1,8,74,-16,,,5.54418,11,False,843,8
sf,Multi-probe V1,8,76,-16,,,5.58273,9,False,843,8
sf,Multi-probe V1,8,78,-16,,,5.59688,9,False,843,8
sf,Multi-probe V1,8,80,-16,,,5.48551,8,False,843,8
sf,Multi-probe V1,8,82,-16,,,5.23395,9,False,843,8
sf,Multi-probe V1,8,84,-16,,,4.89896,8,False,843,8
sf,Multi-probe V1,8,86,-16,,,4.54746,7,False,843,8
sf,Multi-probe V1,8,88,-16,,,4.22148,5,False,843,8
sf,Multi-probe V1,8,90,-16,,,3.93746,4,False,843,8
sf,Multi-probe V1,8,10,-14,-3.74572,0.074546,5.73358,58,True,843,8
sf,Multi-probe V1,8,12,-14,-3.76449,0.0735829,5.91683,67,True,843,8
sf,Multi-probe V1,8,14,-14,-3.78051,0.0727702,6.1352,78,True,843,8
sf,Multi-probe V1,8,16,-14,-3.79238,0.072174,6.38295,89,True,843,8
sf,Multi-probe V1,8,18,-14,-3.79869,0.0718591,6.64263,98,True,843,8
sf,Multi-probe V1,8,20,-14,-3.79834,0.0718761,6.8827,111,True,843,8
sf,Multi-probe V1,8,22,-14,-3.79098,0.072244,7.06354,114,True,843,8
sf,Multi-probe V1,8,24,-14,-3.77728,0.0729334,7.15485,109,True,843,8
sf,Multi-probe V1,8,26,-14,-3.75907,0.0738598,7.15438,106,True,843,8
sf,Multi-probe V1,8,28,-14,-3.73894,0.0748973,7.08987,106,True,843,8
sf,Multi-probe V1,8,30,-14,-3.7195,0.0759134,7.00062,100,True,843,8
sf,Multi-probe V1,8,32,-14,-3.70248,0.0768141,6.91562,93,True,843,8
sf,Multi-probe V1,8,34,-14,-3.68815,0.0775814,6.84403,90,True,843,8
sf,Multi-probe V1,8,36,-14,-3.67503,0.0782897,6.77928,85,True,843,8
sf,Multi-probe V1,8,38,-14,-3.66025,0.0790958,6.71075,75,True,843,8
sf,Multi-probe V1,8,40,-14,-3.64022,0.0802021,6.63638,67,True,843,8
sf,Multi-probe V1,8,42,-14,-3.61188,0.0817931,6.56963,61,True,843,8
sf,Multi-probe V1,8,44,-14,-3.57429,0.0839521,6.53498,47,True,843,8
sf,Multi-probe V1,8,46,-14,-3.52987,0.0865772,6.55247,41,True,843,8
