session_id,group,spatial_model,units,median_rotation_test_gain,fraction_rotation_gain_positive,median_rotation_area_ratio,axis_censored_fraction,rotation_bound_fraction,fit_model_seconds,maximum_model_seconds
762602078,HVA,aperture,156,0.000400790493,0.602564103,0.999735418,0.333333333,0.262820513,467.688279,17.4734132
762602078,HVA,point,156,0.000156492746,0.557692308,0.997268909,0.179487179,0.0576923077,34.9077693,1.42560089
762602078,V1,aperture,108,0.000455669641,0.648148148,1.00046394,0.472222222,0.509259259,299.126376,9.04197345
762602078,V1,point,108,0.000453964964,0.592592593,0.998070935,0.0648148148,0.0740740741,24.631016,1.73462195
763673393,HVA,aperture,189,0.000492683835,0.587301587,0.998688478,0.26984127,0.264550265,529.34244,13.7342675
763673393,HVA,point,189,0.000550427335,0.603174603,0.99921051,0.142857143,0.126984127,38.1102883,0.852074012
763673393,V1,aperture,104,0.00016254543,0.596153846,0.995627361,0.173076923,0.278846154,310.425877,52.5210066
763673393,V1,point,104,1.14553946e-05,0.528846154,0.994247235,0.0288461538,0.0384615385,20.2298563,1.32601532
766640955,HVA,aperture,279,6.347366e-05,0.541218638,0.997679317,0.222222222,0.218637993,665.416269,15.5835836
766640955,HVA,point,279,5.62408591e-05,0.537634409,0.999782515,0.143369176,0.0931899642,50.6850656,1.28933632
766640955,V1,aperture,76,-8.888713e-06,0.486842105,0.998360827,0.197368421,0.263157895,181.681668,7.76919256
766640955,V1,point,76,-1.83520218e-06,0.5,0.997134246,0.0394736842,0.0526315789,12.5641316,0.824581673
767871931,HVA,aperture,256,1.80882575e-05,0.51953125,1.0008714,0.21875,0.2109375,656.187443,26.257024
767871931,HVA,point,256,-1.8170182e-07,0.5,0.999908369,0.1328125,0.109375,45.0473523,0.878514409
767871931,V1,aperture,143,0.000377144688,0.58041958,0.999170459,0.181818182,0.237762238,344.970868,7.05050935
767871931,V1,point,143,6.15006928e-05,0.524475524,0.998408174,0.013986014,0.0629370629,25.7004309,0.86248854
768515987,HVA,aperture,300,0.000682633053,0.643333333,0.996407082,0.21,0.21,755.387521,15.7211422
768515987,HVA,point,300,0.000714747981,0.63,0.998972736,0.116666667,0.106666667,52.9848096,0.980240901
768515987,V1,aperture,104,0.000177458498,0.644230769,0.998836911,0.269230769,0.288461538,256.581183,10.3207704
768515987,V1,point,104,0.000194705604,0.557692308,0.99804478,0.0769230769,0.105769231,18.8828088,0.649954801
771160300,HVA,aperture,262,5.49589221e-05,0.530534351,1.00264304,0.255725191,0.27480916,762.757597,58.0063761
771160300,HVA,point,262,-2.64239936e-05,0.480916031,1.00194252,0.122137405,0.167938931,52.9309878,1.07235423
771160300,V1,aperture,141,0.000104828865,0.546099291,0.996895128,0.24822695,0.312056738,350.763888,8.61717487
771160300,V1,point,141,0.000309019117,0.581560284,0.99657844,0.0283687943,0.0354609929,30.6885613,4.62206814
771990200,HVA,aperture,179,0.000540305501,0.620111732,1.0039331,0.279329609,0.251396648,473.639648,20.2911464
771990200,HVA,point,179,0.000510022329,0.603351955,1.00309993,0.195530726,0.156424581,34.1678646,0.892820277
771990200,V1,aperture,97,2.13413154e-06,0.505154639,0.993275076,0.18556701,0.206185567,245.109179,10.2956175
771990200,V1,point,97,-5.96030383e-05,0.484536082,0.993679249,0.0515463918,0.0515463918,19.6505158,2.82394281
773418906,HVA,aperture,264,0.000240601908,0.579545455,1.00001749,0.295454545,0.303030303,751.909282,33.2700004
773418906,HVA,point,264,0.000185400032,0.564393939,0.996614125,0.185606061,0.128787879,55.5990197,1.66344898
773418906,V1,aperture,99,0.000620606478,0.616161616,1,0.171717172,0.262626263,269.186108,22.7043155
773418906,V1,point,99,0.000676463512,0.565656566,0.999785938,0.0101010101,0.0404040404,19.26855,1.31743047
774875821,HVA,aperture,328,0.000328750422,0.573170732,0.997403969,0.149390244,0.164634146,796.942396,11.175338
774875821,HVA,point,328,0.000372782789,0.554878049,0.998870291,0.0579268293,0.0670731707,56.1743656,1.33223028
774875821,V1,aperture,136,0.000152626618,0.580882353,0.995693088,0.257352941,0.294117647,321.977413,8.35164363
774875821,V1,point,136,2.28162569e-05,0.507352941,0.996575837,0.0220588235,0.0147058824,26.3347289,3.75309628
778240327,HVA,aperture,354,0.000842025996,0.663841808,0.999867621,0.203389831,0.197740113,858.326684,30.630394
778240327,HVA,point,354,0.000699955669,0.638418079,1.00025737,0.101694915,0.115819209,62.3599109,1.31762863
778240327,V1,aperture,130,0.000239180101,0.569230769,0.996432652,0.153846154,0.207692308,357.960525,20.0500458
778240327,V1,point,130,0.000297403354,0.607692308,0.999380716,0.0384615385,0.0384615385,22.6749584,0.914120738
778998620,HVA,aperture,259,-1.02875807e-07,0.498069498,0.999999989,0.312741313,0.301158301,761.15978,32.629432
778998620,HVA,point,259,-1.9100398e-05,0.474903475,0.995652466,0.181467181,0.154440154,56.927364,2.90305763
