ecephys_session_id,specimen_id,cohort,area,n_units,azimuth_median_deg,azimuth_q25_deg,azimuth_q75_deg,elevation_median_deg,elevation_q25_deg,elevation_q75_deg,median_radial_dispersion_deg,cov_azimuth_deg2,cov_elevation_deg2,cov_azimuth_elevation_deg2,rf_area_median_deg2
819186360,800249587,Functional Connectivity,AM,65.0,27.778,18.571,42.222,40.0,32.5,45.0,12.777999999999999,350.10252297115403,83.03642266346155,5.916895802884608,800.0
819186360,800249587,Functional Connectivity,LM,109.0,57.143,52.5,66.0,10.0,4.0,15.384999999999998,12.054312464840125,280.9329400438325,189.56274306455984,8.328073769707787,500.0
819186360,800249587,Functional Connectivity,PM,25.0,47.143,38.333,55.0,3.333000000000005,-8.888999999999996,11.667000000000002,16.804205961603774,263.2378007933333,289.62978940666665,-109.75787535500001,600.0
819186360,800249587,Functional Connectivity,RL,157.0,23.636,15.0,31.0,3.333000000000005,-8.0,46.667,25.672302915788457,183.55316958435398,807.7334298402743,30.64486899550874,500.0
819701982,795770036,Functional Connectivity,AM,111.0,42.857,15.0,58.9905,40.0,0.0,45.0,28.926500808082544,569.6521724158885,781.2065455208839,-157.91506388476657,500.0
819701982,795770036,Functional Connectivity,LM,109.0,40.0,32.0,45.0,15.0,10.0,21.25,11.180339887498949,188.22349631345563,128.6055084415561,-23.689487284233774,500.0
819701982,795770036,Functional Connectivity,RL,159.0,25.0,15.0,41.625,24.0,10.4165,42.0,22.296163100408105,332.6753341486347,355.51778021312026,-95.09644449932335,600.0
821695405,800250057,Functional Connectivity,AL,49.0,60.0,45.0,73.684,25.0,17.0,29.091000000000008,17.33619848755776,371.05323401445577,101.59337640306117,54.77702244727892,800.0
821695405,800250057,Functional Connectivity,AM,62.0,65.0,41.4375,79.853,11.7425,0.71425,23.78125,22.790010751018155,562.9633343915918,292.1821420362242,-9.62736754706502,800.0
821695405,800250057,Functional Connectivity,LM,104.0,55.0,45.0,70.0,30.0,22.857,37.301750000000006,15.0,369.73952609251336,182.43675100373426,6.579242291635571,600.0
821695405,800250057,Functional Connectivity,PM,79.0,60.0,41.8335,74.40950000000001,-5.0,-14.286000000000003,2.25,19.50763383908976,378.0764278315483,210.97092437455373,-20.75828473628693,600.0
821695405,800250057,Functional Connectivity,V1,40.0,80.0,71.5,85.0,5.0,0.0,7.143000000000002,6.97165737577488,77.49664795897432,99.8635458230769,36.43171232820514,500.0
829720705,811322619,Functional Connectivity,AL,80.0,50.0,32.8245,61.5625,-13.666500000000005,-20.0,-5.421749999999999,18.024509757370822,409.12768429367094,422.3179445808544,-45.22947711012658,800.0
829720705,811322619,Functional Connectivity,AM,81.0,63.33300000000001,45.556,74.0,26.429,17.5,40.90899999999999,21.721094125296716,455.4121910234568,242.20678362777787,-47.18443010601851,800.0
829720705,811322619,Functional Connectivity,LM,109.0,70.0,55.0,82.5,23.333,10.0,31.111000000000004,20.275820303997566,385.264781712878,250.00218689568467,1.1369563848963686,600.0
829720705,811322619,Functional Connectivity,RL,92.0,16.5,12.5,32.0835,-5.0,-10.0,5.0,11.926860441876563,240.56406738592898,210.94527176624456,20.502096384734816,400.0
