stimulus_presentation_id,stimulus_block,start_time,stop_time,size,contrast,phase,orientation,stimulus_name,x_position,y_position,temporal_frequency,color,frame,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2592,0.0,733.21785,733.46807,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-30.0,30.0,4.0,null,null,0.08,0.25021826,16,,,0,,False,9,train,0
2593,0.0,733.46807,733.71827,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-40.0,-30.0,4.0,null,null,0.08,0.25020174,90,,,0,,False,10,train,2
2594,0.0,733.71827,733.96847,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,30.0,4.0,null,null,0.08,0.25020174,234,,,0,,False,10,train,2
2595,0.0,733.96847,734.21867,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-40.0,-20.0,4.0,null,null,0.08,0.25020174,123,,,0,,False,10,train,0
2596,0.0,734.21867,734.46887,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,30.0,40.0,4.0,null,null,0.08,0.25020174,122,,,0,,False,9,train,2
2597,0.0,734.46887,734.71909,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-20.0,10.0,4.0,null,null,0.08,0.25021576,158,,,0,,False,9,train,2
2598,0.0,734.71909,734.96931,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,-20.0,4.0,null,null,0.08,0.25021576,11,,,0,,False,11,test,0
2599,0.0,734.96931,735.21952,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,-40.0,4.0,null,null,0.08,0.25021576,95,,,0,,False,10,train,0
2600,0.0,735.21952,735.46974,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,10.0,-30.0,4.0,null,null,0.08,0.25021576,43,,,0,,False,8,test,0
2601,0.0,735.46974,735.71994,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,40.0,-10.0,4.0,null,null,0.08,0.25020174,39,,,0,,False,11,test,1
2602,0.0,735.71994,735.97014,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,0.0,0.0,4.0,null,null,0.08,0.25020174,139,,,0,,False,10,train,0
2603,0.0,735.97014,736.22034,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,30.0,4.0,null,null,0.08,0.25020174,6,,,0,,False,12,train,0
2604,0.0,736.22034,736.47054,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,30.0,20.0,4.0,null,null,0.08,0.25020174,10,,,0,,False,13,train,2
2605,0.0,736.47054,736.72076,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,10.0,-30.0,4.0,null,null,0.08,0.25022076,202,,,0,,False,9,train,1
2606,0.0,736.72076,736.97099,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,-10.0,4.0,null,null,0.08,0.25022076,101,,,0,,False,12,train,2
2607,0.0,736.97099,737.22121,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,20.0,20.0,4.0,null,null,0.08,0.25022076,210,,,0,,False,11,test,2
2608,0.0,737.22121,737.47143,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,40.0,4.0,null,null,0.08,0.25022076,14,,,0,,False,9,train,0
2609,0.0,737.47143,737.72163,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,0.0,4.0,null,null,0.08,0.25019924,74,,,0,,False,13,train,2
2610,0.0,737.72163,737.97183,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-20.0,-10.0,4.0,null,null,0.08,0.25019924,166,,,0,,False,11,test,1
2611,0.0,737.97183,738.22202,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,10.0,-10.0,4.0,null,null,0.08,0.25019924,89,,,0,,False,12,train,2
2612,0.0,738.22202,738.47222,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-30.0,40.0,4.0,null,null,0.08,0.25019924,92,,,0,,False,8,test,0
2613,0.0,738.47222,738.72243,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-10.0,30.0,4.0,null,null,0.08,0.25020326,65,,,0,,False,13,train,0
2614,0.0,738.72243,738.97263,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,0.0,4.0,null,null,0.08,0.25020326,74,,,0,,False,14,test,2
2615,0.0,738.97263,739.22283,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-30.0,10.0,4.0,null,null,0.08,0.25020326,9,,,0,,False,12,train,1
2616,0.0,739.22283,739.47304,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,30.0,0.0,4.0,null,null,0.08,0.25020326,215,,,0,,False,10,train,2
2617,0.0,739.47304,739.72325,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,20.0,-40.0,4.0,null,null,0.08,0.25021674,61,,,0,,False,9,train,2
2618,0.0,739.72325,739.97347,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-20.0,-20.0,4.0,null,null,0.08,0.25021674,83,,,0,,False,10,train,1
2619,0.0,739.97347,740.22369,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,10.0,-30.0,4.0,null,null,0.08,0.25021674,202,,,0,,False,10,train,1
2620,0.0,740.22369,740.4739,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,-30.0,4.0,null,null,0.08,0.25021674,26,,,0,,False,10,train,2
2621,0.0,740.4739,740.72411,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-20.0,30.0,4.0,null,null,0.08,0.25020826,107,,,0,,False,10,train,1
2622,0.0,740.72411,740.97432,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,0.0,-10.0,4.0,null,null,0.08,0.25020826,88,,,0,,False,10,train,1
2623,0.0,740.97432,741.22453,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,40.0,0.0,4.0,null,null,0.08,0.25020826,224,,,0,,False,9,train,0
2624,0.0,741.22453,741.47474,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-40.0,10.0,4.0,null,null,0.08,0.25020826,5,,,0,,False,11,test,1
2625,0.0,741.47474,741.72494,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,0.0,30.0,4.0,null,null,0.08,0.25020674,143,,,0,,False,13,train,1
2626,0.0,741.72494,741.97515,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,10.0,40.0,4.0,null,null,0.08,0.25020674,52,,,0,,False,10,train,2
2627,0.0,741.97515,742.22536,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,20.0,4.0,null,null,0.08,0.25020674,196,,,0,,False,12,train,0
2628,0.0,742.22536,742.47556,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-40.0,-30.0,4.0,null,null,0.08,0.25020674,12,,,0,,False,10,train,0
2629,0.0,742.47556,742.72578,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,40.0,4.0,null,null,0.08,0.25021576,14,,,0,,False,10,train,0
2630,0.0,742.72578,742.976,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,20.0,4.0,null,null,0.08,0.25021576,231,,,0,,False,8,test,2
2631,0.0,742.976,743.22621,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-10.0,-10.0,4.0,null,null,0.08,0.25021576,170,,,0,,False,11,test,1
2632,0.0,743.22621,743.47643,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,0.0,4.0,null,null,0.08,0.25021576,140,,,0,,False,11,test,0
2633,0.0,743.47643,743.72663,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,10.0,4.0,null,null,0.08,0.25020424,138,,,0,,False,12,train,2
2634,0.0,743.72663,743.97684,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,20.0,10.0,4.0,null,null,0.08,0.25020424,68,,,0,,False,11,test,2
2635,0.0,743.97684,744.22704,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,20.0,20.0,4.0,null,null,0.08,0.25020424,76,,,0,,False,11,test,1
2636,0.0,744.22704,744.47724,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,0.0,40.0,4.0,null,null,0.08,0.25020424,183,,,0,,False,10,train,2
2637,0.0,744.47724,744.72745,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,10.0,4.0,null,null,0.08,0.25020826,169,,,0,,False,8,test,0
2638,0.0,744.72745,744.97766,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,20.0,4.0,null,null,0.08,0.25020826,42,,,0,,False,10,train,0
2639,0.0,744.97766,745.22787,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-40.0,20.0,4.0,null,null,0.08,0.25020826,149,,,0,,False,13,train,2
2640,0.0,745.22787,745.47808,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,30.0,10.0,4.0,null,null,0.08,0.25020826,229,,,0,,False,13,train,2
2641,0.0,745.47808,745.72829,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,40.0,0.0,4.0,null,null,0.08,0.25020924,224,,,0,,False,10,train,0
2642,0.0,745.72829,745.9785,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,-40.0,4.0,null,null,0.08,0.25020924,127,,,0,,False,11,test,2
2643,0.0,745.9785,746.2287,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,40.0,0.0,4.0,null,null,0.08,0.25020924,19,,,0,,False,12,train,2
