stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,Dir,contrast,Speed,orientation,temporal_frequency,color,phase,coherence,spatial_frequency,x_position,size,stimulus_name,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2485,0.0,696.81279,697.063,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,-40.0,0.25020923,53,,,0,,False,9,train,2
2486,0.0,697.063,697.3132,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,30.0,0.25020923,98,,,0,,False,9,train,1
2487,0.0,697.3132,697.56341,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,20.0,0.25020923,86,,,0,,False,7,train,2
2488,0.0,697.56341,697.81362,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,40.0,0.25020923,95,,,0,,False,13,train,1
2489,0.0,697.81362,698.06383,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,30.0,0.25021077,234,,,0,,False,7,train,0
2490,0.0,698.06383,698.31404,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,-40.0,0.25021077,72,,,0,,False,9,train,0
2491,0.0,698.31404,698.56426,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,30.0,0.25021077,198,,,0,,False,8,test,2
2492,0.0,698.56426,698.81447,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,0.0,0.25021077,162,,,0,,False,11,test,2
2493,0.0,698.81447,699.06468,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,40.0,0.25021173,10,,,0,,False,5,test,2
2494,0.0,699.06468,699.31489,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,-10.0,0.25021173,115,,,0,,False,10,train,0
2495,0.0,699.31489,699.5651,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,40.0,0.25021173,10,,,0,,False,6,train,2
2496,0.0,699.5651,699.81531,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,40.0,0.25021173,243,,,0,,False,9,train,1
2497,0.0,699.81531,700.06552,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,40.0,0.25020577,177,,,0,,False,12,train,0
2498,0.0,700.06552,700.31572,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,0.0,0.25020577,28,,,0,,False,10,train,1
2499,0.0,700.31572,700.56593,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,40.0,0.25020577,10,,,0,,False,7,train,2
2500,0.0,700.56593,700.81614,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,-10.0,0.25020577,83,,,0,,False,8,test,1
2501,0.0,700.81614,701.06635,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,20.0,0.25021173,143,,,0,,False,10,train,1
2502,0.0,701.06635,701.31656,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,20.0,0.25021173,229,,,0,,False,9,train,1
2503,0.0,701.31656,701.56677,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,-40.0,0.25021173,239,,,0,,False,8,test,1
2504,0.0,701.56677,701.81698,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,-10.0,0.25021173,235,,,0,,False,5,test,2
2505,0.0,701.81698,702.06719,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,10.0,0.25020827,165,,,0,,False,9,train,2
2506,0.0,702.06719,702.3174,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,40.0,0.25020827,104,,,0,,False,10,train,1
