stimulus_presentation_id,stimulus_block,start_time,stop_time,color,orientation,contrast,spatial_frequency,frame,stimulus_name,size,temporal_frequency,x_position,y_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
50,0.0,91.079892,91.33009,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,30.0,-30.0,"[3644.93333333, 3644.93333333]",0.25019794,48,-0.20291945,-0.44615069,7,0.2299334,True,0,train,2
51,0.0,91.33009,91.580288,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,20.0,"[3644.93333333, 3644.93333333]",0.25019794,49,-0.074056015,-0.62169737,8,0.22624549,True,0,train,1
52,0.0,91.580288,91.830486,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,30.0,"[3644.93333333, 3644.93333333]",0.25019794,50,-0.13655201,-0.2843117,7,0.18275129,True,0,train,2
53,0.0,91.830486,92.080693,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,40.0,"[3644.93333333, 3644.93333333]",0.25020706,51,-0.052598157,-0.50729537,8,0.16117631,True,0,train,2
54,0.0,92.080693,92.3309,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,-30.0,"[3644.93333333, 3644.93333333]",0.25020706,52,0.041266742,-0.47171388,6,0.30387177,True,0,train,0
55,0.0,92.3309,92.581107,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-10.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020706,53,,,0,,False,0,train,1
56,0.0,92.581107,92.831314,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,-30.0,"[3644.93333333, 3644.93333333]",0.25020706,41,-0.084419711,-0.67637046,4,0.095850091,True,1,train,1
57,0.0,92.831314,93.081525,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,40.0,"[3644.93333333, 3644.93333333]",0.25021044,21,-0.13950991,-0.44374684,8,0.22204618,True,1,train,0
58,0.0,93.081525,93.331735,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,0.0,"[3644.93333333, 3644.93333333]",0.25021044,35,-0.28006761,-0.58877113,7,0.23757588,True,1,train,0
59,0.0,93.331735,93.581945,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,0.0,"[3644.93333333, 3644.93333333]",0.25021044,37,-0.26240806,-0.37549828,8,0.14294288,True,1,train,1
60,0.0,93.581945,93.832156,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,30.0,"[3644.93333333, 3644.93333333]",0.25021044,7,-0.10541442,-0.60907683,5,0.12360402,True,1,train,1
61,0.0,93.832156,94.082368,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,-40.0,"[3644.93333333, 3644.93333333]",0.25021206,54,-0.12700118,-0.43567966,5,0.18504057,True,0,train,1
62,0.0,94.082368,94.33258,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,-40.0,"[3644.93333333, 3644.93333333]",0.25021206,55,-0.26458983,-0.63556566,7,0.20290664,True,0,train,1
63,0.0,94.33258,94.582792,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,40.0,"[3644.93333333, 3644.93333333]",0.25021206,56,-0.029053858,-0.47973392,5,0.21713042,True,0,train,0
64,0.0,94.582792,94.833004,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,0.0,"[3644.93333333, 3644.93333333]",0.25021206,57,-0.0545181,-0.42663728,4,0.21479843,True,0,train,0
65,0.0,94.833004,95.08321,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,40.0,"[3644.93333333, 3644.93333333]",0.25020544,58,-0.069620099,-0.25088381,8,0.1961998,True,0,train,2
66,0.0,95.08321,95.333415,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,-40.0,"[3644.93333333, 3644.93333333]",0.25020544,26,-0.23220112,-0.3112708,7,0.25585798,True,1,train,0
67,0.0,95.333415,95.58362,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,30.0,"[3644.93333333, 3644.93333333]",0.25020544,59,-0.22221151,-0.48525679,5,0.085929693,True,0,train,0
68,0.0,95.58362,95.833826,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,40.0,"[3644.93333333, 3644.93333333]",0.25020544,60,-0.32927184,-0.49154472,3,0.14423204,True,0,train,1
69,0.0,95.833826,96.084043,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,40.0,"[3644.93333333, 3644.93333333]",0.25021706,61,-0.13737688,-0.53527963,8,0.12610744,True,0,train,0
70,0.0,96.084043,96.33426,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,30.0,"[3644.93333333, 3644.93333333]",0.25021706,62,-0.053634957,-0.44218286,7,0.16783107,True,0,train,2
71,0.0,96.33426,96.584477,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,0.0,"[3644.93333333, 3644.93333333]",0.25021706,28,-0.31555329,-0.37825069,8,0.098111341,True,1,train,2
72,0.0,96.584477,96.834694,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,20.0,"[3644.93333333, 3644.93333333]",0.25021706,63,-0.20223967,-0.50507858,7,0.17109984,True,0,train,1
73,0.0,96.834694,97.084897,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,-40.0,"[3644.93333333, 3644.93333333]",0.25020294,30,-0.17073375,-0.68486964,5,0.33390698,True,1,train,1
74,0.0,97.084897,97.3351,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,40.0,"[3644.93333333, 3644.93333333]",0.25020294,60,,,0,,False,1,train,1
