stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,orientation,frame,stimulus_name,y_position,color,spatial_frequency,temporal_frequency,size,x_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2941,0.0,820.252,820.50222,0.8,0.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021351,104,,,0,,False,10,train,0
2942,0.0,820.50222,820.75243,0.8,45.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25021351,74,,,0,,False,12,train,1
2943,0.0,820.75243,821.00264,0.8,90.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25021351,139,,,0,,False,12,train,2
2944,0.0,821.00264,821.25286,0.8,0.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25021351,22,,,0,,False,12,train,0
2945,0.0,821.25286,821.50306,0.8,0.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25020399,130,,,0,,False,10,train,0
2946,0.0,821.50306,821.75327,0.8,0.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020399,81,,,0,,False,11,test,0
2947,0.0,821.75327,822.00347,0.8,45.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020399,89,,,0,,False,12,train,1
2948,0.0,822.00347,822.25367,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020399,168,,,0,,False,9,train,0
2949,0.0,822.25367,822.50388,0.8,45.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021101,144,,,0,,False,10,train,1
2950,0.0,822.50388,822.7541,0.8,45.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25021101,117,,,0,,False,11,test,1
2951,0.0,822.7541,823.00431,0.8,0.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25021101,92,,,0,,False,12,train,0
2952,0.0,823.00431,823.25452,0.8,90.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021101,115,,,0,,False,14,test,2
2953,0.0,823.25452,823.50472,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25020649,9,,,0,,False,11,test,1
2954,0.0,823.50472,823.75493,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020649,66,,,0,,False,11,test,0
2955,0.0,823.75493,824.00514,0.8,90.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020649,68,,,0,,False,12,train,2
2956,0.0,824.00514,824.25534,0.8,45.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25020649,144,,,0,,False,11,test,1
2957,0.0,824.25534,824.50556,0.8,90.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25021601,119,,,0,,False,12,train,2
2958,0.0,824.50556,824.75578,0.8,90.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25021601,206,,,0,,False,10,train,2
2959,0.0,824.75578,825.00599,0.8,90.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25021601,135,,,0,,False,12,train,2
2960,0.0,825.00599,825.25621,0.8,0.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25021601,211,,,0,,False,13,train,0
2961,0.0,825.25621,825.50641,0.8,90.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020149,162,,,0,,False,10,train,2
