stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,orientation,x_position,size,y_position,spatial_frequency,phase,temporal_frequency,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1603,0.0,489.50268,489.75288,null,gabors,90.0,30.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,123,,,0,,False,6,train,2
1604,0.0,489.75288,490.00309,null,gabors,0.0,-40.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,128,,,0,,False,8,test,0
1605,0.0,490.00309,490.25331,null,gabors,0.0,-30.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,80,,,0,,False,6,train,0
1606,0.0,490.25331,490.50352,null,gabors,90.0,30.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,240,,,0,,False,5,test,2
1607,0.0,490.50352,490.75374,null,gabors,45.0,30.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,223,,,0,,False,8,test,1
1608,0.0,490.75374,491.00396,null,gabors,90.0,40.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,56,,,0,,False,6,train,2
1609,0.0,491.00396,491.25416,null,gabors,0.0,40.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,200,,,0,,False,4,train,0
1610,0.0,491.25416,491.50436,null,gabors,0.0,-20.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,4,,,0,,False,7,train,0
1611,0.0,491.50436,491.75456,null,gabors,45.0,30.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,197,,,0,,False,7,train,1
1612,0.0,491.75456,492.00476,null,gabors,45.0,40.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,215,,,0,,False,5,test,1
1613,0.0,492.00476,492.25497,null,gabors,45.0,-10.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,64,,,0,,False,6,train,1
1614,0.0,492.25497,492.50518,null,gabors,0.0,30.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,1,,,0,,False,6,train,0
1615,0.0,492.50518,492.7554,null,gabors,45.0,-30.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,49,,,0,,False,9,train,1
1616,0.0,492.7554,493.00561,null,gabors,45.0,0.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,195,,,0,,False,5,test,1
1617,0.0,493.00561,493.25581,null,gabors,45.0,20.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,228,,,0,,False,4,train,1
1618,0.0,493.25581,493.50602,null,gabors,90.0,-30.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,45,,,0,,False,5,test,2
1619,0.0,493.50602,493.75622,null,gabors,0.0,-10.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,187,,,0,,False,9,train,0
1620,0.0,493.75622,494.00643,null,gabors,0.0,10.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,182,,,0,,False,6,train,0
1621,0.0,494.00643,494.25664,null,gabors,90.0,40.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020753,188,,,0,,False,6,train,2
1622,0.0,494.25664,494.50684,null,gabors,0.0,30.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020753,59,,,0,,False,7,train,0
1623,0.0,494.50684,494.75705,null,gabors,90.0,10.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020753,130,,,0,,False,5,test,2
1624,0.0,494.75705,495.00726,null,gabors,0.0,30.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020753,42,,,0,,False,5,test,0
1625,0.0,495.00726,495.25747,null,gabors,45.0,-10.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020997,47,,,0,,False,9,train,1
1626,0.0,495.25747,495.50768,null,gabors,45.0,30.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020997,197,,,0,,False,8,test,1
1627,0.0,495.50768,495.75789,null,gabors,0.0,40.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020997,127,,,0,,False,8,test,0
1628,0.0,495.75789,496.0081,null,gabors,90.0,20.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020997,39,,,0,,False,8,test,2
1629,0.0,496.0081,496.25831,null,gabors,90.0,40.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,237,,,0,,False,2,test,2
