stimulus_presentation_id,stimulus_block,start_time,stop_time,color,spatial_frequency,stimulus_name,contrast,phase,temporal_frequency,size,frame,y_position,x_position,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2362,0.0,680.03944,680.28965,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-20.0,0.0,0.25020378,220,,,0,,False,7,train,0
2363,0.0,680.28965,680.53985,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-10.0,90.0,0.25020378,218,,,0,,False,12,train,2
2364,0.0,680.53985,680.79005,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,0.0,45.0,0.25020378,147,,,0,,False,9,train,1
2365,0.0,680.79005,681.04026,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-30.0,0.0,0.25020872,58,,,0,,False,9,train,0
2366,0.0,681.04026,681.29047,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,-20.0,45.0,0.25020872,66,,,0,,False,9,train,1
2367,0.0,681.29047,681.54068,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-10.0,90.0,0.25020872,187,,,0,,False,11,test,2
2368,0.0,681.54068,681.79089,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-30.0,0.0,0.25020872,83,,,0,,False,10,train,0
2369,0.0,681.79089,682.0411,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-40.0,45.0,0.25020878,47,,,0,,False,9,train,1
2370,0.0,682.0411,682.29131,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,20.0,45.0,0.25020878,81,,,0,,False,11,test,1
2371,0.0,682.29131,682.54151,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,40.0,90.0,0.25020878,28,,,0,,False,11,test,2
2372,0.0,682.54151,682.79172,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,30.0,0.0,0.25020878,54,,,0,,False,8,test,0
2373,0.0,682.79172,683.04194,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,40.0,90.0,0.25021372,223,,,0,,False,9,train,2
2374,0.0,683.04194,683.29215,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-40.0,45.0,0.25021372,20,,,0,,False,7,train,1
2375,0.0,683.29215,683.54236,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,-20.0,45.0,0.25021372,121,,,0,,False,10,train,1
2376,0.0,683.54236,683.79258,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,-30.0,90.0,0.25021372,215,,,0,,False,12,train,2
2377,0.0,683.79258,684.04278,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,20.0,45.0,0.25020378,81,,,0,,False,12,train,1
2378,0.0,684.04278,684.29299,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-10.0,90.0,0.25020378,187,,,0,,False,12,train,2
2379,0.0,684.29299,684.54319,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,40.0,45.0,0.25020378,228,,,0,,False,7,train,1
2380,0.0,684.54319,684.79339,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,30.0,90.0,0.25020378,134,,,0,,False,9,train,2
2381,0.0,684.79339,685.04361,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-30.0,0.0,0.25021372,34,,,0,,False,12,train,0
2382,0.0,685.04361,685.29382,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,20.0,0.0,0.25021372,76,,,0,,False,8,test,0
2383,0.0,685.29382,685.54403,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-30.0,0.0,0.25021372,83,,,0,,False,11,test,0
2384,0.0,685.54403,685.79425,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,40.0,45.0,0.25021372,106,,,0,,False,6,train,1
2385,0.0,685.79425,686.04445,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-30.0,90.0,0.25020378,41,,,0,,False,5,test,2
2386,0.0,686.04445,686.29466,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,20.0,45.0,0.25020378,77,,,0,,False,10,train,1
2387,0.0,686.29466,686.54486,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,0.0,45.0,0.25020378,102,,,0,,False,9,train,1
2388,0.0,686.54486,686.79506,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-30.0,45.0,0.25020378,30,,,0,,False,9,train,1
2389,0.0,686.79506,687.04528,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,10.0,0.0,0.25021872,123,,,0,,False,10,train,0
2390,0.0,687.04528,687.2955,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,0.0,45.0,0.25021872,147,,,0,,False,10,train,1
2391,0.0,687.2955,687.54572,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,-20.0,90.0,0.25021872,70,,,0,,False,10,train,2
2392,0.0,687.54572,687.79594,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,10.0,90.0,0.25021872,139,,,0,,False,8,test,2
2393,0.0,687.79594,688.04614,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-40.0,45.0,0.25020378,43,,,0,,False,12,train,1
2394,0.0,688.04614,688.29635,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,0.0,0.0,0.25020378,24,,,0,,False,10,train,0
2395,0.0,688.29635,688.54655,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-20.0,90.0,0.25020378,142,,,0,,False,11,test,2
2396,0.0,688.54655,688.79675,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,-30.0,45.0,0.25020378,178,,,0,,False,7,train,1
2397,0.0,688.79675,689.04696,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,0.0,45.0,0.25020872,33,,,0,,False,9,train,1
2398,0.0,689.04696,689.29717,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,20.0,0.0,0.25020872,115,,,0,,False,7,train,0
2399,0.0,689.29717,689.54738,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,40.0,45.0,0.25020872,234,,,0,,False,7,train,1
2400,0.0,689.54738,689.79759,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,-10.0,45.0,0.25020872,125,,,0,,False,8,test,1
2401,0.0,689.79759,690.04779,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,20.0,0.0,0.25020628,44,,,0,,False,6,train,0
2402,0.0,690.04779,690.298,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,30.0,0.0,0.25020628,131,,,0,,False,9,train,0
2403,0.0,690.298,690.54821,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,0.0,0.0,0.25020628,129,,,0,,False,11,test,0
2404,0.0,690.54821,690.79841,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,40.0,90.0,0.25020628,32,,,0,,False,9,train,2
2405,0.0,690.79841,691.04862,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,30.0,0.0,0.25020872,109,,,0,,False,11,test,0
2406,0.0,691.04862,691.29883,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-20.0,0.0,0.25020872,153,,,0,,False,8,test,0
2407,0.0,691.29883,691.54904,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,-30.0,0.0,0.25020872,85,,,0,,False,9,train,0
2408,0.0,691.54904,691.79925,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,-40.0,90.0,0.25020872,105,,,0,,False,12,train,2
2409,0.0,691.79925,692.04946,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,-20.0,0.0,0.25021128,233,,,0,,False,10,train,0
2410,0.0,692.04946,692.29967,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,20.0,45.0,0.25021128,227,,,0,,False,5,test,1
2411,0.0,692.29967,692.54988,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,30.0,45.0,0.25021128,219,,,0,,False,8,test,1
2412,0.0,692.54988,692.80009,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,-40.0,0.0,0.25021128,197,,,0,,False,9,train,0
2413,0.0,692.80009,693.05029,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,40.0,90.0,0.25019872,5,,,0,,False,8,test,2
2414,0.0,693.05029,693.30049,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-10.0,90.0,0.25019872,187,,,0,,False,13,train,2
2415,0.0,693.30049,693.55069,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,20.0,45.0,0.25019872,65,,,0,,False,10,train,1
2416,0.0,693.55069,693.80089,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,-40.0,90.0,0.25019872,105,,,0,,False,13,train,2
2417,0.0,693.80089,694.05111,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-30.0,45.0,0.25021878,93,,,0,,False,9,train,1
2418,0.0,694.05111,694.30133,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,-20.0,45.0,0.25021878,121,,,0,,False,11,test,1
2419,0.0,694.30133,694.55154,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,30.0,0.0,0.25021878,203,,,0,,False,9,train,0
2420,0.0,694.55154,694.80176,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,20.0,90.0,0.25021878,112,,,0,,False,11,test,2
2421,0.0,694.80176,695.05197,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,20.0,90.0,0.25020872,38,,,0,,False,7,train,2
2422,0.0,695.05197,695.30218,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,-20.0,0.0,0.25020872,241,,,0,,False,10,train,0
2423,0.0,695.30218,695.55239,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-10.0,0.0,0.25020872,204,,,0,,False,7,train,0
2424,0.0,695.55239,695.8026,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,30.0,45.0,0.25020872,169,,,0,,False,12,train,1
2425,0.0,695.8026,696.05281,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,40.0,45.0,0.25020878,234,,,0,,False,8,test,1
2426,0.0,696.05281,696.30302,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-30.0,0.0,0.25020878,36,,,0,,False,13,train,0
2427,0.0,696.30302,696.55322,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,30.0,45.0,0.25020878,124,,,0,,False,10,train,1
2428,0.0,696.55322,696.80343,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-40.0,0.0,0.25020878,164,,,0,,False,12,train,0
2429,0.0,696.80343,697.05364,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-30.0,45.0,0.25020872,93,,,0,,False,10,train,1
2430,0.0,697.05364,697.30385,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,20.0,90.0,0.25020872,172,,,0,,False,12,train,2
2431,0.0,697.30385,697.55406,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,30.0,45.0,0.25020872,219,,,0,,False,9,train,1
2432,0.0,697.55406,697.80427,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-40.0,0.0,0.25020872,173,,,0,,False,9,train,0
2433,0.0,697.80427,698.05448,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,40.0,90.0,0.25021128,5,,,0,,False,9,train,2
2434,0.0,698.05448,698.30469,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,-30.0,45.0,0.25021128,178,,,0,,False,8,test,1
2435,0.0,698.30469,698.5549,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,30.0,45.0,0.25021128,104,,,0,,False,6,train,1
