stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,spatial_frequency,x_position,y_position,phase,size,contrast,color,frame,orientation,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1828,0.0,551.96836,552.21857,4.0,0.08,10.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25020324,111,,,0,,False,8,test,2
1829,0.0,552.21857,552.46878,4.0,0.08,-30.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021676,125,,,0,,False,7,train,0
1830,0.0,552.46878,552.719,4.0,0.08,0.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021676,176,,,0,,False,8,test,2
1831,0.0,552.719,552.96922,4.0,0.08,0.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021676,116,,,0,,False,5,test,1
1832,0.0,552.96922,553.21943,4.0,0.08,10.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021676,211,,,0,,False,8,test,2
1833,0.0,553.21943,553.46963,4.0,0.08,40.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25019824,114,,,0,,False,7,train,2
1834,0.0,553.46963,553.71983,4.0,0.08,20.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,91,,,0,,False,9,train,0
1835,0.0,553.71983,553.97003,4.0,0.08,-40.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019824,166,,,0,,False,8,test,1
1836,0.0,553.97003,554.22023,4.0,0.08,40.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,217,,,0,,False,8,test,0
1837,0.0,554.22023,554.47044,4.0,0.08,10.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021426,112,,,0,,False,8,test,0
1838,0.0,554.47044,554.72066,4.0,0.08,10.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021426,141,,,0,,False,8,test,0
1839,0.0,554.72066,554.97087,4.0,0.08,10.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021426,119,,,0,,False,8,test,1
1840,0.0,554.97087,555.22108,4.0,0.08,20.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021426,77,,,0,,False,7,train,2
1841,0.0,555.22108,555.47129,4.0,0.08,-20.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020324,153,,,0,,False,6,train,1
1842,0.0,555.47129,555.72149,4.0,0.08,-20.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020324,37,,,0,,False,7,train,1
1843,0.0,555.72149,555.97169,4.0,0.08,-30.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020324,186,,,0,,False,8,test,1
1844,0.0,555.97169,556.2219,4.0,0.08,10.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25020324,203,,,0,,False,7,train,2
1845,0.0,556.2219,556.47212,4.0,0.08,-20.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022176,29,,,0,,False,10,train,0
1846,0.0,556.47212,556.72234,4.0,0.08,-30.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022176,236,,,0,,False,4,train,2
1847,0.0,556.72234,556.97256,4.0,0.08,10.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022176,65,,,0,,False,9,train,2
1848,0.0,556.97256,557.22278,4.0,0.08,-20.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022176,204,,,0,,False,7,train,2
1849,0.0,557.22278,557.47298,4.0,0.08,0.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,197,,,0,,False,10,train,0
1850,0.0,557.47298,557.72318,4.0,0.08,10.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019824,119,,,0,,False,9,train,1
1851,0.0,557.72318,557.97338,4.0,0.08,0.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,238,,,0,,False,6,train,0
1852,0.0,557.97338,558.22358,4.0,0.08,10.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019824,80,,,0,,False,7,train,1
1853,0.0,558.22358,558.4738,4.0,0.08,-40.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022176,191,,,0,,False,7,train,0
1854,0.0,558.4738,558.72402,4.0,0.08,20.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25022176,40,,,0,,False,9,train,1
1855,0.0,558.72402,558.97424,4.0,0.08,-40.0,20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25022176,107,,,0,,False,7,train,1
1856,0.0,558.97424,559.22446,4.0,0.08,20.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25022176,97,,,0,,False,7,train,1
1857,0.0,559.22446,559.47466,4.0,0.08,40.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019574,75,,,0,,False,7,train,1
1858,0.0,559.47466,559.72486,4.0,0.08,20.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019574,82,,,0,,False,5,test,1
1859,0.0,559.72486,559.97505,4.0,0.08,-30.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019574,45,,,0,,False,9,train,0
1860,0.0,559.97505,560.22525,4.0,0.08,-30.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019574,180,,,0,,False,9,train,0
1861,0.0,560.22525,560.47546,4.0,0.08,40.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021676,101,,,0,,False,6,train,1
1862,0.0,560.47546,560.72568,4.0,0.08,-30.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021676,226,,,0,,False,10,train,2
1863,0.0,560.72568,560.9759,4.0,0.08,30.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021676,227,,,0,,False,10,train,1
1864,0.0,560.9759,561.22611,4.0,0.08,-40.0,20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021676,113,,,0,,False,7,train,0
1865,0.0,561.22611,561.47631,4.0,0.08,30.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,207,,,0,,False,7,train,1
1866,0.0,561.47631,561.72652,4.0,0.08,-20.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020074,76,,,0,,False,9,train,0
1867,0.0,561.72652,561.97672,4.0,0.08,40.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020074,217,,,0,,False,9,train,0
1868,0.0,561.97672,562.22692,4.0,0.08,-20.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,172,,,0,,False,4,train,1
1869,0.0,562.22692,562.47714,4.0,0.08,-40.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022176,100,,,0,,False,6,train,2
1870,0.0,562.47714,562.72736,4.0,0.08,-40.0,20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022176,96,,,0,,False,7,train,2
