outer_session_id,cortical_group,estimand,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
774875821,V1,total_group_map,observed_rf,0.8,13,0.2397194000967586
774875821,V1,total_group_map,observed_rf,1.15,13,0.228430898242219
778240327,V1,within_area_location,ccf_anatomy,0.2,13,-0.10307841698712762
778240327,V1,within_area_location,ccf_anatomy,0.35,13,-0.032676559398640455
778240327,V1,within_area_location,ccf_anatomy,0.55,13,0.1287318977450329
778240327,V1,within_area_location,ccf_anatomy,0.8,13,0.07483310255324187
778240327,V1,within_area_location,ccf_anatomy,1.15,13,0.1287318977450329
778240327,V1,within_area_location,registered_map,0.2,13,-0.017949810958448588
778240327,V1,within_area_location,registered_map,0.35,13,0.06592153332154134
778240327,V1,within_area_location,registered_map,0.55,13,0.1287318977450329
778240327,V1,within_area_location,registered_map,0.8,13,0.1287318977450329
778240327,V1,within_area_location,registered_map,1.15,13,0.1287318977450329
778240327,V1,within_area_location,observed_rf,0.2,13,0.0761904761904762
778240327,V1,within_area_location,observed_rf,0.35,13,0.08357771260997067
778240327,V1,within_area_location,observed_rf,0.55,13,0.22270601515884533
778240327,V1,within_area_location,observed_rf,0.8,13,0.22754394452507662
778240327,V1,within_area_location,observed_rf,1.15,13,0.22472181906144167
778240327,V1,total_group_map,ccf_anatomy,0.2,13,-0.10307841698712762
778240327,V1,total_group_map,ccf_anatomy,0.35,13,-0.037021485101800214
778240327,V1,total_group_map,ccf_anatomy,0.55,13,0.1287318977450329
778240327,V1,total_group_map,ccf_anatomy,0.8,13,0.07483310255324187
778240327,V1,total_group_map,ccf_anatomy,1.15,13,0.1287318977450329
778240327,V1,total_group_map,registered_map,0.2,13,-0.017949810958448588
778240327,V1,total_group_map,registered_map,0.35,13,0.06592153332154134
778240327,V1,total_group_map,registered_map,0.55,13,0.1287318977450329
778240327,V1,total_group_map,registered_map,0.8,13,0.1287318977450329
778240327,V1,total_group_map,registered_map,1.15,13,0.1287318977450329
778240327,V1,total_group_map,observed_rf,0.2,13,0.0761904761904762
778240327,V1,total_group_map,observed_rf,0.35,13,0.08357771260997067
778240327,V1,total_group_map,observed_rf,0.55,13,0.22270601515884533
778240327,V1,total_group_map,observed_rf,0.8,13,0.22754394452507662
778240327,V1,total_group_map,observed_rf,1.15,13,0.22472181906144167
781842082,V1,within_area_location,ccf_anatomy,0.2,13,0.0420201586669474
781842082,V1,within_area_location,ccf_anatomy,0.35,13,0.07781835839633615
781842082,V1,within_area_location,ccf_anatomy,0.55,13,0.09695352468782989
781842082,V1,within_area_location,ccf_anatomy,0.8,13,0.08832501517702314
781842082,V1,within_area_location,ccf_anatomy,1.15,13,0.08944558234417067
781842082,V1,within_area_location,registered_map,0.2,13,-0.02229859632782761
781842082,V1,within_area_location,registered_map,0.35,13,-0.1287318977450329
781842082,V1,within_area_location,registered_map,0.55,13,0.09056291911693956
781842082,V1,within_area_location,registered_map,0.8,13,0.08944558234417067
781842082,V1,within_area_location,registered_map,1.15,13,0.08832501517702314
781842082,V1,within_area_location,observed_rf,0.2,13,0.0077922077922077905
781842082,V1,within_area_location,observed_rf,0.35,13,0.12533422459893048
781842082,V1,within_area_location,observed_rf,0.55,13,0.21182266009852216
781842082,V1,within_area_location,observed_rf,0.8,13,0.24947589098532494
781842082,V1,within_area_location,observed_rf,1.15,13,0.23672438672438675
781842082,V1,total_group_map,ccf_anatomy,0.2,13,0.04010037656936684
781842082,V1,total_group_map,ccf_anatomy,0.35,13,0.07781835839633615
781842082,V1,total_group_map,ccf_anatomy,0.55,13,0.0958328219431943
781842082,V1,total_group_map,ccf_anatomy,0.8,13,0.08944558234417067
781842082,V1,total_group_map,ccf_anatomy,1.15,13,0.08944558234417067
781842082,V1,total_group_map,registered_map,0.2,13,-0.02229859632782761
781842082,V1,total_group_map,registered_map,0.35,13,-0.1287318977450329
781842082,V1,total_group_map,registered_map,0.55,13,0.08944558234417067
781842082,V1,total_group_map,registered_map,0.8,13,0.08832501517702314
781842082,V1,total_group_map,registered_map,1.15,13,0.08832501517702314
781842082,V1,total_group_map,observed_rf,0.2,13,0.0077922077922077905
781842082,V1,total_group_map,observed_rf,0.35,13,0.12533422459893048
781842082,V1,total_group_map,observed_rf,0.55,13,0.21182266009852216
781842082,V1,total_group_map,observed_rf,0.8,13,0.24947589098532494
781842082,V1,total_group_map,observed_rf,1.15,13,0.23672438672438675
786091066,V1,within_area_location,ccf_anatomy,0.2,13,0.08134177503418259
786091066,V1,within_area_location,ccf_anatomy,0.35,13,0.07566684995117198
786091066,V1,within_area_location,ccf_anatomy,0.55,13,0.09056291911693956
786091066,V1,within_area_location,ccf_anatomy,0.8,13,0.1287318977450329
786091066,V1,within_area_location,ccf_anatomy,1.15,13,0.1287318977450329
786091066,V1,within_area_location,registered_map,0.2,13,-0.02229859632782761
786091066,V1,within_area_location,registered_map,0.35,13,0.047663672260310146
786091066,V1,within_area_location,registered_map,0.55,13,0.14119623571724124
786091066,V1,within_area_location,registered_map,0.8,13,0.1287318977450329
786091066,V1,within_area_location,registered_map,1.15,13,0.1287318977450329
786091066,V1,within_area_location,observed_rf,0.2,13,0.08897959183673468
786091066,V1,within_area_location,observed_rf,0.35,13,0.17406624383368566
786091066,V1,within_area_location,observed_rf,0.55,13,0.2557720057720058
786091066,V1,within_area_location,observed_rf,0.8,13,0.26075036075036084
786091066,V1,within_area_location,observed_rf,1.15,13,0.25259740259740265
786091066,V1,total_group_map,ccf_anatomy,0.2,13,0.08134177503418259
786091066,V1,total_group_map,ccf_anatomy,0.35,13,0.0762880436178642
786091066,V1,total_group_map,ccf_anatomy,0.55,13,0.08944558234417067
786091066,V1,total_group_map,ccf_anatomy,0.8,13,0.1287318977450329
786091066,V1,total_group_map,ccf_anatomy,1.15,13,0.1287318977450329
786091066,V1,total_group_map,registered_map,0.2,13,-0.017949810958448588
786091066,V1,total_group_map,registered_map,0.35,13,0.047134010620972236
786091066,V1,total_group_map,registered_map,0.55,13,0.14119623571724124
786091066,V1,total_group_map,registered_map,0.8,13,0.1287318977450329
786091066,V1,total_group_map,registered_map,1.15,13,0.1287318977450329
786091066,V1,total_group_map,observed_rf,0.2,13,0.08897959183673468
786091066,V1,total_group_map,observed_rf,0.35,13,0.17406624383368566
786091066,V1,total_group_map,observed_rf,0.55,13,0.2557720057720058
786091066,V1,total_group_map,observed_rf,0.8,13,0.26075036075036084
786091066,V1,total_group_map,observed_rf,1.15,13,0.25259740259740265
794812542,V1,within_area_location,ccf_anatomy,0.2,13,-0.1287318977450329
794812542,V1,within_area_location,ccf_anatomy,0.35,13,-0.02229859632782761
794812542,V1,within_area_location,ccf_anatomy,0.55,13,0.07483310255324187
794812542,V1,within_area_location,ccf_anatomy,0.8,13,0.08832501517702314
794812542,V1,within_area_location,ccf_anatomy,1.15,13,0.08944558234417067
794812542,V1,within_area_location,registered_map,0.2,13,0.015283691428263793
794812542,V1,within_area_location,registered_map,0.35,13,0.015283691428263793
794812542,V1,within_area_location,registered_map,0.55,13,0.047663672260310146
794812542,V1,within_area_location,registered_map,0.8,13,0.07632727102380014
794812542,V1,within_area_location,registered_map,1.15,13,0.07781835839633615
794812542,V1,within_area_location,observed_rf,0.2,13,0.08823529411764706
794812542,V1,within_area_location,observed_rf,0.35,13,0.1096041055718475
794812542,V1,within_area_location,observed_rf,0.55,13,0.23427128427128432
794812542,V1,within_area_location,observed_rf,0.8,13,0.2476911976911977
794812542,V1,within_area_location,observed_rf,1.15,13,0.2595238095238096
794812542,V1,total_group_map,ccf_anatomy,0.2,13,-0.1287318977450329
794812542,V1,total_group_map,ccf_anatomy,0.35,13,-0.02229859632782761
794812542,V1,total_group_map,ccf_anatomy,0.55,13,0.07632727102380014
794812542,V1,total_group_map,ccf_anatomy,0.8,13,0.08944558234417067
794812542,V1,total_group_map,ccf_anatomy,1.15,13,0.08944558234417067
794812542,V1,total_group_map,registered_map,0.2,13,0.014755365183526757
794812542,V1,total_group_map,registered_map,0.35,13,0.014755365183526757
794812542,V1,total_group_map,registered_map,0.55,13,0.04819104245956693
794812542,V1,total_group_map,registered_map,0.8,13,0.07632727102380014
794812542,V1,total_group_map,registered_map,1.15,13,0.07632727102380014
794812542,V1,total_group_map,observed_rf,0.2,13,0.08823529411764706
794812542,V1,total_group_map,observed_rf,0.35,13,0.1096041055718475
794812542,V1,total_group_map,observed_rf,0.55,13,0.23427128427128432
794812542,V1,total_group_map,observed_rf,0.8,13,0.2476911976911977
794812542,V1,total_group_map,observed_rf,1.15,13,0.2595238095238096
798911424,V1,within_area_location,ccf_anatomy,0.2,13,-0.010684379489053479
798911424,V1,within_area_location,ccf_anatomy,0.35,13,-0.02229859632782761
798911424,V1,within_area_location,ccf_anatomy,0.55,13,0.07632727102380014
798911424,V1,within_area_location,ccf_anatomy,0.8,13,0.09056291911693956
798911424,V1,within_area_location,ccf_anatomy,1.15,13,0.08944558234417067
798911424,V1,within_area_location,registered_map,0.2,13,0.014755365183526757
798911424,V1,within_area_location,registered_map,0.35,13,-0.02229859632782761
798911424,V1,within_area_location,registered_map,0.55,13,0.07632727102380014
798911424,V1,within_area_location,registered_map,0.8,13,0.08944558234417067
798911424,V1,within_area_location,registered_map,1.15,13,0.09056291911693956
798911424,V1,within_area_location,observed_rf,0.2,13,0.04009603841536614
798911424,V1,within_area_location,observed_rf,0.35,13,0.10661764705882353
798911424,V1,within_area_location,observed_rf,0.55,13,0.19184491978609627
798911424,V1,within_area_location,observed_rf,0.8,13,0.24134199134199139
798911424,V1,within_area_location,observed_rf,1.15,13,0.22900432900432904
798911424,V1,total_group_map,ccf_anatomy,0.2,13,-0.00956523458190075
798911424,V1,total_group_map,ccf_anatomy,0.35,13,-0.026644250641447115
798911424,V1,total_group_map,ccf_anatomy,0.55,13,0.07632727102380014
798911424,V1,total_group_map,ccf_anatomy,0.8,13,0.08944558234417067
798911424,V1,total_group_map,ccf_anatomy,1.15,13,0.09056291911693956
798911424,V1,total_group_map,registered_map,0.2,13,0.014755365183526757
798911424,V1,total_group_map,registered_map,0.35,13,-0.02229859632782761
798911424,V1,total_group_map,registered_map,0.55,13,0.07632727102380014
798911424,V1,total_group_map,registered_map,0.8,13,0.09056291911693956
798911424,V1,total_group_map,registered_map,1.15,13,0.09056291911693956
