stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,x_position,spatial_frequency,y_position,temporal_frequency,size,phase,color,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1599,0.0,478.6536,478.90381,gabors,-20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,45,,,0,,False,6,train,2
1600,0.0,478.90381,479.15402,gabors,30.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,104,,,0,,False,4,train,2
1601,0.0,479.15402,479.40423,gabors,-10.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,89,,,0,,False,9,train,1
1602,0.0,479.40423,479.65444,gabors,-40.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,73,,,0,,False,5,test,1
1603,0.0,479.65444,479.90464,gabors,-30.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,108,,,0,,False,6,train,2
1604,0.0,479.90464,480.15485,gabors,30.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,182,,,0,,False,7,train,0
1605,0.0,480.15485,480.40506,gabors,-40.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,69,,,0,,False,6,train,2
1606,0.0,480.40506,480.65528,gabors,-10.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,136,,,0,,False,9,train,0
1607,0.0,480.65528,480.90549,gabors,0.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021456,41,,,0,,False,10,train,1
1608,0.0,480.90549,481.1557,gabors,10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,147,,,0,,False,10,train,0
1609,0.0,481.1557,481.4059,gabors,40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,213,,,0,,False,7,train,2
1610,0.0,481.4059,481.65611,gabors,-30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,142,,,0,,False,7,train,2
1611,0.0,481.65611,481.90631,gabors,-10.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,103,,,0,,False,6,train,0
1612,0.0,481.90631,482.15651,gabors,40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,213,,,0,,False,8,test,2
1613,0.0,482.15651,482.40673,gabors,30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25022206,191,,,0,,False,7,train,1
1614,0.0,482.40673,482.65695,gabors,20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25022206,49,,,0,,False,4,train,1
1615,0.0,482.65695,482.90717,gabors,-40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25022206,204,,,0,,False,2,test,2
1616,0.0,482.90717,483.15739,gabors,40.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25022206,160,,,0,,False,7,train,0
1617,0.0,483.15739,483.40759,gabors,10.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25019794,161,,,0,,False,5,test,0
1618,0.0,483.40759,483.65779,gabors,10.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25019794,50,,,0,,False,7,train,2
1619,0.0,483.65779,483.90799,gabors,-20.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25019794,181,,,0,,False,5,test,1
