ecephys_unit_id,ecephys_session_id,specimen_id,area,group,map,lifetime_sparseness,stimulus_firing_rate_hz,fano_factor,tuning_strength,response_evidence,stability_proxy,raw_tuning_quality_weight,normalized_unit_weight
950951879,715093703,699733581,RL,HVA pooled,sf,0.131528,19.0827,2.30062,0.0350316,0.950206,0.302973,0.243256,0.706431
950951891,715093703,699733581,RL,HVA pooled,sf,0.169711,6.8949,2.38746,0.0774566,0.873336,0.295206,0.271303,0.787881
950951902,715093703,699733581,RL,HVA pooled,sf,0.153534,5.19499,1.5308,0.0594819,0.838579,0.395132,0.27012,0.784446
950951929,715093703,699733581,RL,HVA pooled,sf,0.333651,7.06876,1.14318,0.259612,0.876065,0.466596,0.473443,1.37491
950951940,715093703,699733581,RL,HVA pooled,sf,0.307493,3.28525,1.7,0.230547,0.766642,0.37037,0.403023,1.1704
950951950,715093703,699733581,RL,HVA pooled,sf,0.344901,1.84646,1.90853,0.272112,0.648686,0.343816,0.392979,1.14124
950951979,715093703,699733581,RL,HVA pooled,sf,0.443259,2.26744,3.10069,0.381399,0.69395,0.243861,0.401129,1.1649
950951991,715093703,699733581,RL,HVA pooled,sf,0.271663,1.59933,2.2,0.190737,0.615285,0.3125,0.332241,0.964849
950952002,715093703,699733581,RL,HVA pooled,sf,0.743515,2.46727,1.84673,0.715017,0.711589,0.35128,0.563291,1.63583
950952057,715093703,699733581,RL,HVA pooled,sf,0.614577,0.634803,3.37112,0.571752,0.388305,0.228774,0.370336,1.07548
950953258,715093703,699733581,RL,HVA pooled,sf,0.278571,0.811322,1.25739,0.198412,0.447917,0.442989,0.340188,0.987927
950952372,715093703,699733581,RL,HVA pooled,sf,0.557523,0.350374,1.67143,0.508359,0.259464,0.374332,0.366861,1.06539
950952386,715093703,699733581,RL,HVA pooled,sf,0.508284,3.47043,1.12538,0.453648,0.776308,0.470503,0.549252,1.59506
950952091,715093703,699733581,RL,HVA pooled,sf,0.212317,5.05111,1.42225,0.124797,0.834741,0.412839,0.350358,1.01746
950952108,715093703,699733581,RL,HVA pooled,sf,0.148796,2.37202,1.05176,0.0542173,0.703442,0.487385,0.264898,0.769281
