stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,y_position,stimulus_name,phase,temporal_frequency,frame,orientation,size,color,x_position,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3168,0.0,876.68364,876.93386,0.8,20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-30.0,0.08,0.25021509,131,,,0,,False,13,train,2
3169,0.0,876.93386,877.18405,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,20.0,0.08,0.25019741,33,,,0,,False,10,train,0
3170,0.0,877.18405,877.43425,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-10.0,0.08,0.25019741,141,,,0,,False,13,train,1
3171,0.0,877.43425,877.68445,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-20.0,0.08,0.25019741,12,,,0,,False,12,train,2
3172,0.0,877.68445,877.93465,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25019741,210,,,0,,False,13,train,1
3173,0.0,877.93465,878.18487,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-20.0,0.08,0.25022009,240,,,0,,False,11,test,0
3174,0.0,878.18487,878.43509,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,0.0,0.08,0.25022009,15,,,0,,False,13,train,2
3175,0.0,878.43509,878.68531,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,20.0,0.08,0.25022009,23,,,0,,False,12,train,0
3176,0.0,878.68531,878.93553,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,40.0,0.08,0.25022009,226,,,0,,False,13,train,1
3177,0.0,878.93553,879.18572,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-10.0,0.08,0.25019741,118,,,0,,False,11,test,2
3178,0.0,879.18572,879.43592,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-30.0,0.08,0.25019741,177,,,0,,False,11,test,0
3179,0.0,879.43592,879.68612,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,40.0,0.08,0.25019741,81,,,0,,False,13,train,0
3180,0.0,879.68612,879.93632,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25019741,121,,,0,,False,12,train,1
3181,0.0,879.93632,880.18653,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,20.0,0.08,0.25021509,33,,,0,,False,11,test,0
3182,0.0,880.18653,880.43675,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-40.0,0.08,0.25021509,182,,,0,,False,13,train,1
3183,0.0,880.43675,880.68696,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,20.0,0.08,0.25021509,186,,,0,,False,12,train,2
3184,0.0,880.68696,880.93718,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,0.0,0.08,0.25021509,47,,,0,,False,13,train,0
3185,0.0,880.93718,881.18738,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-30.0,0.08,0.25020741,221,,,0,,False,14,test,1
3186,0.0,881.18738,881.43759,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25020741,230,,,0,,False,12,train,1
