stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,size,contrast,orientation,spatial_frequency,color,x_position,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2151,0.0,622.737,622.98721,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-10.0,30.0,0.25020934,37,,,0,,False,10,train,1
2152,0.0,622.98721,623.23742,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-20.0,0.0,0.25020934,27,,,0,,False,8,test,2
2153,0.0,623.23742,623.48763,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-40.0,-10.0,0.25021316,181,,,0,,False,8,test,2
2154,0.0,623.48763,623.73785,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,20.0,30.0,0.25021316,49,,,0,,False,10,train,0
2155,0.0,623.73785,623.98806,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,40.0,0.25021316,205,,,0,,False,6,train,1
2156,0.0,623.98806,624.23827,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,10.0,-20.0,0.25021316,187,,,0,,False,8,test,1
2157,0.0,624.23827,624.48848,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,10.0,-30.0,0.25020934,194,,,0,,False,8,test,0
2158,0.0,624.48848,624.73869,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-10.0,-40.0,0.25020934,1,,,0,,False,8,test,0
2159,0.0,624.73869,624.9889,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,30.0,-30.0,0.25020934,241,,,0,,False,6,train,2
2160,0.0,624.9889,625.23911,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,20.0,-40.0,0.25020934,54,,,0,,False,10,train,0
2161,0.0,625.23911,625.48931,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-40.0,0.0,0.25020566,220,,,0,,False,5,test,2
2162,0.0,625.48931,625.73952,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,10.0,0.0,0.25020566,34,,,0,,False,13,train,2
2163,0.0,625.73952,625.98973,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-10.0,-20.0,0.25020566,233,,,0,,False,7,train,2
2164,0.0,625.98973,626.23993,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,30.0,-40.0,0.25020566,232,,,0,,False,7,train,1
2165,0.0,626.23993,626.49014,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,0.0,0.25020934,105,,,0,,False,7,train,1
2166,0.0,626.49014,626.74035,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,10.0,30.0,0.25020934,140,,,0,,False,7,train,0
2167,0.0,626.74035,626.99056,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,40.0,10.0,0.25020934,65,,,0,,False,10,train,2
2168,0.0,626.99056,627.24077,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,40.0,-30.0,0.25020934,191,,,0,,False,9,train,1
2169,0.0,627.24077,627.49098,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,20.0,30.0,0.25021066,192,,,0,,False,8,test,2
2170,0.0,627.49098,627.74119,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,20.0,40.0,0.25021066,150,,,0,,False,7,train,2
2171,0.0,627.74119,627.9914,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-40.0,-30.0,0.25021066,8,,,0,,False,8,test,1
2172,0.0,627.9914,628.24161,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,10.0,0.25021066,96,,,0,,False,10,train,1
2173,0.0,628.24161,628.49183,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-10.0,-10.0,0.25021434,198,,,0,,False,7,train,1
2174,0.0,628.49183,628.74204,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,10.0,-20.0,0.25021434,226,,,0,,False,9,train,2
2175,0.0,628.74204,628.99225,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,20.0,0.25021434,68,,,0,,False,5,test,1
2176,0.0,628.99225,629.24247,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,-20.0,0.25021434,67,,,0,,False,9,train,1
2177,0.0,629.24247,629.49267,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,30.0,-20.0,0.25020316,156,,,0,,False,9,train,0
2178,0.0,629.49267,629.74288,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-20.0,-40.0,0.25020316,87,,,0,,False,6,train,2
2179,0.0,629.74288,629.99308,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,10.0,-20.0,0.25020316,226,,,0,,False,10,train,2
2180,0.0,629.99308,630.24328,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-30.0,20.0,0.25020316,22,,,0,,False,10,train,2
2181,0.0,630.24328,630.49349,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,-40.0,0.25020684,174,,,0,,False,9,train,1
2182,0.0,630.49349,630.7437,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-10.0,-30.0,0.25020684,204,,,0,,False,8,test,0
2183,0.0,630.7437,630.9939,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-40.0,-30.0,0.25020684,8,,,0,,False,9,train,1
2184,0.0,630.9939,631.24411,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,40.0,10.0,0.25020684,65,,,0,,False,11,test,2
2185,0.0,631.24411,631.49432,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,20.0,0.0,0.25021066,18,,,0,,False,10,train,2
2186,0.0,631.49432,631.74453,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,30.0,30.0,0.25021066,95,,,0,,False,9,train,0
2187,0.0,631.74453,631.99474,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-40.0,30.0,0.25021066,31,,,0,,False,8,test,2
2188,0.0,631.99474,632.24495,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,10.0,-20.0,0.25021066,226,,,0,,False,11,test,2
2189,0.0,632.24495,632.49516,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,10.0,-40.0,0.25020934,109,,,0,,False,5,test,0
2190,0.0,632.49516,632.74537,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-20.0,-40.0,0.25020934,87,,,0,,False,7,train,2
2191,0.0,632.74537,632.99558,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,20.0,40.0,0.25020934,152,,,0,,False,10,train,0
2192,0.0,632.99558,633.24579,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,30.0,20.0,0.25020934,10,,,0,,False,8,test,2
2193,0.0,633.24579,633.496,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,-10.0,0.25021066,126,,,0,,False,8,test,1
2194,0.0,633.496,633.74621,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-40.0,30.0,0.25021066,31,,,0,,False,9,train,2
2195,0.0,633.74621,633.99642,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-30.0,10.0,0.25021066,148,,,0,,False,10,train,0
