start_time,stop_time,x_position,y_position,orientation,orientation_index,repeat,trial_split
618.833666413421,619.0838774243458,30.0,40.0,45.0,1,8,test
619.0838774243458,619.334081413421,40.0,30.0,0.0,0,10,train
619.334081413421,619.5842854024961,0.0,30.0,0.0,0,7,train
619.5842854024961,619.8344893915713,-30.0,20.0,45.0,1,9,train
619.8344893915713,620.0846933806464,-10.0,0.0,90.0,2,5,test
620.0846933806464,620.3349043915713,-20.0,40.0,0.0,0,8,test
620.3349043915713,620.5851154024963,0.0,-20.0,45.0,1,8,test
620.5851154024963,620.8353264134211,0.0,-20.0,90.0,2,11,test
620.8353264134211,621.0855374243461,30.0,10.0,0.0,0,6,train
621.0855374243461,621.335746413421,-20.0,20.0,0.0,0,10,train
621.335746413421,621.5859554024962,-30.0,20.0,90.0,2,8,test
621.5859554024962,621.8361643915713,-20.0,40.0,0.0,0,9,train
621.8361643915713,622.0863733806465,20.0,0.0,45.0,1,7,train
622.0863733806465,622.3365818915713,-30.0,40.0,90.0,2,9,train
622.3365818915713,622.5867904024961,-20.0,10.0,90.0,2,5,test
622.5867904024961,622.836998913421,10.0,10.0,0.0,0,7,train
622.836998913421,623.0872074243458,-40.0,0.0,90.0,2,10,train
623.0872074243458,623.3374189134211,-20.0,-10.0,90.0,2,5,test
623.3374189134211,623.5876304024963,40.0,30.0,90.0,2,8,test
623.5876304024963,623.8378418915713,-20.0,-10.0,90.0,2,6,train
623.8378418915713,624.0880533806463,30.0,-30.0,0.0,0,4,train
624.0880533806463,624.3382568915713,20.0,-40.0,0.0,0,6,train
624.3382568915713,624.5884604024961,-40.0,-30.0,90.0,2,7,train
624.5884604024961,624.838663913421,0.0,-40.0,45.0,1,9,train
624.838663913421,625.0888674243461,40.0,10.0,0.0,0,8,test
625.0888674243461,625.339081413421,10.0,40.0,0.0,0,10,train
625.339081413421,625.5892954024963,30.0,-20.0,0.0,0,9,train
625.5892954024963,625.8395093915713,30.0,30.0,90.0,2,9,train
625.8395093915713,626.0897233806463,0.0,0.0,90.0,2,10,train
626.0897233806463,626.3399293915712,20.0,0.0,90.0,2,9,train
626.3399293915712,626.5901354024962,30.0,-10.0,45.0,1,7,train
626.5901354024962,626.840341413421,0.0,-40.0,0.0,0,6,train
626.840341413421,627.0905474243458,-30.0,-30.0,90.0,2,9,train
627.0905474243458,627.340761413421,-30.0,40.0,90.0,2,10,train
627.340761413421,627.5909754024963,-10.0,-20.0,45.0,1,10,train
627.5909754024963,627.8411893915712,-20.0,-10.0,0.0,0,4,train
