stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,size,spatial_frequency,color,y_position,orientation,x_position,temporal_frequency,frame,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
53,0.0,97.6085,97.85872,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,45.0,0.0,4.0,null,0.8,0.25021988,20,,,0,,False,1,train,1
54,0.0,97.85872,98.10894,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,0.0,0.0,4.0,null,0.8,0.25021988,45,,,0,,False,0,train,0
55,0.0,98.10894,98.35916,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,90.0,30.0,4.0,null,0.8,0.25021988,46,,,0,,False,0,train,2
56,0.0,98.35916,98.60938,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,0.0,0.0,4.0,null,0.8,0.25021988,47,,,0,,False,0,train,0
57,0.0,98.60938,98.85958,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,45.0,0.0,4.0,null,0.8,0.25020012,48,,,0,,False,0,train,1
58,0.0,98.85958,99.10978,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,0.0,30.0,4.0,null,0.8,0.25020012,49,,,0,,False,0,train,0
59,0.0,99.10978,99.35998,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,90.0,30.0,4.0,null,0.8,0.25020012,46,,,0,,False,1,train,2
60,0.0,99.35998,99.61018,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,0.0,30.0,4.0,null,0.8,0.25020012,50,,,0,,False,0,train,0
61,0.0,99.61018,99.860395,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,90.0,-40.0,4.0,null,0.8,0.25021488,51,,,0,,False,0,train,2
62,0.0,99.860395,100.11061,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,0.0,-30.0,4.0,null,0.8,0.25021488,52,,,0,,False,0,train,0
63,0.0,100.11061,100.36083,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,0.0,40.0,4.0,null,0.8,0.25021488,53,,,0,,False,0,train,0
64,0.0,100.36083,100.61104,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,0.0,10.0,4.0,null,0.8,0.25021488,54,,,0,,False,0,train,0
65,0.0,100.61104,100.86124,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,90.0,-40.0,4.0,null,0.8,0.25019512,55,,,0,,False,0,train,2
