unit_id,autocorr_tau,err_ac,spike_count_ac
9000323,999.9999999994037,13863.096251992029,26.0
9000324,197.8301495309997,58.90565359212249,727.0
9000325,6.4725889809599115,2.8155295572549695,39.0
9000326,999.999999999989,1212.6543727593441,3861.0
9000327,70.08140898274362,61.09412289768215,46.0
9000328,60.63285236749355,13.011080131885882,689.0
9000329,613.1769957217759,0.0,8.0
9000330,28.173348359827365,1.0763640393914968,1204.0
9000331,999.9999999999997,4998.556185263453,435.0
9000332,25.74033564706709,4.31549270276332,195.0
9000333,28.814203541282783,2.862513833237671,1186.0
9000334,34.556001359042696,4.149095656657581,649.0
9000335,75.47370647089797,8.029484699108753,992.0
9000336,71.99341737862862,25.425519174708036,141.0
9000337,17.612162260614816,1.0178055718787278,70.0
9000338,68.64618064423557,3.078465054378516,5042.0
9000339,21.838110730010246,2.886929533109746,63.0
9000340,127.68524845001994,62.83418725502482,76.0
9000341,75.68566634053738,6.756104740277657,3604.0
9000342,127.54702934406002,31.732696572706974,432.0
9000343,20.434975634879493,0.5999180771311364,366.0
9000344,183.84473437810462,45.67330977926469,615.0
9000345,84.87096257983711,10.981353211657714,2782.0
9000346,132.12686855070507,40.49533874704449,280.0
9000347,19.661536773505386,2.216326988594414,739.0
9000348,36.83780404692109,5.163385140298994,233.0
9000349,14.41818117158796,5.128590969089339,56.0
9000350,18.398120104942763,2.3098456078356753,62.0
9000351,999.9999999999999,1356.1306734521384,2113.0
9000352,24.46585584037043,1.291307131502884,1284.0
9000353,3.79272128200559,1.5575794579556093,22.0
9000354,7.043987954118746,2.544462180611213,19.0
9000355,42.750494057367035,3.206114005427401,280.0
9000356,21.112517516059622,1.6366993831654757,180.0
9000357,34.63721739032556,11.442418941804117,223.0
9000358,45.04257615794808,4.262784607441921,1971.0
9000359,25.721817967652953,2.195450446839252,162.0
9000360,16.474067114453664,1.4914089104995116,236.0
9000361,101.76516182892206,17.979382683217242,235.0
9000362,23.68571351269347,0.7154266716028695,1059.0
9000363,86.12918838889664,15.076319897393725,1095.0
9000364,40.14033189072377,5.205183054225338,1755.0
9000365,26.536303881146,1.1897705418462974,824.0
9000366,17.17328428425925,1.2216970482789242,187.0
9000367,1.0000008989225495,771.875491682265,3.0
9000368,1.0000000073580426,6333.289933266122,6.0
9000369,102.65421513413315,37.48147143738648,1004.0
9000370,47.55509803153802,9.640374020318742,1406.0
9000371,26.991990380128854,8.320260987920351,94.0
9000372,30.119823999833912,4.217671911399927,329.0
9000373,204.49863684058167,42.527877181903584,1792.0
9000374,265.1807760899414,61.35061540008565,1758.0
9000375,92.225003865799,44.664656348561586,82.0
9000376,60.27118473112473,22.500550617809314,58.0
9000377,34.769570128113564,3.2822425631854846,258.0
9000378,28.728839559718377,4.880513479605658,2611.0
9000379,16.9399167226958,6.065942500623924,76.0
9000380,73.14007190214818,7.9809419141246725,914.0
9000381,171.70910340660524,24.46676008099193,2529.0
9000382,25.047804673035373,2.8578933130715103,743.0
9000383,45.87421938533111,7.9306540486912285,1008.0
9000384,71.23071063617354,8.583202844851456,1025.0
9000385,58.414139385423155,10.496159617197547,1356.0
9000386,47.880382541248956,3.8419274373914685,927.0
9000387,24.33664673179101,0.6505657991700626,1681.0
9000388,999.9999999999999,1564.0264961040164,991.0
9000389,38.76231107195442,6.279724305941127,140.0
9000390,1.0000524418431243,242642.9660636915,2.0
9000391,58.59035548068075,11.027297535383738,489.0
9000392,51.26552999215482,3.5762917597027117,401.0
9000393,584.7654012646424,560.9933573164067,1020.0
9000394,22.870471435092572,3.144011518138454,1156.0
9000395,61.40295094716484,7.8677048848631195,797.0
9000396,151.37354084957852,30.26223383704635,1037.0
9000397,1.000052441835716,242844.83035506442,3.0
9000398,118.98802317126065,40.214517353916264,146.0
9000399,138.38327795262506,26.684189895570388,1056.0
9000400,38.68964831254293,7.301277017202637,1210.0
9000401,999.9999999999999,2699.6414962576455,290.0
9000402,16.50777942296797,3.0747552450065534,71.0
9000403,43.138598698543376,8.730512754891755,292.0
9000404,123.79726062073144,30.268577724030088,201.0
9000405,507.62599413013476,405.0999093496805,812.0
9000406,141.11201757255714,31.950712063617964,804.0
9000407,34.65602799576377,2.5847096132598897,1394.0
9000408,26.840419061034492,5.112644496891875,529.0
9000409,46.470967672268316,15.746725439075972,43.0
9000410,27.28105793969296,6.251491917881804,215.0
9000411,51.56579740157341,11.450177780009971,245.0
9000412,999.9999999999999,2638.1993717068044,474.0
9000413,8.931973781153976,10.042285124679234,9.0
9000414,1.0000000124256212,6179.408229410813,6.0
9000415,67.00198561534235,8.496938085787667,574.0
9000416,90.58399754760855,22.983048494403704,280.0
9000417,205.63724556344596,72.04611447657828,817.0
9000418,225.04677863433815,141.1070724996328,208.0
