stimulus_presentation_id,stimulus_block,start_time,stop_time,coherence,Speed,y_position,x_position,orientation,Dir,size,spatial_frequency,contrast,frame,stimulus_name,color,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1780,0.0,514.10369,514.3539,null,null,0.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,212,,,0,,False,8,test,2
1781,0.0,514.3539,514.60412,null,null,30.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,131,,,0,,False,7,train,0
1782,0.0,514.60412,514.85433,null,null,-10.0,0.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,169,,,0,,False,4,train,0
1783,0.0,514.85433,515.10454,null,null,-40.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,61,,,0,,False,3,train,2
1784,0.0,515.10454,515.35476,null,null,-30.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,91,,,0,,False,9,train,1
1785,0.0,515.35476,515.60496,null,null,-40.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,95,,,0,,False,8,test,2
1786,0.0,515.60496,515.85517,null,null,-20.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,74,,,0,,False,5,test,1
1787,0.0,515.85517,516.10538,null,null,-20.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,228,,,0,,False,9,train,2
1788,0.0,516.10538,516.35558,null,null,30.0,30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,148,,,0,,False,8,test,1
1789,0.0,516.35558,516.60579,null,null,-30.0,40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,123,,,0,,False,8,test,0
1790,0.0,516.60579,516.856,null,null,-40.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,61,,,0,,False,4,train,2
1791,0.0,516.856,517.10622,null,null,0.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,221,,,0,,False,8,test,2
1792,0.0,517.10622,517.35643,null,null,10.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,50,,,0,,False,7,train,0
1793,0.0,517.35643,517.60663,null,null,20.0,-30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,160,,,0,,False,7,train,2
1794,0.0,517.60663,517.85684,null,null,10.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,92,,,0,,False,11,test,2
1795,0.0,517.85684,518.10705,null,null,-10.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,66,,,0,,False,8,test,1
1796,0.0,518.10705,518.35725,null,null,-10.0,40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,220,,,0,,False,7,train,0
1797,0.0,518.35725,518.60746,null,null,20.0,10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,6,,,0,,False,8,test,2
1798,0.0,518.60746,518.85767,null,null,30.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,42,,,0,,False,9,train,2
1799,0.0,518.85767,519.10789,null,null,-30.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,2,,,0,,False,4,train,2
1800,0.0,519.10789,519.3581,null,null,40.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,154,,,0,,False,6,train,1
1801,0.0,519.3581,519.60831,null,null,-10.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,27,,,0,,False,6,train,0
1802,0.0,519.60831,519.85851,null,null,-10.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,171,,,0,,False,8,test,0
1803,0.0,519.85851,520.10872,null,null,10.0,10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,75,,,0,,False,8,test,0
1804,0.0,520.10872,520.35893,null,null,-10.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,27,,,0,,False,7,train,0
1805,0.0,520.35893,520.60915,null,null,30.0,-30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,188,,,0,,False,7,train,2
1806,0.0,520.60915,520.85936,null,null,-40.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,54,,,0,,False,9,train,1
1807,0.0,520.85936,521.10957,null,null,30.0,10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,86,,,0,,False,4,train,2
1808,0.0,521.10957,521.35979,null,null,-20.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,216,,,0,,False,5,test,1
1809,0.0,521.35979,521.60999,null,null,-30.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,25,,,0,,False,8,test,1
1810,0.0,521.60999,521.86019,null,null,0.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,84,,,0,,False,7,train,1
1811,0.0,521.86019,522.1104,null,null,40.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,46,,,0,,False,4,train,1
1812,0.0,522.1104,522.3606,null,null,20.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,69,,,0,,False,7,train,2
1813,0.0,522.3606,522.61082,null,null,-30.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,119,,,0,,False,7,train,1
1814,0.0,522.61082,522.86103,null,null,-20.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,60,,,0,,False,9,train,0
1815,0.0,522.86103,523.11125,null,null,10.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,174,,,0,,False,7,train,1
1816,0.0,523.11125,523.36147,null,null,0.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,211,,,0,,False,9,train,2
1817,0.0,523.36147,523.61167,null,null,-30.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,217,,,0,,False,8,test,0
1818,0.0,523.61167,523.86187,null,null,40.0,30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,36,,,0,,False,9,train,0
1819,0.0,523.86187,524.11208,null,null,10.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,136,,,0,,False,10,train,0
1820,0.0,524.11208,524.36228,null,null,30.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,131,,,0,,False,8,test,0
1821,0.0,524.36228,524.61249,null,null,-20.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020663,80,,,0,,False,10,train,1
