stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,spatial_frequency,color,coherence,Speed,y_position,frame,temporal_frequency,orientation,Dir,phase,x_position,stimulus_name,size,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3390,0.0,916.6002,916.85043,0.8,0.08,null,null,null,0.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,"[20.0, 20.0]",0.25022733,114,,,0,,False,14,test,2
3391,0.0,916.85043,917.10065,0.8,0.08,null,null,null,40.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,"[20.0, 20.0]",0.25022733,225,,,0,,False,13,train,0
3392,0.0,917.10065,917.35088,0.8,0.08,null,null,null,-20.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,"[20.0, 20.0]",0.25022733,183,,,0,,False,13,train,1
3393,0.0,917.35088,917.60107,0.8,0.08,null,null,null,-30.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,"[20.0, 20.0]",0.25018517,76,,,0,,False,14,test,1
3394,0.0,917.60107,917.85125,0.8,0.08,null,null,null,-10.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25018517,148,,,0,,False,13,train,2
3395,0.0,917.85125,918.10144,0.8,0.08,null,null,null,-20.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,"[20.0, 20.0]",0.25018517,11,,,0,,False,14,test,0
3396,0.0,918.10144,918.35162,0.8,0.08,null,null,null,20.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,"[20.0, 20.0]",0.25018517,91,,,0,,False,12,train,2
3397,0.0,918.35162,918.60185,0.8,0.08,null,null,null,0.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,"[20.0, 20.0]",0.25022733,184,,,0,,False,14,test,2
3398,0.0,918.60185,918.85208,0.8,0.08,null,null,null,10.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,"[20.0, 20.0]",0.25022733,132,,,0,,False,13,train,2
3399,0.0,918.85208,919.1023,0.8,0.08,null,null,null,0.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25022733,39,,,0,,False,12,train,0
3400,0.0,919.1023,919.35253,0.8,0.08,null,null,null,0.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,"[20.0, 20.0]",0.25022733,143,,,0,,False,13,train,2
3401,0.0,919.35253,919.60272,0.8,0.08,null,null,null,-40.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,"[20.0, 20.0]",0.25018767,159,,,0,,False,13,train,1
3402,0.0,919.60272,919.85291,0.8,0.08,null,null,null,10.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,"[20.0, 20.0]",0.25018767,212,,,0,,False,14,test,2
3403,0.0,919.85291,920.10309,0.8,0.08,null,null,null,0.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25018767,64,,,0,,False,13,train,1
3404,0.0,920.10309,920.35328,0.8,0.08,null,null,null,20.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,"[20.0, 20.0]",0.25018767,91,,,0,,False,13,train,2
3405,0.0,920.35328,920.6035,0.8,0.08,null,null,null,20.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,"[20.0, 20.0]",0.25022233,32,,,0,,False,14,test,0
3406,0.0,920.6035,920.85373,0.8,0.08,null,null,null,-40.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25022233,137,,,0,,False,12,train,1
3407,0.0,920.85373,921.10395,0.8,0.08,null,null,null,-10.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,"[20.0, 20.0]",0.25022233,29,,,0,,False,11,test,0
3408,0.0,921.10395,921.35417,0.8,0.08,null,null,null,30.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,"[20.0, 20.0]",0.25022233,219,,,0,,False,13,train,1
3409,0.0,921.35417,921.60436,0.8,0.08,null,null,null,10.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,"[20.0, 20.0]",0.25019267,130,,,0,,False,14,test,0
3410,0.0,921.60436,921.85456,0.8,0.08,null,null,null,-30.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,"[20.0, 20.0]",0.25019267,205,,,0,,False,13,train,0
3411,0.0,921.85456,922.10475,0.8,0.08,null,null,null,0.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,"[20.0, 20.0]",0.25019267,226,,,0,,False,14,test,0
3412,0.0,922.10475,922.35494,0.8,0.08,null,null,null,20.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,"[20.0, 20.0]",0.25019267,38,,,0,,False,14,test,0
3413,0.0,922.35494,922.60516,0.8,0.08,null,null,null,-40.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,"[20.0, 20.0]",0.25021733,178,,,0,,False,13,train,0
3414,0.0,922.60516,922.85538,0.8,0.08,null,null,null,0.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,"[20.0, 20.0]",0.25021733,23,,,0,,False,14,test,2
3415,0.0,922.85538,923.10559,0.8,0.08,null,null,null,10.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25021733,144,,,0,,False,13,train,1
3416,0.0,923.10559,923.35581,0.8,0.08,null,null,null,20.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,"[20.0, 20.0]",0.25021733,146,,,0,,False,13,train,1
3417,0.0,923.35581,923.60601,0.8,0.08,null,null,null,-20.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,"[20.0, 20.0]",0.25020267,171,,,0,,False,14,test,1
3418,0.0,923.60601,923.85622,0.8,0.08,null,null,null,30.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25020267,129,,,0,,False,13,train,1
3419,0.0,923.85622,924.10642,0.8,0.08,null,null,null,30.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,"[20.0, 20.0]",0.25020267,36,,,0,,False,11,test,1
3420,0.0,924.10642,924.35662,0.8,0.08,null,null,null,20.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,"[20.0, 20.0]",0.25020267,74,,,0,,False,14,test,1
3421,0.0,924.35662,924.60684,0.8,0.08,null,null,null,20.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,"[20.0, 20.0]",0.25021733,202,,,0,,False,14,test,1
3422,0.0,924.60684,924.85706,0.8,0.08,null,null,null,-30.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,"[20.0, 20.0]",0.25021733,210,,,0,,False,13,train,0
3423,0.0,924.85706,925.10727,0.8,0.08,null,null,null,-40.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,"[20.0, 20.0]",0.25021733,105,,,0,,False,12,train,0
3424,0.0,925.10727,925.35749,0.8,0.08,null,null,null,30.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,"[20.0, 20.0]",0.25021733,40,,,0,,False,14,test,1
3425,0.0,925.35749,925.60769,0.8,0.08,null,null,null,20.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,"[20.0, 20.0]",0.25020017,135,,,0,,False,14,test,2
3426,0.0,925.60769,925.85789,0.8,0.08,null,null,null,-40.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,"[20.0, 20.0]",0.25020017,220,,,0,,False,13,train,0
3427,0.0,925.85789,926.10809,0.8,0.08,null,null,null,-20.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,"[20.0, 20.0]",0.25020017,217,,,0,,False,14,test,1
3428,0.0,926.10809,926.35829,0.8,0.08,null,null,null,40.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,"[20.0, 20.0]",0.25020017,61,,,0,,False,13,train,2
3429,0.0,926.35829,926.60851,0.8,0.08,null,null,null,20.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25021983,198,,,0,,False,13,train,1
3430,0.0,926.60851,926.85873,0.8,0.08,null,null,null,40.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,"[20.0, 20.0]",0.25021983,62,,,0,,False,13,train,1
3431,0.0,926.85873,927.10895,0.8,0.08,null,null,null,-30.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25021983,201,,,0,,False,14,test,1
3432,0.0,927.10895,927.35917,0.8,0.08,null,null,null,-20.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,"[20.0, 20.0]",0.25021983,110,,,0,,False,14,test,0
3433,0.0,927.35917,927.60936,0.8,0.08,null,null,null,-40.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,"[20.0, 20.0]",0.25019017,101,,,0,,False,14,test,1
3434,0.0,927.60936,927.85955,0.8,0.08,null,null,null,-40.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25019017,242,,,0,,False,13,train,0
