unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
4000651,113.46,,V1_site4_B
4000652,132.01,,V1_site4_B
4000653,112.2,,V1_site4_B
4000654,126.75,,V1_site4_B
4000655,106.57,,V1_site4_B
4000656,125.55,,V1_site4_B
4000657,135.32,,V1_site4_B
4000658,125.56,,V1_site4_B
4000659,155.48,,V1_site4_B
4000660,161.27,,V1_site4_B
4000661,164.46,,V1_site4_B
4000662,157.49,,V1_site4_B
4000663,156.6,,V1_site4_B
4000664,199.42,,V1_site4_B
4000665,216.84,,V1_site4_B
4000666,217.35,,V1_site4_B
4000667,216.59,,V1_site4_B
4000668,227.1,,V1_site4_B
4000669,225.04,,V1_site4_B
4000670,216.07,,V1_site4_B
4000671,202.96,,V1_site4_B
4000672,283.85,,V1_site4_B
4000673,250.78,,V1_site4_B
4000674,239.87,,V1_site4_B
4000675,274.33,,V1_site4_B
4000676,229.54,,V1_site4_B
4000677,244.45,,V1_site4_B
4000678,263.43,,V1_site4_B
4000679,239.58,,V1_site4_B
4000680,272.68,,V1_site4_B
4000681,259.7,,V1_site4_B
4000682,267.57,,V1_site4_B
4000683,275.13,,V1_site4_B
4000684,277.88,,V1_site4_B
4000685,279.23,,V1_site4_B
4000686,281.02,,V1_site4_B
4000687,314.14,,V1_site4_B
4000688,297.09,,V1_site4_B
4000689,302.91,,V1_site4_B
4000690,295.69,,V1_site4_B
4000691,275.76,,V1_site4_B
4000692,328.26,,V1_site4_B
4000693,302.55,,V1_site4_B
4000694,352.6,,V1_site4_B
4000695,335.07,,V1_site4_B
4000696,319.84,,V1_site4_B
4000697,339.92,,V1_site4_B
4000698,320.37,,V1_site4_B
4000699,352.83,,V1_site4_B
4000700,343.49,,V1_site4_B
4000701,327.01,,V1_site4_B
4000702,337.08,,V1_site4_B
4000703,329.19,,V1_site4_B
4000704,372.32,,V1_site4_B
4000705,375.24,,V1_site4_B
4000706,361.24,,V1_site4_B
4000707,362.67,,V1_site4_B
4000708,384.83,,V1_site4_B
4000709,360.95,,V1_site4_B
4000710,377.22,,V1_site4_B
4000711,373.72,,V1_site4_B
4000712,406.15,,V1_site4_B
4000713,392.9,,V1_site4_B
4000714,406.58,,V1_site4_B
4000715,406.21,,V1_site4_B
4000716,412.78,,V1_site4_B
4000717,408.66,,V1_site4_B
4000718,407.59,,V1_site4_B
4000719,419.0,,V1_site4_B
4000720,409.09,,V1_site4_B
4000721,470.97,,V1_site4_B
4000722,473.04,,V1_site4_B
4000723,459.61,,V1_site4_B
4000724,434.34,,V1_site4_B
4000725,469.01,,V1_site4_B
4000726,498.79,,V1_site4_B
4000727,495.31,,V1_site4_B
4000728,495.62,,V1_site4_B
4000729,499.67,,V1_site4_B
4000730,503.17,,V1_site4_B
4000731,484.67,,V1_site4_B
4000732,463.03,,V1_site4_B
4000733,544.51,,V1_site4_B
4000734,540.5,,V1_site4_B
4000735,519.39,,V1_site4_B
4000736,554.69,,V1_site4_B
4000737,553.91,,V1_site4_B
4000738,517.69,,V1_site4_B
4000739,552.44,,V1_site4_B
4000740,518.81,,V1_site4_B
4000741,525.16,,V1_site4_B
