stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,size,orientation,spatial_frequency,y_position,stimulus_name,frame,temporal_frequency,color,contrast,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1007,0.0,341.5903,341.84051,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-20.0,gabors,null,4.0,null,0.8,-20.0,0.25021357,240,,,0,,False,1,train,2
1008,0.0,341.84051,342.09073,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,20.0,0.25021357,181,,,0,,False,2,test,0
1009,0.0,342.09073,342.34094,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,20.0,0.25020893,181,,,0,,False,3,train,0
1010,0.0,342.34094,342.59115,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-40.0,gabors,null,4.0,null,0.8,-20.0,0.25020893,215,,,0,,False,2,test,2
1011,0.0,342.59115,342.84135,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-10.0,gabors,null,4.0,null,0.8,0.0,0.25020893,149,,,0,,False,6,train,1
1012,0.0,342.84135,343.09156,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,40.0,0.25020893,148,,,0,,False,2,test,1
1013,0.0,343.09156,343.34177,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-30.0,gabors,null,4.0,null,0.8,-10.0,0.25020607,20,,,0,,False,3,train,2
1014,0.0,343.34177,343.59198,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-10.0,gabors,null,4.0,null,0.8,-20.0,0.25020607,104,,,0,,False,4,train,1
1015,0.0,343.59198,343.84218,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-40.0,gabors,null,4.0,null,0.8,-10.0,0.25020607,39,,,0,,False,4,train,1
1016,0.0,343.84218,344.09239,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,30.0,gabors,null,4.0,null,0.8,-20.0,0.25020607,118,,,0,,False,6,train,0
