stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,size,x_position,spatial_frequency,color,temporal_frequency,contrast,stimulus_name,orientation,phase,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1863,0.0,550.74835,550.99857,40.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502224,14,,,0,,False,8,test,1
1864,0.0,550.99857,551.24879,-40.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502224,28,,,0,,False,7,train,1
1865,0.0,551.24879,551.49899,10.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502001,51,,,0,,False,5,test,0
1866,0.0,551.49899,551.74919,-20.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502001,200,,,0,,False,7,train,0
1867,0.0,551.74919,551.99939,40.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502001,134,,,0,,False,12,train,1
1868,0.0,551.99939,552.24959,-20.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502001,149,,,0,,False,7,train,2
1869,0.0,552.24959,552.49981,30.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502199,30,,,0,,False,6,train,2
1870,0.0,552.49981,552.75003,-30.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502199,243,,,0,,False,6,train,0
1871,0.0,552.75003,553.00025,-30.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502199,136,,,0,,False,5,test,0
1872,0.0,553.00025,553.25047,-10.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502199,218,,,0,,False,8,test,0
