ecephys_session_id,held_probe,n_train_cells,n_held_cells,baseline_held_error_deg,candidate_held_error_deg,chosen_dscale_ap,chosen_dscale_ml,improvement_deg
757216464,769322751,326,83,30.504178678591643,37.73770295947605,1.15,0.9624999999999999,-7.23352428088441
757216464,769322753,328,81,28.354143128446026,41.19535969505239,1.075,1.15,-12.841216566606363
757216464,769322755,373,36,20.42979765777922,20.499435982598282,1.0,1.0374999999999999,-0.06963832481906351
757970808,769322852,276,78,33.63907313628283,36.923658262037954,0.85,1.15,-3.2845851257551217
757970808,769322856,208,146,34.71998075416052,34.85874103273764,1.15,1.0,-0.13876027857712359
757970808,769322860,288,66,52.15517423492076,52.40659872062202,1.0,1.075,-0.2514244857012642
757970808,769322862,290,64,14.083997487678236,20.792209122488686,0.85,0.85,-6.70821163481045
758798717,770930067,227,62,42.996402929141624,36.862920008058055,1.15,1.1124999999999998,6.133482921083569
758798717,770930071,255,34,42.175942159552875,38.42664093036065,1.075,1.15,3.749301229192227
758798717,770930073,206,83,35.34802194439187,33.03340481250484,1.15,1.0374999999999999,2.314617131887026
758798717,770930077,179,110,44.85443456967346,47.48749200466965,1.15,0.9624999999999999,-2.6330574349961893
759883607,769322785,225,73,21.489058000877787,30.109699275109012,1.15,1.1124999999999998,-8.620641274231225
759883607,769322789,220,78,17.71695097523037,16.34505063402063,0.9249999999999999,1.15,1.3719003412097415
759883607,769322793,207,91,11.40174769103013,12.896557686963932,0.8875,1.075,-1.494809995933803
759883607,769322797,242,56,41.75367864245045,38.36347973121421,0.9624999999999999,1.15,3.39019891123624
760345702,810753195,282,45,16.16730300544447,13.118540151810196,1.1124999999999998,1.075,3.0487628536342744
760345702,810753197,272,55,35.65489134457952,35.49638242152555,1.15,1.1124999999999998,0.15850892305396513
760345702,810753199,236,91,11.765423581138121,17.448180449468115,1.0,1.15,-5.682756868329994
760345702,810753201,258,69,27.2936567812205,22.58383269400505,1.15,1.1124999999999998,4.709824087215448
760345702,810753203,260,67,26.257861916337422,25.502361165086487,1.0374999999999999,1.1124999999999998,0.7555007512509349
761418226,768908579,283,45,17.103917478813674,18.198597694846473,1.0374999999999999,1.1124999999999998,-1.094680216032799
761418226,768908582,276,52,44.33418912443571,47.5688258188804,0.8875,1.0374999999999999,-3.2346366944446885
761418226,768908585,272,56,12.272154691495556,6.924085462454437,1.0374999999999999,1.15,5.348069229041119
761418226,768908587,253,75,37.95974634009269,30.176715510076445,1.15,1.15,7.783030830016248
761418226,768908589,266,62,34.04031257921413,33.39288083977279,1.15,1.0374999999999999,0.6474317394413376
761418226,768908591,290,38,13.484959097623644,20.19644127888076,1.15,1.15,-6.711482181257114
762602078,768909178,172,56,28.83966518085532,31.166411748542842,1.15,1.15,-2.326746567687522
762602078,768909182,123,105,19.57335191918056,13.243889021747488,1.0374999999999999,1.15,6.329462897433071
762602078,768909188,161,67,32.20550915687087,28.36853990372129,1.0,1.15,3.836969253149576
763673393,773463013,204,64,22.667754323415885,21.21422285710444,1.15,0.8875,1.4535314663114463
763673393,773463015,243,25,35.54540348061811,37.70393713446847,1.15,1.15,-2.1585336538503554
763673393,773463017,164,104,10.260448691088236,9.845945650978294,0.9624999999999999,0.9624999999999999,0.4145030401099419
763673393,773463019,232,36,59.282868422821025,59.083884589021466,1.15,1.0,0.1989838337995593
763673393,773463026,229,39,22.93528872538226,18.40672376194298,1.1124999999999998,1.0,4.52856496343928
766640955,773592315,257,60,30.582990798320047,24.994397206362127,1.0374999999999999,1.15,5.58859359195792
766640955,773592320,242,75,22.492020783905613,16.62428356337968,1.0,1.15,5.867737220525932
