stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,x_position,temporal_frequency,color,size,spatial_frequency,phase,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2942,0.0,827.39366,827.64388,40.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021494,195,,,0,,False,14,test,2
2943,0.0,827.64388,827.89409,40.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021494,225,,,0,,False,11,test,0
2944,0.0,827.89409,828.14431,-20.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021494,229,,,0,,False,10,train,1
2945,0.0,828.14431,828.39451,40.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020256,243,,,0,,False,7,train,0
2946,0.0,828.39451,828.64471,-10.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020256,191,,,0,,False,12,train,1
2947,0.0,828.64471,828.89491,-20.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020256,14,,,0,,False,11,test,0
2948,0.0,828.89491,829.14512,30.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020256,27,,,0,,False,10,train,1
2949,0.0,829.14512,829.39533,10.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021494,185,,,0,,False,12,train,1
2950,0.0,829.39533,829.64555,30.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021494,82,,,0,,False,13,train,1
2951,0.0,829.64555,829.89576,0.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021494,24,,,0,,False,12,train,1
2952,0.0,829.89576,830.14598,-10.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021494,184,,,0,,False,11,test,0
2953,0.0,830.14598,830.39618,-10.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020506,125,,,0,,False,9,train,1
2954,0.0,830.39618,830.64639,30.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020506,155,,,0,,False,11,test,2
2955,0.0,830.64639,830.89659,-20.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020506,118,,,0,,False,11,test,0
2956,0.0,830.89659,831.1468,-40.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020506,74,,,0,,False,9,train,0
2957,0.0,831.1468,831.39701,20.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020994,16,,,0,,False,11,test,0
2958,0.0,831.39701,831.64722,30.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020994,215,,,0,,False,12,train,2
2959,0.0,831.64722,831.89743,-10.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020994,170,,,0,,False,11,test,2
2960,0.0,831.89743,832.14764,30.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020994,197,,,0,,False,12,train,1
2961,0.0,832.14764,832.39784,-10.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020756,41,,,0,,False,10,train,2
2962,0.0,832.39784,832.64805,-10.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020756,202,,,0,,False,9,train,1
2963,0.0,832.64805,832.89826,-10.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020756,51,,,0,,False,12,train,1
2964,0.0,832.89826,833.14847,-10.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020756,202,,,0,,False,10,train,1
2965,0.0,833.14847,833.39869,30.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25022494,215,,,0,,False,13,train,2
2966,0.0,833.39869,833.64892,-20.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25022494,157,,,0,,False,13,train,0
2967,0.0,833.64892,833.89914,10.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25022494,31,,,0,,False,14,test,2
2968,0.0,833.89914,834.14937,0.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25022494,190,,,0,,False,10,train,2
2969,0.0,834.14937,834.39956,40.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25019506,234,,,0,,False,9,train,0
2970,0.0,834.39956,834.64976,-20.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25019506,66,,,0,,False,12,train,2
2971,0.0,834.64976,834.89995,0.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25019506,189,,,0,,False,13,train,0
2972,0.0,834.89995,835.15015,-10.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25019506,184,,,0,,False,12,train,0
2973,0.0,835.15015,835.40035,40.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020244,32,,,0,,False,13,train,1
2974,0.0,835.40035,835.65055,20.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020244,204,,,0,,False,9,train,2
2975,0.0,835.65055,835.90075,-20.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020244,239,,,0,,False,13,train,1
