site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,delta_azimuth_deg,delta_elevation_deg,fit_residual_deg
site5,C,5002224,369.09116659546424,209.84088475358234,42.13646821497977,4.886638263428002,55.19412346972656,21.497549781036376,8.274329896208497,4.694597072283456,-6.760707263833632,20.301945387662556
site5,C,5002232,369.78573680746246,209.84972184228343,41.86167589158835,5.001022193064627,52.15977246972656,23.013179781036378,7.311844896057014,4.694597072283456,-6.760707263833632,18.745025934683103
site5,C,5002233,368.9751026435898,209.83940805990906,42.18323458430711,4.8675232429849435,42.69742346972656,34.709359781036376,8.353621186310901,4.694597072283456,-6.760707263833632,23.661571793232945
site5,C,5002234,368.8273024548749,209.83752758280949,42.246721558144046,4.843175792760844,40.655538469726565,26.483339781036378,6.743050319036231,4.694597072283456,-6.760707263833632,15.199651666067687
site5,C,5002237,372.0562378660049,209.8786096622671,41.01387530067876,5.373493756805443,46.69558846972656,10.382689781036378,6.46065793419531,4.694597072283456,-6.760707263833632,10.523098680845411
site5,C,5002241,372.50961267801415,209.88437799692838,40.84893298628316,5.446604970687025,42.474776469726564,30.313669781036374,8.517841230677792,4.694597072283456,-6.760707263833632,19.177803639122587
site5,C,5002245,374.25782595312194,209.90662069538226,40.2122707342471,5.718057604785363,39.29233146972656,30.06589978103638,7.988286282663395,4.694597072283456,-6.760707263833632,17.987644537105908
site5,C,5002247,371.0588132795845,209.8659193260123,41.37940094101739,5.210394252262785,36.54615646972656,26.85169978103638,7.303373731642828,4.694597072283456,-6.760707263833632,14.881244162494806
site5,C,5002253,376.33428259212445,209.93303966813093,39.45373511211868,5.981237300426279,58.953516469726566,16.47067978103638,7.450967734553158,4.694597072283456,-6.760707263833632,24.48002070925637
site5,C,5002254,376.4449060462547,209.93444714178827,39.41344931057207,5.992039538286024,58.873646469726566,23.13889978103638,6.871883021789054,4.694597072283456,-6.760707263833632,26.293083844702753
site5,C,5002255,376.1202896808561,209.9303170141708,39.531661850727346,5.960329280270226,47.72402586972656,14.699449781036376,9.587132492797418,4.694597072283456,-6.760707263833632,13.037940217085797
site5,C,5002256,376.4086360612939,209.93398567501538,39.42665789326171,5.988498282468084,60.459246469726565,23.58564978103638,7.822414312906646,4.694597072283456,-6.760707263833632,27.91624267443015
site5,C,5002257,374.48995385687067,209.90957408272885,40.12747910895827,5.751378763710932,47.16376226972656,14.471949781036377,8.916317701033979,4.694597072283456,-6.760707263833632,11.893469509544104
site5,C,5002263,377.98547365746225,209.9540479429673,38.85710592578138,6.113521028389272,50.18620546972656,19.64247978103638,10.71233712562244,4.694597072283456,-6.760707263833632,17.394484225315875
site5,E,5002323,155.81228313984687,274.0945623161179,7.510557704072184,18.633956559190448,51.45435946972656,-35.99195021896362,8.076900094149668,4.694597072283456,-6.760707263833632,78.31992227433754
site5,E,5002324,154.74734031300244,274.9480361873981,7.27789703247804,19.059880018546032,25.175446469726563,-20.599520218963626,7.901580137883761,4.694597072283456,-6.760707263833632,51.625879792449304
site5,E,5002337,155.95166216012916,273.98286021435524,7.541459710916279,18.57786388175663,26.940446469726563,-22.026070218963625,8.66702409672102,4.694597072283456,-6.760707263833632,53.14047453136593
site5,E,5002358,166.4740522590453,265.5499333130558,10.807588414679493,14.128359130599266,27.81314646972656,-39.00549021896362,9.623760896435344,4.694597072283456,-6.760707263833632,63.70443190599513
site5,E,5002517,247.11715634310838,200.92037715310732,53.02189244233199,-15.554751248815526,41.305667469726565,37.949309781036376,8.092197320666877,4.694597072283456,-6.760707263833632,47.2677943177563
site5,E,5002530,249.97587812369005,198.62932050341317,55.07390542044402,-16.435697055560357,71.12632646972656,-15.640220218963622,10.77564607343633,4.694597072283456,-6.760707263833632,21.58755972745926
site5,E,5002580,267.9862609007931,184.19531454127178,69.04546506027411,-19.965401267487675,70.53233646972656,-39.07705021896362,6.16933760741899,4.694597072283456,-6.760707263833632,26.600552037928885
site5,E,5002645,290.41829790987265,166.21767575706662,71.1115225249558,-11.633612633042603,75.90410646972657,-11.402012218963623,6.737450123438104,4.694597072283456,-6.760707263833632,11.51676343014248
site5,E,5002647,295.0236130383669,162.52685214465933,67.84550656846783,-8.310687860579268,27.360506469726563,11.798019781036377,7.90975353661025,4.694597072283456,-6.760707263833632,38.19845628924746
site5,E,5002648,294.0828046514614,163.28084133155716,68.64392203230011,-8.81780837743376,50.919793469726564,8.391017781036377,7.385779975780167,4.694597072283456,-6.760707263833632,16.70125382397745
site5,E,5002657,293.7292755739745,163.56416905842383,68.93505369086434,-9.045318793854026,18.41374646972656,10.653279781036378,8.598537586555373,4.694597072283456,-6.760707263833632,47.61802594232383
site5,E,5002660,298.67650486159874,159.59932622763012,64.70368766343952,-6.463014939090518,13.893936469726562,17.108529781036374,8.675312452887706,4.694597072283456,-6.760707263833632,49.083721289497895
site5,E,5002676,296.80505114134996,161.09915965650555,66.33915207668909,-7.517643722182531,29.56820646972656,6.304632781036378,6.840234821178995,4.694597072283456,-6.760707263833632,32.84444999449436
site5,E,5002700,301.146852809623,157.61952283024328,62.13636718707317,-4.707707911489704,15.730536469726559,14.482389781036376,8.170504492211744,4.694597072283456,-6.760707263833632,43.52374936309968
site5,E,5002701,302.54064301244597,156.50250181261686,60.65853915224329,-3.675222154688149,11.265096469726565,-7.662322218963623,8.949160446727445,4.694597072283456,-6.760707263833632,45.97284156161794
site5,E,5002703,304.9442051799183,154.5762223389913,58.06061680467272,-2.0190132903385543,17.50598646972656,23.23289978103638,8.965728614351208,4.694597072283456,-6.760707263833632,40.3468298360122
site5,E,5002707,307.05013506449615,152.8884733951714,55.57575771839217,-1.1375287997837469,44.68782546972656,-6.394868218963622,6.707234611322086,4.694597072283456,-6.760707263833632,13.520016519298506
site5,E,5002709,305.373957159122,154.23180752522316,57.554417094605014,-1.7872623254862907,30.89703646972656,14.903829781036377,8.218320506285375,4.694597072283456,-6.760707263833632,24.103452128316505
site5,E,5002719,310.85547269116176,149.83877330433927,51.29220790698696,-0.8883868593530015,27.218146469726562,9.806339781036378,7.834273190831304,4.694597072283456,-6.760707263833632,19.774735081121243
site5,E,5002721,308.7306685642541,151.54164857443953,53.73554917223551,-0.926593367592674,31.426576469726562,10.544269781036377,7.180658934919918,4.694597072283456,-6.760707263833632,18.233260742438652
site5,E,5002724,311.1785126079619,149.57988041223314,50.901908974396164,-0.8878272944947184,25.250016469726564,12.719959781036378,8.964739578663552,4.694597072283456,-6.760707263833632,22.04746547311205
site5,E,5002734,313.3076723292534,147.8735144514528,48.44370757783649,-0.8872950433187505,31.96865646972656,10.746949781036378,7.970258952666745,4.694597072283456,-6.760707263833632,12.748743688851622
site5,E,5002736,312.28773731104184,148.69091785237208,49.59004228858408,-0.8873335891739731,18.523196469726564,31.443069781036378,9.649474232241802,4.694597072283456,-6.760707263833632,36.732885306270646
site5,E,5002737,314.7834928929717,146.69075209268482,46.8286143890828,-0.8872935175895691,11.103576469726562,7.579093781036377,7.476872587185435,4.694597072283456,-6.760707263833632,31.077284365670888
site5,E,5002740,316.20922412127607,145.54813267673777,45.258207459006755,-0.8872935232246842,11.632026469726561,10.201759781036378,10.36210503501036,4.694597072283456,-6.760707263833632,29.25356606282229
site5,E,5002744,316.7369769741158,145.12517732266775,44.69649944771192,-0.8872935560181242,20.158256469726563,8.944689781036377,8.638414844914946,4.694597072283456,-6.760707263833632,20.079915825242367
site5,E,5002746,314.9206941160621,146.58079533626218,46.67711284141028,-0.8872935175895691,36.28005646972656,-8.279657218963623,8.718731054386796,4.694597072283456,-6.760707263833632,15.258684733866197
site5,E,5002747,315.80996130275906,145.86811265574534,45.69326842128093,-0.8872935175895691,46.768003469726565,25.47100978103638,8.652016311390028,4.694597072283456,-6.760707263833632,20.42916942663563
site5,E,5002749,318.5372893194288,143.68235850823365,43.023300810346974,-0.8873162249484234,7.88383646972656,10.234529781036377,9.81239750064249,4.694597072283456,-6.760707263833632,30.755641338052875
site5,E,5002762,321.946993789564,140.94972948750902,40.353885476029475,-0.9049864206332872,18.17950646972656,8.666279781036378,9.811407263360056,4.694597072283456,-6.760707263833632,17.7042937730914
site5,E,5002763,322.14807706361705,140.78857593444522,40.18726139580464,-0.912255715403617,24.738126469726563,5.811258781036377,10.076640499660874,4.694597072283456,-6.760707263833632,10.754602166079774
site5,E,5002768,322.4580501972657,140.54015511437936,39.93114566584082,-0.9266342416395701,13.094066469726563,14.006139781036378,8.75585823688081,4.694597072283456,-6.760707263833632,23.602376781060467
site5,E,5002781,324.70408503452313,138.7401222870168,38.20111245187208,-1.2386561672103755,15.726386469726563,15.833159781036377,9.06281453876173,4.694597072283456,-6.760707263833632,20.55363584267008
site5,E,5002787,324.74255945158023,138.70928785267606,38.17568141534116,-1.248128885807465,19.82881646972656,6.550619781036378,8.992671918055438,4.694597072283456,-6.760707263833632,13.691674405986763
site5,E,5002793,326.2132984885174,137.53059796636816,37.374021066487394,-1.7310557693436832,31.56625646972656,17.786539781036375,8.82216709632399,4.694597072283456,-6.760707263833632,12.80536374699979
site5,E,5002805,323.8663590480347,139.41149846115263,38.80143703077461,-1.063306428558463,15.05942646972656,7.495549781036377,10.092862999061865,4.694597072283456,-6.760707263833632,19.132101302342967
site5,E,5002808,330.9333109357856,133.7478528327187,36.74646604831779,-3.790611675720234,27.17098646972656,10.326129781036377,9.486821400623468,4.694597072283456,-6.760707263833632,8.828037895695354
site5,E,5002810,325.0772142867372,138.4410864520897,37.96097560895528,-1.337355646873479,17.310776469726562,8.997559781036378,8.621896197498693,4.694597072283456,-6.760707263833632,16.35103058889124
site5,E,5002811,323.0692852757953,140.05029485560775,39.42930845921927,-0.9638810447769242,34.167896469726564,18.03292978103638,8.314860612976378,4.694597072283456,-6.760707263833632,12.249224854245371
site5,E,5002820,332.6378002046545,132.3818292132464,36.74151902944217,-4.533440676815376,14.413926469726562,3.5203577810363775,6.439420749047057,4.694597072283456,-6.760707263833632,17.680345434856466
site5,E,5002821,331.38193715731927,133.38831169267021,36.74478636269785,-3.9855573860545195,12.29527646972656,9.398579781036377,8.749390892921806,4.694597072283456,-6.760707263833632,20.835700233885568
site5,E,5002823,331.6352875639782,133.18526985144538,36.74400841275593,-4.097140530849807,33.867646469726566,3.6714237810363777,7.471460082825379,4.694597072283456,-6.760707263833632,2.0788830689971114
site5,E,5002829,333.14740474756167,131.97341840367673,36.739437261626875,-4.756545828737486,27.685676469726562,28.140429781036374,8.215880152175272,4.694597072283456,-6.760707263833632,26.49729856769216
