group,model,azimuth_deg,elevation_deg,halfmax_area_deg2,effective_local_units
V1,allen,26.25,-23.75,47877.962,3.4603085
V1,allen,27.5,-23.75,44029.934,3.5904218
V1,allen,28.75,-23.75,40284.738,3.7388994
V1,allen,30,-23.75,36675.441,3.9083313
V1,allen,31.25,-23.75,33230.713,4.1017464
V1,allen,32.5,-23.75,29974.247,4.3226957
V1,allen,33.75,-23.75,26924.398,4.5753523
V1,allen,35,-23.75,24094.054,4.8646278
V1,allen,36.25,-23.75,21490.736,5.1963113
V1,allen,37.5,-23.75,19116.905,5.5772292
V1,allen,38.75,-23.75,16970.458,6.0154304
V1,allen,40,-23.75,15045.358,6.5203924
V1,allen,41.25,-23.75,13332.36,7.1032442
V1,allen,42.5,-23.75,11819.775,7.7769921
V1,allen,43.75,-23.75,10494.241,8.5567172
V1,allen,45,-23.75,9341.4517,9.4596921
V1,allen,46.25,-23.75,8346.8131,10.505317
V1,allen,47.5,-23.75,7496.0253,11.714707
V1,allen,48.75,-23.75,6775.57,13.109634
V1,allen,50,-23.75,6173.1167,14.710371
V1,allen,51.25,-23.75,5677.8618,16.53172
V1,allen,52.5,-23.75,5280.824,18.576245
V1,allen,53.75,-23.75,4975.1282,20.823622
V1,allen,55,-23.75,4756.3201,23.215538
V1,allen,56.25,-23.75,4622.7608,25.637616
V1,allen,57.5,-23.75,4576.1681,27.904606
V1,allen,58.75,-23.75,4622.3885,29.76218
V1,allen,60,-23.75,4772.5125,30.922968
V1,allen,61.25,-23.75,5044.4786,31.144292
V1,allen,62.5,-23.75,5465.3554,30.32345
V1,allen,63.75,-23.75,6074.5283,28.554381
V1,allen,65,-23.75,6928.0361,26.100582
V1,allen,66.25,-23.75,8104.2549,23.298708
V1,allen,67.5,-23.75,9710.9504,20.455047
V1,allen,68.75,-23.75,11893.312,17.785901
V1,allen,70,-23.75,14841.854,15.409088
V1,allen,71.25,-23.75,18798.015,13.36533
V1,allen,72.5,-23.75,24054.089,11.64691
V1,allen,73.75,-23.75,30943.359,10.221392
V1,allen,75,-23.75,39816.809,9.047281
V1,allen,76.25,-23.75,51005.382,8.0828211
V1,allen,77.5,-23.75,64771.462,7.2902003
V1,allen,78.75,-23.75,81258.682,6.6370611
V1,allen,80,-23.75,100452.74,6.0966165
V1,allen,81.25,-23.75,122165.1,5.6471319
V1,allen,82.5,-23.75,146045.87,5.2711834
V1,allen,83.75,-23.75,171623.61,4.9548977
V1,allen,85,-23.75,198362.46,4.6872621
V1,allen,86.25,-23.75,225723.21,4.4595371
V1,allen,87.5,-23.75,253216.22,4.2647729
V1,allen,88.75,-23.75,280438.43,4.0974214
V1,allen,90,-23.75,307092.12,3.9530285
V1,allen,10,-22.5,66588.003,3.1342203
V1,allen,11.25,-22.5,64981.208,3.1699672
V1,allen,12.5,-22.5,63147.877,3.2098925
V1,allen,13.75,-22.5,61100.166,3.2547764
V1,allen,15,-22.5,58853.989,3.3054606
V1,allen,16.25,-22.5,56428.856,3.3628596
V1,allen,17.5,-22.5,53847.585,3.4279746
V1,allen,18.75,-22.5,51135.892,3.5019103
V1,allen,20,-22.5,48321.861,3.5858953
V1,allen,21.25,-22.5,45435.31,3.6813059
V1,allen,22.5,-22.5,42507.063,3.789695
V1,allen,23.75,-22.5,39568.177,3.9128258
V1,allen,25,-22.5,36649.13,4.0527114
V1,allen,26.25,-22.5,33779.022,4.211662
V1,allen,27.5,-22.5,30984.837,4.3923395
V1,allen,28.75,-22.5,28290.772,4.5978227
V1,allen,30,-22.5,25717.71,4.8316829
V1,allen,31.25,-22.5,23282.822,5.0980722
V1,allen,32.5,-22.5,20999.342,5.4018267
V1,allen,33.75,-22.5,18876.507,5.748584
V1,allen,35,-22.5,16919.671,6.144918
V1,allen,36.25,-22.5,15130.547,6.5984892
V1,allen,37.5,-22.5,13507.592,7.1182081
V1,allen,38.75,-22.5,12046.473,7.7144063
V1,allen,40,-22.5,10740.582,8.3990038
V1,allen,41.25,-22.5,9581.5935,9.1856513
V1,allen,42.5,-22.5,8559.9917,10.089813
V1,allen,43.75,-22.5,7665.5822,11.128733
V1,allen,45,-22.5,6887.9438,12.321195
V1,allen,46.25,-22.5,6216.8227,13.686932
V1,allen,47.5,-22.5,5642.4622,15.245479
V1,allen,48.75,-22.5,5155.8729,17.014145
V1,allen,50,-22.5,4749.0526,19.004681
V1,allen,51.25,-22.5,4415.1706,21.218067
V1,allen,52.5,-22.5,4148.7351,23.636848
V1,allen,53.75,-22.5,3945.7672,26.214645
V1,allen,55,-22.5,3804.0097,28.863437
V1,allen,56.25,-22.5,3723.2054,31.441233
V1,allen,57.5,-22.5,3705.4912,33.746359
V1,allen,58.75,-22.5,3755.968,35.528407
V1,allen,60,-22.5,3883.5272,36.52618
V1,allen,61.25,-22.5,4102.0459,36.533337
V1,allen,62.5,-22.5,4432.0982,35.471694
V1,allen,63.75,-22.5,4903.3746,33.433886
V1,allen,65,-22.5,5558.0424,30.664682
V1,allen,66.25,-22.5,6455.2929,27.487059
V1,allen,67.5,-22.5,7677.269,24.213686
V1,allen,68.75,-22.5,9336.3659,21.085132
V1,allen,70,-22.5,11583.466,18.249514
V1,allen,71.25,-22.5,14615.896,15.773293
V1,allen,72.5,-22.5,18682.823,13.665228
V1,allen,73.75,-22.5,24084.596,11.900252
V1,allen,75,-22.5,31161.916,10.437499
V1,allen,76.25,-22.5,40271.351,9.2317696
V1,allen,77.5,-22.5,51746.58,8.2398428
V1,allen,78.75,-22.5,65849.562,7.4233642
V1,allen,80,-22.5,82721.098,6.7497486
V1,allen,81.25,-22.5,102343.48,6.1920395
V1,allen,82.5,-22.5,124526.53,5.7283012
V1,allen,83.75,-22.5,148922.53,5.340859
V1,allen,85,-22.5,175066.95,5.0155487
V1,allen,86.25,-22.5,202435.13,4.7410429
V1,allen,87.5,-22.5,230501.78,4.508281
V1,allen,88.75,-22.5,258791.73,4.3099992
V1,allen,90,-22.5,286914.98,4.1403535
V1,allen,10,-21.25,49183.935,3.5846368
V1,allen,11.25,-21.25,47807.559,3.6487045
V1,allen,12.5,-21.25,46275.923,3.7176382
V1,allen,13.75,-21.25,44600.412,3.7924697
V1,allen,15,-21.25,42795.079,3.8743347
V1,allen,16.25,-21.25,40876.427,3.9644859
V1,allen,17.5,-21.25,38863.1,4.0643089
V1,allen,18.75,-21.25,36775.483,4.1753427
V1,allen,20,-21.25,34635.224,4.2993046
V1,allen,21.25,-21.25,32464.692,4.4381211
V1,allen,22.5,-21.25,30286.408,4.5939636
V1,allen,23.75,-21.25,28122.444,4.7692921
V1,allen,25,-21.25,25993.848,4.9669058
V1,allen,26.25,-21.25,23920.108,5.1900022
V1,allen,27.5,-21.25,21918.682,5.4422462
V1,allen,28.75,-21.25,20004.623,5.7278494
V1,allen,30,-21.25,18190.31,6.0516607
V1,allen,31.25,-21.25,16485.301,6.4192682
V1,allen,32.5,-21.25,14896.306,6.8371129
V1,allen,33.75,-21.25,13427.268,7.3126116
V1,allen,35,-21.25,12079.557,7.8542857
V1,allen,36.25,-21.25,10852.239,8.4718901
V1,allen,37.5,-21.25,9742.4022,9.1765301
V1,allen,38.75,-21.25,8745.5289,9.9807484
V1,allen,40,-21.25,7855.871,10.898556
V1,allen,41.25,-21.25,7066.8227,11.945367
V1,allen,42.5,-21.25,6371.2683,13.137772
V1,allen,43.75,-21.25,5761.8944,14.493088
V1,allen,45,-21.25,5231.4593,16.028544
V1,allen,46.25,-21.25,4773.0194,17.759984
V1,allen,47.5,-21.25,4380.1129,19.699897
V1,allen,48.75,-21.25,4046.9083,21.854537
V1,allen,50,-21.25,3768.3253,24.219933
V1,allen,51.25,-21.25,3540.1401,26.776565
V1,allen,52.5,-21.25,3359.0878,29.482691
V1,allen,53.75,-21.25,3222.9782,32.266654
V1,allen,55,-21.25,3130.8432,35.019316
V1,allen,56.25,-21.25,3083.1419,37.589044
V1,allen,57.5,-21.25,3082.0526,39.783426
V1,allen,58.75,-21.25,3131.8972,41.383219
V1,allen,60,-21.25,3239.7547,42.173105
V1,allen,61.25,-21.25,3416.3479,41.988154
V1,allen,62.5,-21.25,3677.3152,40.764306
V1,allen,63.75,-21.25,4045.0233,38.571391
V1,allen,65,-21.25,4551.1163,35.608524
V1,allen,66.25,-21.25,5240.0454,32.158794
