site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,rf_area_deg2
site2,C,2002107,300.7830775564749,135.84289908887908,45.073529107892,-1.1049430567467886,36.561766469726564,33.32528978103638,10.4033550029022,1354.3219316637508
site2,C,2002120,300.99999996748846,136.30945828546126,45.35865479466635,-1.0909391919792983,36.76551646972656,33.34322978103638,7.989511565496353,254.1456214861024
site2,C,2002157,302.8161899893055,140.21574050618761,47.67262395336142,-1.0348664879366691,41.792510469726565,35.71212978103638,8.105744157342677,275.46861694038444
site2,E,2002290,194.28225389817857,289.99999999783506,31.607596001513325,20.8099285338715,24.86832646972656,6.454444781036377,10.41960201455707,1369.6599261860476
site2,E,2002489,201.76550156713967,257.8783280334501,28.869919900446945,7.484559305332521,43.72131646972656,-22.882370218963622,8.042899048599686,263.7265574318654
site2,E,2002553,203.62241030425778,249.90758912968366,28.125145332080525,5.555794411903115,19.00254646972656,6.177848781036378,8.520334773567939,367.1777362297072
site2,E,2002560,203.778904499713,249.23584132269957,28.07171192237219,5.329153320175394,29.936036469726563,15.436829781036378,8.885229562771693,472.84697689120827
site2,E,2002564,203.94235028522934,248.5342539720506,28.014495341126082,5.068598623060277,23.29317646972656,11.370089781036377,8.860117302770302,464.6875888441453
site2,E,2002566,203.93578798421166,248.56242250127025,28.01685137455368,5.07952501904801,26.115106469726562,3.7296277810363776,8.400163600020447,337.8323327983271
site2,E,2002577,204.18521103560354,247.49177967457388,27.92979249714456,4.650617144937231,24.10314646972656,4.856398781036377,6.731665501876257,106.2755195641569
site2,E,2002581,204.2716888159635,247.12057575138257,27.900754622292308,4.49676471824438,23.131036469726563,7.942461781036377,8.577695919196387,382.07072753806636
site2,E,2002593,204.90483963872748,244.40279011438406,27.68578311811643,3.33853034638564,11.456046469726559,6.519620781036377,10.092424635431481,1091.748350036627
site2,E,2002598,205.11244192431184,243.51166198237564,27.6039114849132,2.957375310219061,39.650633469726564,14.918329781036379,9.322172432025463,640.1084006021542
site2,E,2002601,205.29924505243343,242.70981376501263,27.52994922153914,2.6148657438768996,19.053796469726564,3.6391367810363775,7.352212864275675,163.39418883517072
