unit_id,site,site_number,subject_id,probe,pilot_qc,default_qc,rf_baseline_spikes,rf_amplitude_spikes,rf_center_x_deg,rf_center_y_deg,rf_sigma_major_deg,rf_sigma_minor_deg,rf_theta_deg,rf_deviance,rf_null_deviance,rf_pseudo_r2,rf_lrt_p,rf_fit_success,rf_fit_evaluations,rf_center_on_screen,rf_split_half_r,rf_split_half_spearman_brown,rf_reliability_p,rf_presentations,rf_position_cells,rf_lrt_q,rf_reliability_q,rf_model_supported,supported_rf_center_x_deg,supported_rf_center_y_deg,azimuth_deg,elevation_deg,rf_area_deg2,log2_rf_area,inferred_row,inferred_col
2001107,site2,2,816305,B,True,True,8.183273,13.45059,20.01394,29.86563,14.69175,10.96325,-25.84485,419.8386,4131.039,0.8983697,0.0,True,10,True,0.8803764,0.9363832,1.2910420000000001e-27,4860,81,0.0,1.2459339999999999e-26,True,20.01394,29.86563,67.84273646972656,28.340109781036375,506.0142181524934,8.983034112579503,321,238
2001108,site2,2,816305,B,True,True,3.362389,8.858998,22.90023,27.42889,11.65135,9.190529,-13.61018,171.0096,2696.982,0.9365922,0.0,True,10,True,0.9582909,0.9787013,4.9776799999999996e-45,4860,81,0.0,1.2143520000000001e-43,True,22.90023,27.42889,70.72902646972656,25.903369781036375,336.4082446447212,8.394069253162959,314,244
2001114,site2,2,816305,B,True,True,0.0846792,0.1602321,10.61331,27.19896,20.02155,11.35532,2.862494,129.95,189.7818,0.3152663,4.869423e-11,True,20,True,0.3493614,0.5178174,0.0006949238,4860,81,1.145172e-10,0.001744934,True,10.61331,27.19896,58.44210646972656,25.67343978103638,714.2445679953796,9.480274348929473,308,226
2001116,site2,2,816305,B,True,True,1.931998,3.114921,20.16781,26.96725,15.6184,11.1775,6.336849,141.2655,1040.952,0.8642919,4.39231e-191,True,8,True,0.8792036,0.9357194,1.854263e-27,4860,81,4.052559e-190,1.775216e-26,True,20.16781,26.96725,67.99660646972656,25.44172978103638,548.4424882084918,9.099196531776702,311,240
2001117,site2,2,816305,B,True,True,0.9454394,1.090379,19.03041,26.1629,18.10708,11.39274,-1.495544,101.4987,374.1559,0.7287262,5.858108999999999e-56,True,12,True,0.6904539,0.8168858,4.962096e-13,4860,81,2.597779e-55,2.189884e-12,True,19.03041,26.1629,66.85920646972656,24.63737978103638,648.0768067633611,9.340020993887872,308,239
2001126,site2,2,816305,B,True,True,0.9500277,0.6696714,10.96628,19.18326,13.0636,7.86509,-87.52993,99.06396,164.4543,0.3976202,3.590498e-12,True,23,True,0.4608812,0.6309633,7.463099e-06,4860,81,8.725745e-12,2.188387e-05,True,10.96628,19.18326,58.79507646972656,17.657739781036376,322.7873031397922,8.334440021000344,289,234
2001129,site2,2,816305,B,True,True,4.029811,1.592223,-3.310886,17.40354,18.98944,8.573394,-85.81086,207.9121,341.3735,0.3909541,2.398082e-26,True,21,True,0.7890352,0.882079,1.084356e-18,4860,81,7.509823999999999e-26,6.4418e-18,True,-3.310886,17.40354,44.51791046972656,15.878019781036377,511.4636963093183,8.998488030892421,282,217
2001130,site2,2,816305,B,True,True,0.3020924,0.5703038,20.06157,36.56466,8.426498,8.363641,-62.78173,116.2068,203.3452,0.4285245,1.189585e-16,True,16,True,0.3515703,0.5202398,0.0006446429,4860,81,3.230698e-16,0.001624622,True,20.06157,36.56466,67.89036646972656,35.03913978103638,221.4075252394937,7.790560447310624,340,237
2001139,site2,2,816305,B,True,True,0.0695638,0.1045945,15.19274,12.30165,32.26687,17.62511,-9.637248,82.36535,123.412,0.3325986,2.835022e-07,True,12,True,0.243174,0.3912147,0.01435308,4860,81,5.704458e-07,0.03029464,True,15.19274,12.30165,63.02153646972656,10.776129781036378,1786.6461514089794,10.803038218897978,273,245
2001156,site2,2,816305,B,True,True,1.657981,0.7829302,26.0679,18.24166,35.23657,16.7623,-8.293702,312.4977,449.2312,0.3043723,4.898373e-27,True,17,True,0.4057358,0.5772575,8.56888e-05,4860,81,1.548092e-26,0.0002324043,True,26.0679,18.24166,73.89669646972656,16.716139781036375,1855.569000360748,10.857645934108954,290,255
2001161,site2,2,816305,B,True,True,1.093935,1.058049,-10.15868,24.28959,12.34545,11.03522,-44.36872,313.5921,481.7466,0.3490517,1.107598e-33,True,23,True,0.3385906,0.5058912,0.0009946613,4860,81,3.8778030000000005e-33,0.002470461,True,-10.15868,24.28959,37.670116469726565,22.764069781036376,427.9941109662509,8.741447135610874,296,201
2001164,site2,2,816305,B,True,True,1.435208,1.180903,12.42604,22.74334,23.35428,20.42551,-24.2911,87.50953,398.8675,0.780605,3.0094169999999998e-64,True,13,True,0.7186787,0.8363154,2.103752e-14,4860,81,1.4210479999999998e-63,1.014106e-13,True,12.42604,22.74334,60.25483646972656,21.217819781036376,1498.612202724263,10.549411388703007,299,232
2001166,site2,2,816305,B,True,True,4.579885,3.121171,-10.01805,31.15998,7.722938,6.724339,63.40598,514.989,681.3023,0.2441109,2.7209980000000002e-33,True,18,True,0.5501427,0.7097962,5.185449e-08,4860,81,9.464425000000001e-33,1.759976e-07,True,-10.01805,31.15998,37.81074646972656,29.634459781036377,163.1481001441372,7.350038377151847,311,195
