stimulus_presentation_id,stimulus_block,start_time,stop_time,color,phase,y_position,contrast,temporal_frequency,size,orientation,spatial_frequency,frame,stimulus_name,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1623,0.0,490.41277,490.66299,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,10.0,0.25021541,182,,,0,,False,4,train,1
1624,0.0,490.66299,490.9132,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-10.0,0.25021541,8,,,0,,False,6,train,2
1625,0.0,490.9132,491.16341,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25020459,206,,,0,,False,7,train,2
1626,0.0,491.16341,491.41361,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-30.0,0.25020459,87,,,0,,False,7,train,0
1627,0.0,491.41361,491.66381,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-30.0,0.25020459,196,,,0,,False,7,train,1
1628,0.0,491.66381,491.91402,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,20.0,0.25020459,143,,,0,,False,4,train,2
1629,0.0,491.91402,492.16423,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,10.0,0.25021041,82,,,0,,False,7,train,2
1630,0.0,492.16423,492.41444,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,20.0,0.25021041,243,,,0,,False,3,train,1
1631,0.0,492.41444,492.66465,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,20.0,0.25021041,42,,,0,,False,7,train,0
1632,0.0,492.66465,492.91486,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-20.0,0.25021041,120,,,0,,False,8,test,0
1633,0.0,492.91486,493.16507,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,10.0,0.25020709,3,,,0,,False,7,train,2
1634,0.0,493.16507,493.41528,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-20.0,0.25020709,147,,,0,,False,8,test,0
1635,0.0,493.41528,493.66548,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25020709,107,,,0,,False,8,test,2
1636,0.0,493.66548,493.91569,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25020709,95,,,0,,False,11,test,0
1637,0.0,493.91569,494.16591,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,30.0,0.25022041,212,,,0,,False,6,train,1
1638,0.0,494.16591,494.41613,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,20.0,0.25022041,17,,,0,,False,7,train,2
