stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,coherence,Speed,phase,contrast,Dir,temporal_frequency,y_position,color,frame,size,orientation,stimulus_name,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1755,0.0,516.06935,516.31956,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-10.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021014,163,,,0,,False,10,train,0
1756,0.0,516.31956,516.56977,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021014,228,,,0,,False,5,test,0
1757,0.0,516.56977,516.81998,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021236,130,,,0,,False,6,train,1
1758,0.0,516.81998,517.07019,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021236,101,,,0,,False,6,train,2
1759,0.0,517.07019,517.32041,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021236,198,,,0,,False,7,train,2
1760,0.0,517.32041,517.57062,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021236,152,,,0,,False,7,train,0
1761,0.0,517.57062,517.82082,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020514,166,,,0,,False,9,train,0
1762,0.0,517.82082,518.07103,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-10.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020514,122,,,0,,False,7,train,1
1763,0.0,518.07103,518.32123,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020514,124,,,0,,False,5,test,1
1764,0.0,518.32123,518.57144,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020514,220,,,0,,False,6,train,0
1765,0.0,518.57144,518.82164,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020486,63,,,0,,False,5,test,0
1766,0.0,518.82164,519.07185,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020486,57,,,0,,False,8,test,1
1767,0.0,519.07185,519.32205,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020486,209,,,0,,False,3,train,0
1768,0.0,519.32205,519.57226,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020486,242,,,0,,False,7,train,0
1769,0.0,519.57226,519.82247,-10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021514,227,,,0,,False,5,test,0
1770,0.0,519.82247,520.07269,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021514,147,,,0,,False,7,train,0
1771,0.0,520.07269,520.3229,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021514,220,,,0,,False,7,train,0
1772,0.0,520.3229,520.57312,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021514,102,,,0,,False,6,train,0
1773,0.0,520.57312,520.82332,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020486,183,,,0,,False,8,test,1
