ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,rotation_test_gain,rotation_train_gain,axis_test_poisson_deviance,axis_train_poisson_deviance,axis_area_deg2,rotation_log2_area_ratio,parameter_baseline,parameter_amplitude_0,parameter_amplitude_45,parameter_amplitude_90,success,optimizer_nfev,best_train_anscombe_mse,second_best_train_anscombe_mse,multistart_mse_gap,train_poisson_deviance,test_poisson_deviance,baseline_spikes,mean_amplitude_spikes,center_x_deg,center_y_deg,sigma_major_deg,sigma_minor_deg,major_axis_angle_deg,axis_ratio,latent_halfmax_area_deg2,sigma_lower_bound,sigma_upper_bound
951868951,HVA,VISal,calibration,aperture,0.00324735633,0.00210553453,1.30960303,1.328971,4400.081,-0.0706032898,1.21022502,1.26128961,1.18453348,0.52131019,True,22,0.967599272,0.967599272,5.20377741e-10,1.32686547,1.30635567,1.21022502,0.989044428,48.0998053,60,49.4720106,19.446528,50.0766061,2.54400223,4189.93189,False,False
951868951,HVA,VISal,calibration,point,0.0032504619,0.0021065984,1.30960452,1.32897068,4519.47942,-0.0552556394,1.21022616,1.26152602,1.18485463,0.521483576,True,21,0.967598045,0.967598045,5.28312061e-10,1.32686408,1.30635406,1.21022616,0.989288074,48.1149389,60,49.7392262,20.0793872,50.0606821,2.4771287,4349.65497,False,False
951868973,HVA,VISal,calibration,aperture,-0.00413687557,0.00150634021,1.27660804,1.33582498,378.556301,0.158042889,1.1633429,3.09931316,2.7226776,1.22906786,True,18,0.942395311,0.942395312,1.15431442e-10,1.33431864,1.28074492,1.1633429,2.35035287,22.8423404,33.4093186,12.367514,7.84184743,30.9141195,1.5771174,422.382707,False,False
951868973,HVA,VISal,calibration,point,-0.00381919993,0.00145311786,1.2766101,1.33593275,500.957332,0.137229676,1.16298018,3.12077241,2.74331004,1.23828941,True,15,0.942531199,0.942531201,1.980338e-09,1.33447963,1.2804293,1.16298018,2.36745729,22.8479426,33.4551072,13.3441563,9.48013531,30.8867177,1.40759133,550.948476,False,False
951869005,HVA,VISal,calibration,aperture,-0.00323514117,7.31624932e-05,1.75067272,1.67094174,398.84274,1.00234007,0.827508721,0.193055471,1.57949228,2.9208795,True,22,1.03092917,1.03092917,2.53870258e-11,1.67086858,1.75390786,0.827508721,1.56447575,12.9113861,59.9999993,36.2570953,5.05985162,29.2711508,7.16564399,798.980388,False,False
951869005,HVA,VISal,calibration,point,-0.00322728114,0.000343094599,1.75096503,1.67085037,456.774426,1.25166545,0.829162135,0.175740828,1.6249416,3.13916401,True,20,1.0306985,1.0306985,4.39731584e-10,1.67050728,1.75419231,0.829162135,1.64661548,16.1216506,59.9999999,38.7238179,6.44921902,28.3187688,6.00441973,1087.65366,False,False
951869168,HVA,VISal,evaluation,aperture,0.00109139516,0.000177301452,0.292023658,0.190548642,473.362594,-0.0815725494,0.00557744589,3.54474141,1.72988152,0.641988997,True,12,0.0486021068,0.0486021068,4.18762247e-14,0.190371341,0.290932263,0.00557744589,1.97220398,8.4051432,58.7874477,13.8025965,7.44169781,-72.1101139,1.85476444,447.340431,False,False
951869168,HVA,VISal,evaluation,point,0.00148832159,0.00016020159,0.292518626,0.190886484,585.269791,-0.153305247,0.00559265692,2.87219304,1.40286372,0.519850028,True,10,0.0486135622,0.0486135622,3.24400229e-13,0.190726282,0.291030304,0.00559265692,1.59830226,8.92364604,54.7211178,13.5566287,8.91352735,-68.5665536,1.52090504,526.267597,False,False
951869190,HVA,VISal,calibration,aperture,0.00157207055,0.000402795038,3.7214468,3.72701699,110.908723,1.2195639,4.05964645,13.2602561,17.4998993,23.4719943,True,32,3.36531933,3.36531934,1.29259399e-08,3.72661419,3.71987473,4.05964645,18.0773833,59.9999969,57.9378737,29.6521164,2,11.9302402,14.8260582,258.280145,True,False
951869190,HVA,VISal,calibration,point,-8.66764569e-07,1.85370385e-07,3.72148074,3.72702059,114.980093,-0.000226780601,4.06948534,5.5679523,7.3548792,8.87219229,True,2,3.36584174,3.36584174,4.92365437e-09,3.7270204,3.72148161,4.06948534,7.26500793,11.859463,42.8229383,13.1982272,2.00001594,0.00599430941,6.59906103,114.96202,True,False
