stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,x_position,frame,size,temporal_frequency,color,spatial_frequency,stimulus_name,y_position,contrast,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1763,0.0,525.48791,525.73812,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25020546,81,,,0,,False,6,train,0
1764,0.0,525.73812,525.98832,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25020546,29,,,0,,False,7,train,0
1765,0.0,525.98832,526.23854,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,90.0,0.25021454,32,,,0,,False,8,test,2
1766,0.0,526.23854,526.48875,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,0.0,0.25021454,146,,,0,,False,6,train,0
1767,0.0,526.48875,526.73896,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25021454,81,,,0,,False,7,train,0
1768,0.0,526.73896,526.98918,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25021454,203,,,0,,False,8,test,1
1769,0.0,526.98918,527.23938,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,90.0,0.25020296,8,,,0,,False,8,test,2
1770,0.0,527.23938,527.48958,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,0.0,0.25020296,96,,,0,,False,5,test,0
1771,0.0,527.48958,527.73979,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,45.0,0.25020296,35,,,0,,False,5,test,1
1772,0.0,527.73979,527.98999,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,90.0,0.25020296,236,,,0,,False,6,train,2
1773,0.0,527.98999,528.24021,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25021704,80,,,0,,False,8,test,0
1774,0.0,528.24021,528.49042,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25021704,113,,,0,,False,8,test,1
1775,0.0,528.49042,528.74064,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25021704,145,,,0,,False,9,train,0
1776,0.0,528.74064,528.99086,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25021704,240,,,0,,False,3,train,1
1777,0.0,528.99086,529.24106,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,45.0,0.25020046,218,,,0,,False,7,train,1
1778,0.0,529.24106,529.49126,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,45.0,0.25020046,176,,,0,,False,4,train,1
