outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.778240327],-0.04219286093411955,0.005566583900681974,3.4643885905839075e-14,-0.05310316489637671,-0.03128255697186239,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.778998620],0.043636663220481944,0.004096792953610569,1.717249230805316e-26,0.035607096579287754,0.051666229861676134,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.779839471],0.07458879521145606,0.005072467988346977,6.0193752016733394e-49,0.06464694064156365,0.08453064978134847,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.781842082],0.09174313758685416,0.005455864131387669,1.8786897283416025e-63,0.08104984038479043,0.1024364347889179,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.786091066],0.010473336205823237,0.0038225427230759905,0.006146025763161246,0.0029812901392286296,0.017965382272417844,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.787025148],0.018975937994483674,0.004198630326898024,6.196993544436561e-06,0.010746773769365912,0.027205102219601436,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.789848216],0.001850125332984522,0.007875174176709627,0.8142620134776176,-0.013584932425346218,0.01728518309131526,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.791319847],0.04253667523717123,0.003401923509137419,7.124430821543622e-36,0.03586902768110177,0.04920432279324069,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.793224716],0.011681242178464295,0.005832757440272284,0.04520988819273977,0.00024924766497258326,0.02311323669195601,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.794812542],0.12053409069738236,0.005259553947300169,3.1329120839720615e-116,0.11022555438592854,0.13084262700883617,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.797828357],0.027747358026781098,0.004220613013763914,4.8899564285146774e-11,0.01947510852712277,0.03601960752643943,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.798911424],0.06386741283452899,0.005501650324633945,3.719116126884202e-31,0.05308437634271336,0.07465044932634461,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.799864342],-0.0259590600354707,0.004516463688630065,9.049142056153887e-09,-0.03481116620266855,-0.017106953868272844,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.816200189],0.01975163164012648,0.00683354720409783,0.0038476144882817953,0.006358125233440351,0.033145138046812614,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.821695405],-0.0009250695602005254,0.005176700163996621,0.8581742944630999,-0.011071215440396494,0.009221076319995443,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.829720705],0.06272595422821144,0.0062289175008496496,7.488574006806113e-24,0.05051750026387488,0.07493440819254799,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.831882777],-0.015007886606717022,0.005164845853677469,0.0036634326731616674,-0.02513079846562589,-0.0048849747478081525,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.835479236],0.04294056128787372,0.005934102052503508,4.613092417053509e-13,0.03130993498438163,0.05457118759136581,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.839068429],-0.03197073884981762,0.0037072865215136905,6.4792416422862706e-18,-0.039236886912355225,-0.024704590787280007,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.840012044],-0.0031376863043300687,0.0042270278297904754,0.45791081576629356,-0.011422508612367906,0.0051471360037077685,9819,54
log10_f1_f0,rf_interaction_common_support,C(session_id)[T.847657808],0.05182179536106611,0.00675778110601151,1.7406935942079328e-14,0.0385767877778783,0.06506680294425393,9819,54
