outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions,area
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AL]",0.3337605432755744,1.1731706514047746,0.7760314840189569,-1.9656116811971784,2.6331327677483274,6821,54,AL
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.PM]",7.594182771033793,1.402974851125319,6.200713792712856e-08,4.844402591612724,10.343962950454863,6821,54,PM
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AM]",7.291924971216483,1.2757583261690226,1.0921652266784022e-08,4.791484598948095,9.792365343484871,6821,54,AM
timescale_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",0.3491749439216914,1.3970708579268465,0.8026387013844565,-2.389033621465402,3.0873835093087854,3225,54,LM
timescale_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",3.2395092872551197,1.5113800339553578,0.032080073582664397,0.2772588537496943,6.2017597207605455,3225,54,RL
timescale_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",1.648594898778535,1.9111183668283351,0.38833895571028365,-2.0971282703980094,5.394318067955079,3225,54,AL
timescale_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",8.195427916550921,1.6901012153535706,1.240383849296089e-06,4.882890404230549,11.507965428871293,3225,54,PM
timescale_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",7.730669586366552,1.568327003677978,8.254758619398633e-07,4.656805143176099,10.804534029557006,3225,54,AM
timescale_ms,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",-3.28463813394244,1.4582919717599887,0.024297815508798278,-6.14283787753592,-0.42643839034896036,3225,54,LM
timescale_ms,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-2.1785108286920276,1.6506953477872146,0.18691735844727886,-5.413814259802788,1.056792602418732,3225,54,RL
timescale_ms,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-4.843165474352494,1.8084156871727772,0.007403531252558967,-8.387595090288391,-1.2987358584165976,3225,54,AL
timescale_ms,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",3.60262124712216,1.8845128589178535,0.05591481953961583,-0.09095608475944461,7.2961985790037645,3225,54,PM
timescale_ms,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",1.7685541410559837,1.4100061972580324,0.20973726982527596,-0.9950072235480389,4.532115505660006,3225,54,AM
timescale_ms,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",-3.06975828067167,1.4130046103280773,0.029817662248311838,-5.839196426903754,-0.3003201344395854,3225,54,LM
timescale_ms,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-1.1695106697428246,1.7012742930916065,0.49181043451866036,-4.503947012026213,2.1649256725405643,3225,54,RL
timescale_ms,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-4.650470959178397,1.8095333954207702,0.010170336048688096,-8.197091243025582,-1.1038506753312105,3225,54,AL
timescale_ms,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",3.935154083532324,1.8981322733137682,0.03815630451856234,0.21488318994419986,7.655424977120449,3225,54,PM
timescale_ms,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",2.7365219695769216,1.4751698422724842,0.06358829764014728,-0.15475779235677933,5.627801731510623,3225,54,AM
timescale_ms,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.LM]",-1.360647146279291,1.220628161815907,0.26497445869087044,-3.753034381953798,1.0317400893952158,3225,54,LM
