stimulus_presentation_id,stimulus_block,start_time,stop_time,Speed,color,contrast,orientation,frame,coherence,phase,y_position,spatial_frequency,size,Dir,x_position,stimulus_name,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1807,0.0,527.23668,527.4869,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25021993,217,,,0,,False,5,test,2
1808,0.0,527.4869,527.73712,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25021993,222,,,0,,False,9,train,0
1809,0.0,527.73712,527.98732,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25020257,203,,,0,,False,7,train,1
1810,0.0,527.98732,528.23753,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020257,205,,,0,,False,6,train,1
1811,0.0,528.23753,528.48773,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020257,205,,,0,,False,7,train,1
1812,0.0,528.48773,528.73793,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25020257,221,,,0,,False,4,train,1
1813,0.0,528.73793,528.98814,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25020743,3,,,0,,False,8,test,1
1814,0.0,528.98814,529.23835,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25020743,239,,,0,,False,5,test,1
1815,0.0,529.23835,529.48855,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25020743,117,,,0,,False,9,train,1
1816,0.0,529.48855,529.73876,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25020743,188,,,0,,False,9,train,0
1817,0.0,529.73876,529.98897,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25021007,163,,,0,,False,9,train,2
1818,0.0,529.98897,530.23918,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25021007,214,,,0,,False,5,test,0
1819,0.0,530.23918,530.48939,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25021007,63,,,0,,False,9,train,1
1820,0.0,530.48939,530.7396,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25021007,97,,,0,,False,9,train,1
1821,0.0,530.7396,530.98982,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25021493,127,,,0,,False,6,train,1
1822,0.0,530.98982,531.24003,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25021493,157,,,0,,False,6,train,0
1823,0.0,531.24003,531.49025,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25021493,199,,,0,,False,8,test,2
1824,0.0,531.49025,531.74046,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25021493,202,,,0,,False,6,train,0
1825,0.0,531.74046,531.99066,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25020257,101,,,0,,False,6,train,0
1826,0.0,531.99066,532.24087,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25020257,225,,,0,,False,6,train,1
1827,0.0,532.24087,532.49107,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25020257,108,,,0,,False,4,train,2
1828,0.0,532.49107,532.74127,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020257,243,,,0,,False,6,train,0
1829,0.0,532.74127,532.99148,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25021243,184,,,0,,False,5,test,0
1830,0.0,532.99148,533.2417,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25021243,5,,,0,,False,6,train,1
1831,0.0,533.2417,533.49191,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25021243,153,,,0,,False,9,train,0
1832,0.0,533.49191,533.74212,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25021243,119,,,0,,False,5,test,2
1833,0.0,533.74212,533.99233,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25020507,104,,,0,,False,7,train,0
1834,0.0,533.99233,534.24253,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25020507,71,,,0,,False,12,train,1
1835,0.0,534.24253,534.49274,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25020507,210,,,0,,False,8,test,1
1836,0.0,534.49274,534.74294,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020507,242,,,0,,False,5,test,1
1837,0.0,534.74294,534.99315,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25021243,184,,,0,,False,6,train,0
1838,0.0,534.99315,535.24337,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25021243,45,,,0,,False,8,test,0
